,Document Date,Counts
13,2015-02,5
33,2015-03,3
23,2015-04,4
60,2015-05,2
37,2015-06,3
22,2015-07,4
29,2015-08,4
3,2015-09,7
68,2015-10,1
45,2015-11,3
66,2015-12,1
69,2016-01,1
10,2016-02,5
54,2016-03,2
64,2016-04,1
57,2016-05,2
46,2016-07,3
1,2016-08,9
17,2016-09,5
2,2016-10,7
56,2016-11,2
0,2016-12,10
35,2017-01,3
5,2017-02,6
8,2017-03,6
4,2017-06,7
7,2017-07,6
32,2017-08,3
48,2017-09,3
41,2017-10,3
16,2017-11,5
63,2017-12,2
47,2018-01,3
27,2018-02,4
62,2018-03,2
51,2018-04,2
39,2018-05,3
52,2018-06,2
44,2018-07,3
49,2018-08,3
19,2018-09,5
28,2018-10,4
31,2018-11,4
53,2018-12,2
11,2019-01,5
6,2019-02,6
61,2019-03,2
55,2019-04,2
26,2019-05,4
34,2019-06,3
21,2019-07,4
18,2019-08,5
14,2019-09,5
36,2019-10,3
43,2019-11,3
12,2019-12,5
38,2020-01,3
42,2020-02,3
30,2020-03,4
50,2020-04,3
15,2020-05,5
40,2020-06,3
25,2020-07,4
70,2020-08,1
9,2020-09,5
59,2020-10,2
67,2020-11,1
24,2020-12,4
58,2021-01,2
65,2021-02,1
20,2021-03,5
