SH_Customer No,SH_Customer City,SH_Customer Post Code
0000005780,Barton,2600
0000005795,BRUCE,2617
0000005796,ACTON,2601
0000005797,ACTON,2601
0000005798,ACTON,2601
0000005803,WESTON,2611
0000005838,THARWA,2620
0000005845,KINGSTON,2604
0000005860,RED HILL,2603
0000005861,CANBERRA CITY,2601
0000005878,DEAKIN,2600
0000005883,LATHAM,2615
0000005894,DEAKIN,2600
0000005917,BLACK MOUNTAIN,2601
0000005922,HUGHES,2605
0000005927,DEAKIN,2600
0000005934,DICKSON,2602
0000005935,DICKSON,2602
0000005950,WANNIASSA,2903
0000005962,KALEEN,2617
0000005980,PHILLIP,2606
0000006001,MITCHELL,2911
0000006010,MITCHELL,2911
0000006047,KALEEN,2617
0000006086,MACQUARIE,2614
0000006091,MANUKA,2603
0000006108,MITCHELL,2911
0000006304,MITCHELL,2911
0000006305,O'CONNER,2601
0000006313,TUGGERANONG,2900
0000006327,FYSHWICK,2609
0000006335,Campbell,2600
0000007515,MANUKA,2603
0000008883,Canberra,2601
0000008884,Canberra,2611
0000008885,HOLT,2615
0000008886,LYNEHAM,2602
0000009914,TUGGERANONG,2901
0000011642,Griffith,2603
0000012071,Canberra,2900
0000012072,GREENWAY,2900
0000012604,VIA QUEANBEYAN,2620
0000016996,FYSHWICK,2609
0000018178,FYSHWICK,2609
0000018271,HUME   ACT,2607
0000018984,JAMISON,2614
0000019334,Campbell,2609
0000019556,Campbell,2609
0000019806,ACTON,2601
0000021349,FYSHWICK,2609
0000021428,FYSHWICK,2609
0000021800,FYSHWICK,2609
0000022015,LYNEHAM,2602
0000022957,Campbell,2612
0000024630,OXLEY,2903
0000024633,BLACK MOUNTAIN,2601
0000024648,DICKSON,2602
0000024658,FYSHWICK,2609
0000024667,YARRALUMLA,2600
0000027833,DEAKIN,2600
0000027934,LYNEHAM,2602
0000027935,Campbell,2612
0000027936,Campbell,2612
0000028109,KINGSTON,2604
0000028947,BUNGENDORE,2621
0000029353,MITCHELL,2911
0000029913,MITCHELL,2911
0000029917,MITCHELL,2911
0000030004,DICKSON,2602
0000030031,BRUCE,2617
0000030538,FYSHWICK,2609
0000031803,MACQUARIE,2614
0000031886,Canberra,2600
0000032714,CAPITAL HILL,2600
0000034000,Griffith,2603
0000034050,LYNEHAM,2602
0000034115,Symonston,2609
0000034176,LATHAM,2615
0000034177,LATHAM,2615
0000034276,ACTON,0200
0000035791,MITCHELL,2911
0000036131,CANBERRA CITY,2601
0000036907,CANBERRA CITY,0200
0000036936,BRAIDWOOD,2622
0000037271,GREENWAY,2900
0000037497,ACTON,2601
0000037557,MITCHELL,2911
0000037580,Barton,0221
0000038044,ERINDALE,2903
0000038047,FYSHWICK,2609
0000038052,FYSHWICK,2609
0000038561,MITCHELL,2911
0000041209,LYNEHAM,2602
0000047202,ACTON,2601
0000047360,MITCHELL,2911
0000048494,Canberra,0200
0000048594,QUEANBEYAN,2620
0000048816,MACGREGOR,2615
0000050330,Canberra,2610
0000050411,FYSHWICK,2609
0000050466,LYNEHAM,2602
0000050572,Symonston,2609
0000051981,APPIN NSW,2560
0000052400,HOLT,2615
0000052659,Pialligo,2609
0000052794,Fassifern Valley,4309
0000053317,PADDYS RIVER,2620
0000053723,MITCHELL,2911
0000053751,ALICE SPRINGS,0870
0000053830,CANBERRA CITY,2601
0000053936,BRUCE,2617
0000053938,BRUCE,2617
0000054001,MITCHELL,2911
0000054057,Hume,2620
0000054124,Canberra,2600
0000054252,Canberra,2611
0000054253,HOLT,2615
0000054254,FYSHWICK,2609
0000054448,FYSHWICK,2609
0000054468,Hume,2620
0000055212,O'MALLEY,2606
0000056211,QUEANBEYAN,2620
0000056879,Canberra,2601
0000056904,GUNGAHLIN,2912
0000056923,QUEANBEYAN,2620
0000056931,Mt Coree,2611
0000058105,FYSHWICK,2609
0000059420,PHILLIP,2606
0000060400,LYNEHAM,2602
0000060618,Barton,0221
0000060817,Lynham,2602
0000060828,Lynham,2602
0000060860,Lynham,2602
0000062371,MACGREGOR,2615
0000062379,MACGREGOR,2615
0000062477,Weston Creek,2611
0000063533,Hume,2620
0000063556,Cooma,2630
0000063686,MITCHELL,2911
0000064520,MOOREBANK,2170
0000065525,STROMLO,2611
