,Document Date,Counts
19,2015-02,5
50,2015-03,3
29,2015-04,4
51,2015-05,2
43,2015-06,3
22,2015-07,4
30,2015-08,4
2,2015-09,7
66,2015-10,1
41,2015-11,3
67,2015-12,1
69,2016-01,1
20,2016-02,5
53,2016-03,2
68,2016-04,1
62,2016-05,2
45,2016-07,3
1,2016-08,9
16,2016-09,5
4,2016-10,7
55,2016-11,2
0,2016-12,10
42,2017-01,3
8,2017-02,6
7,2017-03,6
3,2017-06,7
5,2017-07,6
38,2017-08,3
35,2017-09,3
40,2017-10,3
9,2017-11,5
60,2017-12,2
44,2018-01,3
31,2018-02,4
63,2018-03,2
52,2018-04,2
37,2018-05,3
59,2018-06,2
36,2018-07,3
47,2018-08,3
14,2018-09,5
28,2018-10,4
24,2018-11,4
58,2018-12,2
12,2019-01,5
6,2019-02,6
56,2019-03,2
57,2019-04,2
27,2019-05,4
46,2019-06,3
26,2019-07,4
10,2019-08,5
13,2019-09,5
49,2019-10,3
34,2019-11,3
18,2019-12,5
48,2020-01,3
33,2020-02,3
21,2020-03,4
39,2020-04,3
15,2020-05,5
32,2020-06,3
25,2020-07,4
64,2020-08,1
11,2020-09,5
54,2020-10,2
65,2020-11,1
23,2020-12,4
61,2021-01,2
70,2021-02,1
17,2021-03,5
