SH_Customer No,SH_Customer City,SH_Customer Post Code
0000000001,East Melbourne,3000
0000000002,ROOTY HILL,2766
0000000003,KIRRAWEE,2232
0000000004,Minto,2566
0000000005,RYDE,2112
0000000006,Minto,2566
0000000007,WETHERILL PARK,2164
0000000008,WETHERILL PARK,2164
0000000009,LIVERPOOL,2170
0000000010,WETHERILL PARK,2164
0000000011,RYDALMERE,2116
0000000012,ARTARMON,2064
0000000013,ALEXANDRIA,2015
0000000014,Minto,2566
0000000015,CAMPSIE,2194
0000000016,TARENPOINT,2229
0000000017,St Peters,2044
0000000018,SMITHFIELD,2164
0000000019,SILVERWATER,2141
0000000020,CARINGBAH,2229
0000000021,WOONONA,2517
0000000022,Prospect,2148
0000000023,BROOKVALE,2100
0000000024,REVESBY,2212
0000000025,TAREE,2430
0000000026,Homebush West,2140
0000000027,MARRICKVILLE,2044
0000000029,Winston Hills,2153
0000000030,RYDALMERE,2116
0000000031,PRESTONS,2170
0000000032,Milperra,2214
0000000033,GRANVILLE,2142
0000000034,MARRICKVILLE,2204
0000000035,PENRITH,2750
0000000036,PENDLE HILL,2145
0000000037,GYMEA,2227
0000000039,GYMEA,2227
0000000040,HOMEBUSH BAY,2127
0000000041,ALEXANDRIA,2015
0000000042,CHIPPING NORTON,2170
0000000043,VILLAWOOD,2163
0000000044,CARRINGTON,2294
0000000045,LITHGOW,2790
0000000046,ALEXANDRIA,2015
0000000047,ST MARYS,2760
0000000048,Ashfield,2131
0000000050,Minto,2566
0000000051,VILLAWOOD,2163
0000000052,CHESTER HILL,2162
0000000053,MATRAVILLE,2036
0000000054,MATRAVILLE,2036
0000000055,MATRAVILLE,2036
0000000056,SMITHFIELD,2164
0000000057,Kingsgrove,2208
0000000058,Seven Hills,2147
0000000059,CAMPBELLTOWN,2560
0000000060,Seven Hills,2147
0000000061,SILVERWATER,2141
0000000062,WETHERILL PARK,2164
0000000063,MOOREBANK,2170
0000000064,Seven Hills,2147
0000000065,SMITHFIELD,2164
0000000066,SILVERWATER,2128
0000000067,GOSFORD NORTH,2250
0000000068,CASTLE HILL,2154
0000000070,LIVERPOOL,2170
0000000071,YENNORA,2161
0000000072,BROOKVALE,2100
0000000073,Ashfield,2131
0000000074,Port Kembla,2505
0000000075,GIRRAWEEN,2145
0000000076,Rosehill,2142
0000000077,INGLEBURN,2565
0000000078,Minto,2566
0000000079,WETHERILL PARK,2164
0000000080,Padstow,2211
0000000081,SMEATON GRANGE,2567
0000000082,Seven Hills,2147
0000000083,CARDIFF,2285
0000000084,TAREN POINT,2229
0000000085,Dee Why,2099
0000000086,Minto,2566
0000000087,KIRRAWEE,2232
0000000088,SMITHFIELD,2164
0000000089,ST MARYS,2760
0000000090,PORT MACQUARIE,2444
0000000091,INGLEBURN,2565
0000000092,GLENDENNING,2761
0000000093,SILVERWATER,2128
0000000094,Kingsgrove,2208
0000000095,REGENTS PARK,2143
0000000096,ST MARYS,2780
0000000097,PUNCHBOWL,2196
0000000098,Padstow,2211
0000000099,ALEXANDRIA,2015
0000000100,VILLAWOOD,2163
0000000101,NORTH ROCKS,2151
0000000102,UNANDERRA,2526
0000000103,VILLAWOOD,2163
0000000104,CHIPPING NORTON,2170
0000000105,MOOREBANK,2170
0000000106,MOOREBANK,2170
0000000107,CAMPSIE,2194
0000000108,WATERLOO,2017
0000000109,PENDLE HILL,2145
0000000110,FAIRFIELD,2165
0000000111,REDFERN,2016
0000000112,Lane Cove,2066
0000000113,GIRRAWEEN,2145
0000000114,BROOKVALE,2100
0000000115,VILLAWOOD,2163
0000000116,MARAYONG,2148
0000000117,SMITHFIELD,2164
0000000118,LIDCOMBE,2141
0000000119,YAGOONA,2199
0000000120,INGLEBURN,2565
0000000121,WETHERILL PARK,2164
0000000181,ALBURY,2640
0000000201,Seven Hills,2147
0000000229,CHIPPINGNORTON,2170
0000000230,SEAFORTH,2095
0000000231,SEAFORTH,2095
0000000276,GIRILAMBONE,2831
0000000332,MOOREBANK,2170
0000000354,KIRRAWEE,2232
0000000355,BROOKVALE,2100
0000000356,MATRAVILLE,2036
0000000357,BROOKVALE,2100
0000000358,MORTLAKE,2137
0000000359,RUTHERFORD,2320
0000000365,MARRICKVILLE,2204
0000000366,WETHERILL PARK,2164
0000000389,BROOKVALE,2100
0000000390,BROOKVALE,2100
0000000393,BROOKVALE,2100
0000000410,LIVERPOOL,2170
0000000411,BOTANY,2019
0000000413,ALEXANDRIA,2015
0000000414,BROOKVALE,2100
0000000415,MATRAVILLE,2036
0000000416,PENRITH,2750
0000000417,CARINGBAH,2229
0000000418,ZETLAND,2017
0000000431,MATRAVILLE,2036
0000000435,SYDNEY   NSW,2000
0000000438,MILSONS POINT,2061
0000000440,MATRAVILLE,2036
0000000441,MATRAVILLE,2036
0000000442,MATRAVILLE,2036
0000000447,SMITHFIELD,2164
0000000451,SYDNEY,2000
0000000452,SYDNEY,2000
0000000453,MATRAVILLE,2036
0000000462,AUBURN,2144
0000000467,MOOREBANK,2170
0000000472,ALEXANDRIA,2015
0000000473,BROOKVALE,2100
0000000474,VILLAWOOD,2163
0000000477,Banksmeadow,2019
0000000483,SMITHFIELD,2164
0000000484,WETHERIL PARK,2164
0000000486,BOTANY,2019
0000000489,"",2162
0000000492,REGENTS PARK,2143
0000000496,Banksmeadow,2036
0000000497,SMITHFIELD,2164
0000000500,WETHERILL PARK,2164
0000000503,TAREN POINT,2229
0000000508,MENAI,2234
0000000517,MAYFIELD,2304
0000000518,WOLLONGONG,2500
0000000521,PARRAMATTA,2124
0000000522,INGLEBURN,2565
0000000526,CRONULLA,2230
0000000529,BOTANY,2019
0000000532,SYDNEY,2001
0000000539,VILLAWOOD,2163
0000000549,CARINGBAH,2229
0000000550,Padstow,2211
0000000556,LIDCOMBE,2141
0000000568,BOTANY,2019
0000000570,SYDNEY,2000
0000000572,KOORAGANG ISLAND,2310
0000000624,KOORAGANG ISLAND,2304
0000000625,PT.KEMBLA,2505
0000000630,Rosehill,2142
0000000631,RUTHERFORD,2141
0000000634,SILVERWATER,2141
0000000635,ALBURY,2640
0000000641,Prospect,2148
0000000649,Parkes,2600
0000000659,PENDLE HILL,2145
0000000671,Milperra,2214
0000000672,Padstow,2201
0000000673,GRANVILLE,2142
0000000674,RYDALMERE,2116
0000000679,LAVECOVE,2066
0000000684,BOTANY,2019
0000000694,MENAI,2234
0000000698,PEAKHURST,2210
0000000711,MATRAVILLE,2036
0000000712,MATRAVILLE,2036
0000000713,MATRAVILLE,2036
0000000714,East Melbourne,3001
0000000716,MATRAVILLE,2036
0000000721,CHESTER HILL,2162
0000000726,Rhodes,2138
0000000731,CHATSWOOD,2067
0000000742,SYDNEY,2006
0000000743,REVESBY,2212
0000000750,VILLAWOOD,2163
0000000751,WERRINGTON,2747
0000000753,ST MARYS,2760
0000000756,PEAKHURST,2210
0000000768,Padstow,2211
0000000778,CHESTER HILL,2162
0000000791,BOTANY,2019
0000000794,Kingsgrove,2208
0000000795,CHESTER HILL,2162
0000000802,CHESTER HILL,2162
0000000828,Tamworth,2340
0000000910,MASCOT,2020
0000000972,Belmore,2192
0000001130,WAGGA WAGGA,2650
0000001132,ALBURY,2640
0000001137,ALBURY,2640
0000001147,LAVINGTON,2641
0000001150,Griffith,2680
0000001153,CALCAIRN,2260
0000001156,Jindera,2642
0000001160,LAVINGTON,2641
0000001161,Narrandera,2700
0000001167,WAGGA WAGGA,2650
0000001170,Griffith,2680
0000001189,DENILIQUIN,2710
0000001215,Kurri Kurri,2327
0000001220,MATRAVILLE,2036
0000001235,WAGGA WAGGA,2650
0000001253,DENILIQUIN,2710
0000001254,ALBURY,2640
0000001261,LAVINGTON,2641
0000001269,DENILIQUIN,2710
0000001288,LEETON,2705
0000001292,ALBURY,2640
0000001293,CENTRAL COAST MAIL CENTRE,2252
0000001303,ALBURY,2640
0000001342,EASTWOOD,2122
0000001413,BROOKVALE,2100
0000001443,ST IVES,2075
0000001595,MOAMA,2731
0000001596,MOAMA,2731
0000001597,MATHOURA,2710
0000001599,MATHOURA,2710
0000001667,REVESBY,2212
0000001785,MASCOT,2020
0000001836,Pymble,2073
0000001911,Rhodes,2138
0000001988,DENILIQUIN,2710
0000002029,MATHOURA,2710
0000002033,MATHOURA,2710
0000002055,WENTWORTHVILLE,2145
0000002087,BEACONSFIELD,2015
0000002102,Milperra,2214
0000002143,Pymble,2073
0000002169,ALBURY,2640
0000002242,NORTH RYDE,2113
0000002286,BOTANY,2019
0000002370,EPPING,2121
0000002505,BURONGA,2648
0000002582,COROWA,2646
0000002583,COROWA,2646
0000002597,DENILIQUIN,2710
0000002721,DARLINGTON POINT,2706
0000002722,COLEANBALLY,2707
0000002725,BOTANY,2019
0000002781,GOOLGOWI,2652
0000002783,CULCAIRN,2660
0000002784,CULACIRN,2660
0000002786,HENTY,2658
0000002800,HOLBROOK,2644
0000002802,HOLBROOK,2644
0000002803,ALBURY,2640
0000002804,Jindera,2642
0000002805,ALBURY,2640
0000002807,Lockhart,2656
0000002895,MULWALA,2647
0000002903,ALBURY,2640
0000002905,ALBURY,2640
0000002906,ALBURY,2640
0000002907,ALBURY,2640
0000002919,Griffith,2680
0000002927,COROWA,2646
0000002928,HANWOOD,2680
0000002929,HANWOOD,2680
0000002944,COROWA,2646
0000002946,COROWA,2646
0000002974,LEETON,2705
0000002979,Griffith,2680
0000002982,BILBUL,2680
0000003016,Griffith,2680
0000003018,Griffith,2680
0000003040,Griffith,2680
0000003054,WAGGA WAGGA,2650
0000003059,ALBURY,2640
0000003073,Griffith,2680
0000003077,Batlow,2730
0000003119,Griffith,2680
0000003126,YENDA,2681
0000003128,YANCO,2703
0000003129,Beelbangera,2680
0000003131,Griffith,2680
0000003140,Griffith,2680
0000003141,Griffith,2680
0000003153,BALRANALD,2715
0000003155,BALRANALD,2715
0000003156,EUSTON,2737
0000003157,BERRIGAN,2712
0000003159,BERRIGAN,2712
0000003160,COROWA,2646
0000003161,RIVER BANK,2646
0000003162,COROWA,2646
0000003163,MULWALA,2647
0000003166,MOULAMEIN,2733
0000003256,AUBURN,2144
0000003476,Urana,2645
0000003477,Urana,2645
0000003478,OAKLANDS SOUTH,2646
0000003484,Walla Walla,2659
0000003570,ST MARYS,2760
0000003696,MOAMA,2731
0000003729,LEETON,2705
0000003810,SILVERWATER,2128
0000003812,Seven Hills,2147
0000003822,BROKEN HILL,2880
0000003823,BROKEN HILL,5013
0000003824,BROKEN HILL,2880
0000003844,Pymble,2073
0000004015,WENTWORTH,2648
0000004074,Wilcannia,2836
0000004151,SMEATON GRANGE,""
0000004174,BEACONSFIELD,2014
0000004212,BURONGA,2739
0000004247,INGLEBURN,2565
0000004252,CHIPPING NORTON,2170
0000004312,BOTANY,2019
0000004341,BROKEN HILL,2880
0000004347,YARRAHAPPINI,2441
0000004418,WETHERILL PARK,2164
0000004480,Gosford,2250
0000004496,CHESTERHILL,2162
0000004545,NORTH RYDE,2113
0000004577,BOTANY,2019
0000004602,BOTANY,2019
0000004607,WETHERILL PARK,2164
0000004759,Padstow,2000
0000004783,Kurri Kurri,2327
0000004785,MOOREBANK,2170
0000004886,Milperra,2214
0000004888,LIDCOMBE,2141
0000004895,RYDALMERE,2116
0000004935,AUBURN,2144
0000004951,BALLINA,2478
0000004978,CASINO,2470
0000005010,Woolgoolga,2456
0000005013,GLENN INNES,2370
0000005079,SYDNEY,2000
0000005100,BALLINA,2478
0000005109,COFFS HARBOUR,2450
0000005163,BALLINA,2478
0000005171,Billinudgel,2483
0000005172,LISMORE,2480
0000005187,BOGGABILLA,2409
0000005197,GRAFTON,2460
0000005229,CASINO,2470
0000005237,SOUTH TWEED HEADS,2484
0000005252,NORTH SYDNEY,2059
0000005293,Moree,2400
0000005301,GUYRA,2365
