SH_Customer No,SH_Customer City,SH_Customer Post Code
0000000666,TENNANT CREEK,0860
0000000761,DARWIN,0828
0000003807,WINNELLIE,0820
0000003938,LEANYER,0810
0000003972,WINNELLIE,0820
0000004034,PINE CREEK,0847
0000004042,ALICE SPRINGS,0870
0000004083,BERRIMAH,0828
0000004161,MALAK,0812
0000004268,BERRIMAH,0828
0000004270,TINDAL,0850
0000004271,WINNELLIE,0820
0000004279,BATCHELOR,0828
0000004282,VIRGINIA,0835
0000004284,NIGHTCLIFF,0810
0000004285,CASUARINA,0810
0000004286,BERRIMAH,0828
0000004287,Marrara,0812
0000004288,BERRIMAH,0812
0000004290,WALER BARRACKS PALMERSTON,0830
0000004292,PINE CREEK,0847
0000004294,STUART PARK CENTRAL,0820
0000004295,Coconut Grove,0810
0000004296,COOINDA,0886
0000004298,BERRIMAH,0828
0000004299,DARWIN,0800
0000004300,WINNELLIE,0820
0000004304,MOULDEN,0830
0000004307,KATHERINE,0850
0000004308,BERRIMAH,0812
0000004309,OENPELLI,0822
0000004310,PALMERSTON,0828
0000004311,KATHERINE,0850
0000004315,BERRIMAH,0828
0000004316,DARWIN,0820
0000004317,Nhulunbuy,0880
0000004318,"TIWI GARDENS, DARWIN",0810
0000004319,BERRIMAH,0828
0000004320,BERRIMAH,0828
0000004321,ALICE SPRINGS,0870
0000004322,KATHERINE,0852
0000004323,BERRIMAH,0828
0000004325,MELVILLE ISLAND,0822
0000004326,MELVILLE ISLAND,0822
0000004327,WINNELLIE,0820
0000004333,WINNELLIE,0820
0000004334,BATCHELOR,0845
0000004335,KATHERINE,0850
0000004337,WINNELLIE,0820
0000004339,BERRIMAH,0828
0000004340,BERRIMAH,0828
0000004343,via KATHERINE,0852
0000004344,ALICE SPRINGS,0870
0000004345,VIA NHULUNBUY,0880
0000004346,BERRIMAH,0828
0000004357,BERRIMAH,0828
0000004359,DARWIN,0828
0000004360,"Noonamah, DARWIN",0827
0000004361,BERRIMAH,0828
0000004365,CASUARINA,0810
0000004366,NIGHTCLIFF,0810
0000004369,NIGHTCLIFFE,0810
0000004372,TENNANT CREEK,0860
0000004878,PALMERSTON,0820
0000008824,BERRIMAH,0828
0000009523,PINE CREEK,0847
0000009524,via HAYES CREEK,0846
0000009525,BERRIMAH,0828
0000009527,DARWIN.   NT,0800
0000009528,ALICE SPRINGS,0870
0000009529,STUART PARK,0800
0000009530,BERRIMAH,0828
0000009531,BERRIMAH,0828
0000009532,DARWIN,0800
0000009534,ALICE SPRINGS,0870
0000009535,YULARA,0872
0000009536,KATHERINE,0850
0000009537,DARWIN,0801
0000009538,DARWIN RIVER,0845
0000009539,DARWIN,0835
0000009540,FANNIE BAY,0820
0000009541,via Alice springs,0870
0000009542,KATHERINE,0852
0000009543,TENNANT CREEK,0860
0000009545,TANAMI DESERT,0871
0000009546,BATCHELOR,0845
0000011080,WINNELLIE,0821
0000011135,BERRIMAH,0828
0000011141,DARWIN,0800
0000011274,ALICE SPRINGS,0872
0000011345,WINNELLIE,0821
0000011436,FANNIE BAY,0836
0000011531,WINNELLIE,0820
0000011574,BERRIMAH,0828
0000011630,BERRIMAH,0831
0000011634,CASUARINA,0810
0000011635,PARAP,0820
0000011862,JABIRU,0886
0000012181,BERRIMAH,0828
0000012381,BERRIMAH,0828
0000012386,BERRIMAH,0828
0000012555,WINNELLIE,0820
0000012556,BERRIMAH,0828
0000012557,TINDAL,0850
0000012580,PALMERSTON,0831
0000016828,DARWIN,0800
0000016829,DARWIN,0800
0000016830,DARWIN,0800
0000016859,PALMERSTON,0830
0000017106,BERRIMAH,0828
0000017160,COX PENINSULAR,0837
0000017339,BERRIMAH,0828
0000017394,BERRIMAH,0828
0000017453,"BERRIMAH, NT, 0828",0828
0000017650,FANNIE BAY,0810
0000017913,DARWIN,0800
0000017978,CASUARINA,0810
0000017979,PARAP,0810
0000018207,KATHERINE,0850
0000018211,BRISBANE  QLD,0836
0000018247,DARWIN,0800
0000018268,DARWIN,0800
0000018538,PALMERSTON,0830
0000018619,BERRY SPRINGS,0837
0000018676,ALICE SPRINGS,0870
0000018810,Old Mt Dundey Stn,0801
0000018870,LARRAKEYAH,0820
0000018915,COOLALINGA,0830
0000019035,ALICE SPRINGS,0801
0000019366,Coconut Grove,0810
0000019671,BERRY SPRINGS,0837
0000019672,KATHERINE,0850
0000019764,"Edith Falls Rd,  KATHERINE",0850
0000019782,Howard Springs,0835
0000019809,KATHERINE,0850
0000020120,KNUCKEY,0836
0000020381,PALMERSTON,0830
0000020382,LARRAKEYAH,0820
0000020562,KATHERINE  NT,0850
0000020568,MOULDEN,0830
0000020825,KATHERINE,0850
0000020868,PALMERSTON,0831
0000020938,KATHERINE NT,0850
0000020943,Coconut Grove,0810
0000020950,Yarrawong,0830
0000020951,YARRAWONGA,0830
0000021298,Nhulunbuy,""
0000021359,WINNELLIE,0820
0000021438,Winnelle,0820
0000021602,via Alice springs,0870
0000021651,BERRIMAH,0828
0000021652,ALICE SPRINGS,0870
0000021663,ALICE SPRINGS,0870
0000021676,adj to Arltunga Historical Site,0870
0000021689,BATHURST ISLAND,0822
0000021702,BATHURST ISLAND,0822
0000021756,KATHERINE,0850
0000021940,BERRIMAH,0828
0000022172,MELVILLE ISLAND,0822
0000022423,DARWIN,0800
0000022551,ELLIOT,0862
0000022552,TENNANT CREEK,0860
0000022868,ALICE SPRINGS,0870
0000022935,BERRIMAH,0828
0000023091,BERRIMAH,0828
0000023730,DARWIN,0801
0000024669,ALICE SPRINGS,0870
0000027478,DARWIN,0831
0000027480,YARRAWONGA,0830
0000027481,TENNANT CREEK,0861
0000027482,WINNELLIE,0820
0000027498,WINNELLIE   NT,0821
0000027600,STUART PARK,0800
0000027883,WINNELLIE,0821
0000027943,STUART PARK,0820
0000027945,TENNANT CREEK,0860
0000028140,BERRIMAH,0830
0000028336,ALICE SPRINGS,0870
0000028601,BERRIMAH DARWIN,0828
0000028767,YARRAWONGA,0830
0000028863,TENNANT CREEK,0860
0000028949,via ADELAIDE RIVER,0846
0000029247,TENNANT CREEK,0860
0000029262,Casurarina,0810
0000029266,Driver,0830
0000029267,PARAP,0820
0000029491,GALWINKU,0822
0000029492,DARWIN,0800
0000029576,KATHERINE,0850
0000029713,PINELANDS,0828
0000029751,STUART PARK,0800
0000029915,Mataranka,0852
0000030006,HUMPTY DOO,0836
0000030012,LEANYER,0812
0000030014,JABIRU,0886
0000030065,BERRIMAH,0828
0000030414,Coconut Grove,0810
0000030418,TENNANT CREEK,0860
0000030451,PALMERSTON,0831
