SH_Customer No,SH_Customer City,SH_Customer Post Code
0000000265,ROCKLEA,4106
0000000266,ACACIA RIDGE,4110
0000000267,Carole Park,4300
0000000268,Yatala,4207
0000000269,Yeronga,4104
0000000271,BEENLEIGH,4207
0000000272,BUNDABERG,4670
0000000273,Brendale,4500
0000000274,GEEBUNG,4034
0000000275,SALISBURY,4107
0000000277,NORTHGATE,4013
0000000278,STRATHPINE,4500
0000000279,Helidon,4344
0000000280,Carole Park,4300
0000000281,COORPAROO,4151
0000000282,GEEBUNG,4034
0000000283,SUMNER PARK,4074
0000000284,GEEBUNG,4034
0000000285,GEEBUNG,4034
0000000287,SALISBURY,4107
0000000288,Carole Park,4300
0000000289,CABOOLTURE,4510
0000000290,Brendale,4500
0000000292,CABOOLTURE,4510
0000000293,BANYO,4014
0000000294,GEEBUNG,4034
0000000295,ARCHERFIELD,""
0000000296,MEADOWBROOK,4131
0000000297,PINKENBA,4008
0000000298,YANDINA,4561
0000000299,UNDERWOOD,4119
0000000300,Carole Park,4300
0000000301,Carole Park,4300
0000000302,Carole Park,4300
0000000303,Carole Park,4300
0000000361,SUNNYBANK HILLS,4109
0000000362,SUMNER PARK,4109
0000000363,ARUNDLE,4214
0000000403,KEDRON,4031
0000000404,GEEBUNG,4034
0000000408,Wacol,4076
0000000426,CABOOLTURE,4510
0000000427,Carole Park,4300
0000000432,ACACIA RIDGE,4110
0000000457,COOPERS PLAIN,4108
0000000458,TENERIFFE,4005
0000000463,SALISBURY,4107
0000000466,CLEVELAND,4163
0000000482,MEADOWBROOK,4670
0000000507,Yeronga,4104
0000000519,BRISBANE,4000
0000000531,ACACIA RIDGE,4110
0000000533,WEIPA,4874
0000000541,PINKENBA,4007
0000000543,Toowong,4066
0000000619,Helidon,4344
0000000623,MURARRIE,4172
0000000626,Helidon,4344
0000000776,MOOLOOLAH,4553
0000000787,Toowong,4066
0000000789,YANDINA,4561
0000001672,AMBERLEY,4306
0000002870,BANYO,4014
0000002933,ROCKLEA,4106
0000002934,ROCKLEA,4106
0000003095,SLACKS CREEK,4127
0000003565,ELTHAM,3095
0000004108,RICHLANDS,4077
0000004374,BROWN PLAINS,4118
0000004557,Toowong,4006
0000004911,SPRINGWOOD,4127
0000004912,Palm Beach,4221
0000004913,TARINGA,4068
0000004914,ENOGGERA,4051
0000004915,SUNNYBANK,4109
0000004916,BUNDALL,4217
0000004917,MERMAID WATERS,4218
0000004918,MAROOCHYDORE,4558
0000004919,JINDALEE,4074
0000004920,Ipswich,4305
0000004921,BROWNS PLAINS,4118
0000004922,CAMP HILL,4152
0000004923,SPRINGWOOD,4127
0000004924,RUNAWAY BAY,4216
0000004925,Aspley,4034
0000004927,Wacol,4076
0000004928,Wacol,4076
0000004931,Tanah Merah,4128
0000004938,Lytton,4178
0000004939,PETRIE,4502
0000004941,ANNANDALE TOWNSVILLE,4814
0000004942,Gympie,4570
0000004943,BOONDALL,4034
0000004945,SPRINGWOOD,4127
0000004946,BEENLEIGH,4207
0000004947,BROWNS PLAINS,4118
0000004948,TINGALPA,4173
0000004949,CURRAJONG,4812
0000004950,NARANGBA,4504
0000004952,BEAUDESERT,4285
0000004953,SLACKS CREEK,4127
0000004954,ARCHERFIELD,4108
