SH_Customer No,SH_Customer City,SH_Customer Post Code
0000000166,MURRAY BRIDGE,5253
0000000324,OTTOWAY,5013
0000000325,PARA HILLS,5096
0000000326,NURIOOTPA,5355
0000000327,Dry Creek,5084
0000000328,TECHNOLOGY PARK,5095
0000000329,KILKENNY,5009
0000000330,NURIOOTPA,5355
0000000331,BROMPTON,5007
0000000333,KILKENNY,5009
0000000334,HENDON,5014
0000000335,ROYAL PARK,5014
0000000337,FORESTVILLE,5035
0000000338,MURRAY BRIDGE,5253
0000000339,NORTH PLYMPTON,5037
0000000340,REGENCY PARK,5010
0000000341,ST MARYS,5039
0000000342,WOODVILLE,5011
0000000343,WOODVILLE NORTH,5012
0000000344,THEBARTON,5031
0000000345,WOODVILLE,5011
0000000346,ELIZABETH WEST,5113
0000000347,Albert Park,5014
0000000348,MARLESTON,5033
0000000349,Lonsdale,5160
0000000350,Lonsdale,5160
0000000351,Glynde,5070
0000000352,WOODVILLE NORTH,5012
0000000353,PORT ADELAIDE,5015
0000000420,MURRAY BRIDGE,5253
0000000428,Elizabeth,5112
0000000429,NETLEY,5037
0000000430,Dry Creek,5094
0000000475,ELIZABETH WEST,5113
0000000506,OUTER HARBOUR,5018
0000000523,EDWARDSTOWN,5039
0000000573,WELLAND,5007
0000000646,ADELAIDE,5001
0000000661,Osborne,5017
0000000752,OTTOWAY,5013
0000000832,Melrose Park,5039
0000000837,ADELAIDE,5000
0000000838,OTTOWAY,5013
0000001100,FREWVILLE,5063
0000001362,Mt Gambier,5290
0000001400,MOUNT GAMBIER,5290
0000002506,REGENCY PARK,5010
0000003096,REGENCY PARK,5010
0000003263,ADELAIDE,5001
0000003706,ADELAIDE,5001
0000003720,GLEN OSMOND,5064
0000003791,GEPPS CROSS,5094
0000003792,CAMDEN PARK,5038
0000003793,"",5033
0000003794,GILMAN,5013
0000003795,ADELAIDE,5000
0000003796,Lonsdale,5160
0000003797,ADELAIDE,5000
0000003798,NORTH ADELAIDE,5006
0000003799,EDWARDSTOWN,5039
0000003800,EDWARDSTOWN,5039
0000003801,CAVAN,5094
0000003802,MACCLESFIELD,5153
0000003803,Customer To Collect,5033
0000003804,ANGASTON,5353
0000003805,RENMARK,5341
0000003806,GILMAN,5013
0000003808,CAVAN,5094
0000003809,ST MARYS,5039
0000003811,MARLESTON,5033
0000003813,BEVERLEY,5009
0000003814,WINGFIELD,5013
0000003816,REGENCY PARK,5010
0000003817,LOXTON,5333
0000003818,REGENCY PARK,5010
0000003819,REGENCY PARK,5010
0000003820,ANGASTON,5333
0000003821,Prospect,5082
0000003825,WINGFIELD,5013
0000003826,KILBURN,5084
0000003827,Somerton Park,5044
0000003828,Whyalla,5608
0000003830,Osborne,5017
0000003831,GILLMAN,5013
0000003832,Pooraka,5095
0000003833,CAVAN,5094
0000003834,HAZELWOOD PARK,5066
0000003835,ANGLE PARK,5010
0000003836,SALISBURY,5108
0000003837,MODBURY,5092
0000003838,Ridgehaven,5097
0000003839,Highbury,5089
0000003840,CLARE,5453
0000003841,CLARE,5453
0000003842,KILBURN,5084
0000003843,ELIZABETH WEST,5112
0000003845,GREENFIELDS,5107
0000003846,WINGFIELD,5013
0000003847,REGENCY PARK,5033
0000003848,REGENCY PARK,5010
0000003849,WINGFIELD,5013
0000003850,CRYSTAL BROOK,5523
0000003851,GILMAN,5523
0000003852,Mt Gambier,5290
0000003854,GEPPS CROSS,5094
0000003855,ATHOL PARK,5012
0000003856,NURIOOTPA,5355
0000003857,WARRADALE,5046
0000003858,CADELL,5321
0000003859,ROYAL PARK,5014
0000003860,BURRA,5417
0000003861,REGENCY PARK,5010
0000003862,BROMPTON,5007
0000003863,ADELAIDE,5000
0000003864,Dudley Park,5008
0000003865,LARGS BAY,5016
0000003866,ATHOL PARK,5202
0000003868,DAVEYSTON,5360
0000003869,ADELAIDE,5360
0000003870,SALISBURY,5108
0000003871,ELIZABETH WEST,5113
0000003872,BEDFORD PARK,5042
0000003873,BEDFORD PARK,5042
0000003874,BEDFORD PK,5042
0000003875,Mt Gambier,5290
0000003876,WINGFIELD,5277
0000003877,GAWLER,5118
0000003878,GILLMAN,5013
0000003879,NAIRNE,5252
0000003880,REGENCY PARK,5010
0000003881,EDWARDSTOWN,5039
0000003882,REGENCY PARK,5010
0000003884,Elizabeth,5112
0000003885,Lonsdale,5161
