SH_Customer No,SH_Customer City,SH_Customer Post Code
0000000286,WACOL.   QLD,4076
0000000559,SALISBURY SOUTH   SA,5106
0000000741,SYDNEY,2052
0000000744,Dandenong,3175
0000000746,SUNSHINE,3020
0000000774,CARRUM DOWNS,3201
0000000782,ST MARYS,2760
0000000799,WETHERILL PARK,2164
0000000833,Ipswich,4305
0000001228,MARIBYRNONG   VIC,3032
0000001689,ASCOT VALE.   VIC,3032
0000001787,GREAT WESTERN   VIC,3377
0000002386,SOUTH MELBOURNE.   VIC,3205
0000002931,CARLTON   VIC,3053
0000003171,YENDA.   NSW,2681
0000003649,ROSEHILL.   NSW,2142
0000004274,BERRIMAH   NT,0828
0000004306,ELIZABETH WEST.   SA,5113
0000004534,WELSHPOOL   WA,6106
0000004983,ALBION   QLD,4010
0000005779,MASCOT   NSW,2020
0000006629,WICKHAM.   NSW,2293
0000007268,HOMEBUSH BAY   NSW,2127
0000007545,SEVEN HILLS.   NSW,2147
0000008320,DARWIN.   NT,0800
0000008832,GLADESVILLE   NSW,2111
0000009161,BOOLAROO.   NSW,2284
0000009344,NORTH SHORE.   VIC,3214
0000009378,WEST CROYDON    SA,5008
0000009473,CAVAN.   SA,5094
0000009521,BROKEN HILL.   NSW,2880
0000009934,KWINANA  WA,6167
0000009947,O'CONNOR.   WA,6163
0000010415,ROCKLEA   QLD,4106
0000010449,Toowoomba,4350
0000010719,"MURARRIE, GIBSON ISLAND.   QLD",4170
0000011172,BERRIMAH,0828
0000011278,Burleigh Heads,4220
0000011288,WETHERILL PARK,2164
0000011421,Kensington,3031
0000011440,CHIPPING NORTON    NSW,2170
0000011892,CAMPBELLFIELD,3061
0000012040,WEST MELBOURNE,3003
0000012108,Wodonga,3690
0000012173,CAMPBELLFIELD,3061
0000012180,Dandenong,3175
0000012202,LANGWARRIN,3910
0000012456,Dandenong,3175
0000014325,East Melbourne,3001
0000014329,East Melbourne,3001
0000014380,East Melbourne,3001
0000014489,East Melbourne,3001
0000014500,East Melbourne,3001
0000014643,Auckland,6009
0000014736,"CHESTERHILL 2162,AUSTRALIA",2856
0000015201,"ALTONA,NORTH 3025, VICTORIA",3001
0000015445,"CNR DUNN & GRINDLE ROADS,ROCKLEA QU",4000
0000015446,"ICI HOUSE AUSTRALIA,ATTN STEWART WA",3000
0000015448,"DEER PARK MELBOURNE,AUSTRALIA",3000
0000015449,"14TH FLOOR,NICHOLSON ST MELBOURNE",3000
0000015450,"ICI PLASTICS,DEER PARK",3000
0000016557,"",4217
0000016628,"",3084
0000016773,"Laverton,MELBOURNE",3000
0000016845,"FOOTSCRAY, VIC 3011",""
0000016853,SUNSHINE,3020
0000016982,MELBOURNE,3000
0000017008,STROUD,2425
0000017022,BRISBANE,4170
0000017069,WELLAND,5007
0000017086,BROOKLYN,3137
0000017097,MILTON   QLD,4064
0000017100,BROOKLYN,3012
0000017185,MELBOURNE,3001
0000017203,WEST END,4101
0000017326,MELBOURNE,3043
0000017346,FERRYDEN PARK,5010
0000017349,"27-29 Birralee Rd., Regency Park",5010
0000017358,CAVAN,5094
0000017409,WEST FOOTSCRAY,3003
0000017420,BALLARAT,3350
0000017431,THOMASTOWN,3074
0000017562,WALLACE,3352
0000017598,TENTERFIELD   NSW,2372
0000017605,Reservoir,3073
0000017609,RIVERSTONE,2765
0000017614,"THREBARTON, SOUTH AUSTRALIA",0000
0000017769,HEIDELBERG,3081
0000017819,KILBURN,5084
0000017823,CAVAN,""
0000017839,CHELTENHAM,3192
0000017903,VILLAWOOD,2163
0000017911,YENDA,3020
0000017917,THOMASTOWN,3074
0000017921,"Elizabeth West, South Australia",5113
0000017924,MOORABBIN,3189
0000017962,REGENCY PARK,5010
0000017963,Dandenong South,3175
0000017968,LANGWARRIN,3910
