SH_Customer No,SH_Customer City,SH_Customer Post Code
0000000028,MELBOURNE,3004
0000000038,LAVERTON,3028
0000000049,MOORABBIN,3189
0000000069,MELTON,3337
0000000122,Braeside,3195
0000000123,SCORESBY,3179
0000000124,MOORABBIN,3189
0000000125,Dandenong South,3175
0000000126,ALPHINGTON,3078
0000000127,Heidelberg West,3081
0000000128,CAMPBELLFIELD,3061
0000000129,Braeside,3195
0000000130,CHELTENHAM,3192
0000000131,Dandenong,3175
0000000132,CLAYTON,3168
0000000133,SOUTHBANK,3006
0000000134,PRESTON,3072
0000000135,MORDIALLOC,3195
0000000136,COBURG NORTH,3058
0000000137,RICHMOND,3121
0000000138,THOMASTOWN,3074
0000000139,PORT MELBOURNE,3207
0000000140,Kilsyth,3131
0000000141,Reservoir,3073
0000000142,CHADSTONE,3148
0000000143,PRESTON,3072
0000000144,NORTH LAVERTON,3026
0000000145,Braeside,3195
0000000146,Dandenong South,3175
0000000147,Braeside,3195
0000000148,SCORESBY,3179
0000000149,SOUTH OAKLEIGH,3167
0000000150,BAYSWATER,3153
0000000151,SOMERTON,3062
0000000152,Dandenong,3175
0000000153,Dandenong,3175
0000000154,MOORABBIN,3189
0000000155,NORTH SUNSHINE,3020
0000000156,DINGLEY,3172
0000000157,OAKLEIGH,3166
0000000158,NEW GISBORNE,3438
0000000159,GLENROY,3046
0000000160,Dandenong South,3175
0000000161,Kilsyth,3137
0000000162,BREAKWATER,3219
0000000163,NOBLE PARK,3174
0000000164,Dandenong,3175
0000000165,FAWKNER,3060
0000000167,CHADSTONE,3148
0000000168,NORTH ALTONA,3025
0000000169,DEER PARK,3023
0000000170,DEER PARK,3023
0000000171,LAVERTON,3028
0000000172,DEER PARK,3023
0000000173,DEER PARK,3023
0000000174,ASCOT VALE,3032
0000000175,DEER PARK,3023
0000000176,FLEMINGTON,3031
0000000177,DEER PARK,3023
0000000178,Reservoir,3073
0000000179,BAYSWATER,3153
0000000180,LAVERTON NORTH,3026
0000000182,FOOTSCRAY,3011
0000000183,COBURG,3058
0000000184,DINGLEY,3172
0000000185,Dandenong,3175
