SH_Customer No,SH_Customer City,SH_Customer Post Code
0000000305,BENTLEY,6102
0000000306,BENTLEY,6102
0000000307,OSBORNE PARK,6017
0000000308,MALAGA,6090
0000000309,BALCATTA,6021
0000000310,KEWDALE,6105
0000000311,OSBORNE PARK,6017
0000000312,MADDINGTON,6109
0000000313,NEERABUP,6031
0000000314,Canning Vale,6155
0000000315,MALAGA,6090
0000000316,Australind,6230
0000000317,FREMANTLE,6159
0000000318,KWINANA,6167
0000000319,Canning Vale,6155
0000000320,NAVAL BASE WEST,6165
0000000321,NEDLANDS,6009
0000000322,O'CONNOR,6163
0000000323,MALAGA,6062
0000000405,Wangara,6065
0000000433,Crawley,6009
0000000459,BASSANDEAN,6054
0000000516,PERTH,6000
0000000552,KWINANA,6167
0000000574,ROCKINGHAM,6168
0000000775,WARNBRO,6169
0000000781,Wangara,6065
0000000824,MALAGA,6090
0000000831,MADDINGTON.,6109
0000000936,JOLIMONT,6014
0000001128,BASSENDEAN,6054
0000003036,MALAGA,6090
0000003097,Welshpool,6106
0000003384,MIDLAND,6936
0000003829,BENTLEY,6102
0000004115,South Perth,6151
0000004375,Wangara,6065
0000004376,BAYSWATER,6053
0000004377,SUNRISE DAM,6440
0000004378,LAVERTON,6106
0000004379,ROCKINGHAM,6168
0000004380,Bibra Lake,6163
0000004381,KALGOORLIE,6430
0000004382,KALGOORLIE,6430
0000004383,WAROONA,6215
0000004384,North Perth,6006
0000004385,FREMANTLE,6160
0000004386,Canning Vale,6105
0000004387,KEWDALE F/F WAROONA,6105
0000004388,WARRONA,6106
0000004389,BASSENDEAN,6054
0000004390,Welshpool,6106
0000004391,Welshpool,6106
0000004392,Welshpool,6106
0000004393,Canning Vale,6155
0000004394,KEWDALE,6105
0000004400,KALGOORLIE,6430
0000004401,MALAGA,6062
0000004402,Canning Vale,6155
0000004403,BYFORD,6201
0000004404,KEWDALE,6105
0000004405,ALBANY,6330
0000004406,ALBANY,6106
0000004407,MALAGA,6062
0000004408,O’Connor,6163
0000004409,MADDINTON,6109
0000004410,Welshpool,6106
0000004411,SUBIACO,6008
0000004412,ARMADALE,6112
0000004413,KELMSCOTT,6111
0000004414,ARMADALE,6112
0000004415,OSBORNE PARK,6017
0000004416,Claremont,6010
0000004417,Welshpool,6106
0000004419,BUNBURY,6105
0000004420,KALGOORLIE,6105
0000004421,SPEARWOOD,6163
0000004422,Canning Vale,6155
0000004423,SUBIACO,6008
0000004424,Canning Vale,6155
0000004425,OSBORNE PARK,6017
0000004426,BALCATTA,6021
0000004427,KALGOORLIE,6430
0000004428,KEWDALE,6105
0000004429,KENWICK,6107
0000004430,OSBORNE PARK,6017
0000004431,CANNINGVALE,6155
0000004432,North Perth,6006
0000004433,BELMONT,6104
0000004434,BEVERLEY,6304
0000004435,BEVERLEY SHIRE,6106
0000004436,BELLEVUE,6056
0000004437,CANNINGTON,6107
0000004438,SUBIACO,6008
0000004439,BOYUP BROOK,6244
0000004440,BOYUP BROOK,6106
0000004442,MIDDLE SWAN,6054
0000004443,Broome,6725
0000004444,Welshpool,6106
0000004445,BUNBURY,6230
0000004446,BELMONT ON FORWARD TO  EATON,6104
0000004447,Welshpool,6106
0000004448,Canning Vale,6155
0000004449,MALAGA,6062
0000004450,OSBORNE PARK,6017
0000004451,JOLIMONT,6014
0000004453,KELMSCOTT,6111
0000004454,Canning Vale,6155
0000004455,NORTHBRIDGE,6003
0000004456,CARNARVON,6701
0000004457,CARNARVON,6701
0000004458,BINDOON,6502
0000004459,EAST PERTH,6004
0000004460,KWINANA,6167
0000004461,MOUNT CLAREMONT,6010
0000004462,BENTLEY,6102
0000004463,EMBLETON,6062
0000004464,BUNBURY,6230
0000004465,Welshpool,6106
0000004466,CANNINGTON,6107
0000004467,BENTLEY,6102
0000004468,STIRLING,6017
0000004469,Inglewood,6052
0000004470,MAYLANDS,6051
0000004471,BALGA,6061
0000004472,Claremont,6010
0000004473,Claremont,6010
0000004474,COLLIE,6225
0000004475,KEWDALE,6105
0000004476,BELMONT,6104
0000004477,Canning Vale,6155
0000004478,O'CONNOR,6163
0000004479,KWINANA,6167
