,Delivery Date,Quantity in L
0,2010-01,4662129.770992361
1,2010-02,6914690.076335868
2,2010-03,8487764.122137394
3,2010-04,6682389.312977091
4,2010-05,7258438.931297705
5,2010-06,5938849.618320607
6,2010-07,6781541.98473282
7,2010-08,5878494.659488545
8,2010-09,7019709.923664113
9,2010-10,5113698.473282435
10,2010-11,7496385.496183199
11,2010-12,8954159.541984722
12,2011-01,11038450.381679377
13,2011-02,9193904.175572513
14,2011-03,8763845.038167931
15,2011-04,9343141.984732816
16,2011-05,6934210.687022896
17,2011-06,9403251.90839694
18,2011-07,9632263.358778622
19,2011-08,9708051.908396939
20,2011-09,11044051.90839694
21,2011-10,9575105.343511445
22,2011-11,10246990.076335873
23,2011-12,10529383.206106862
24,2012-01,9921913.740458006
25,2012-02,10762907.63358778
26,2012-03,10478532.824427474
27,2012-04,9644016.793893123
28,2012-05,8992376.335877854
29,2012-06,8966793.893129762
30,2012-07,7864217.5572519
31,2012-08,6852894.656488542
32,2012-09,7221003.816793886
33,2012-10,9947419.847328238
34,2012-11,9967274.809160301
35,2012-12,8906367.938931294
36,2013-01,10820318.320610682
37,2013-02,8552493.893129762
38,2013-03,7379453.839694645
39,2013-04,6564329.770992355
40,2013-05,9309698.473282436
41,2013-06,4499263.358778623
42,2013-07,6617680.152671747
43,2013-08,7892541.984732819
44,2013-09,5463213.740458009
45,2013-10,8721095.419847324
46,2013-11,8842370.22900762
47,2013-12,6828412.21374045
48,2014-01,8855923.664122127
49,2014-02,7019022.900763347
50,2014-03,6287114.503816787
51,2014-04,6989210.687022896
52,2014-05,6743980.916030533
53,2014-06,6495610.6870229
54,2014-07,7309706.1068702275
55,2014-08,6830499.999999999
56,2014-09,7219770.992366414
57,2014-10,7745667.938931287
58,2014-11,8385641.221374043
59,2014-12,9157514.503816778
60,2015-01,7610263.358778619
61,2015-02,8501339.694656476
62,2015-03,9420622.900763355
63,2015-04,8051280.916030526
64,2015-05,8247927.480916028
65,2015-06,7868161.305343508
66,2015-07,6626635.587786256
67,2015-08,6175213.740458014
68,2015-09,6873664.122137403
69,2015-10,6597512.21374045
70,2015-11,5338194.656488544
71,2015-12,6231118.320610678
72,2016-01,6031618.320610681
73,2016-02,4580061.8320610635
74,2016-03,5090751.90839694
75,2016-04,4613748.091603046
76,2016-05,4992992.36641221
77,2016-06,3527511.4503816753
78,2016-07,4350015.2671755655
79,2016-08,4240190.839694647
80,2016-09,4388452.67175572
81,2016-10,5188309.160305343
82,2016-11,5914516.030534352
83,2016-12,6826942.748091603
84,2017-01,7266824.427480917
85,2017-02,6367598.473282448
86,2017-03,7290782.442748087
87,2017-04,4914376.335877859
88,2017-05,5262502.290076328
89,2017-06,4997522.900763353
90,2017-07,3957641.221374039
91,2017-08,4835091.603053429
92,2017-09,4916147.32824427
93,2017-10,5390839.694656484
94,2017-11,6777935.114503812
95,2017-12,6679698.473282442
96,2018-01,7222977.099236632
97,2018-02,7714716.030534342
98,2018-03,6747538.931297704
99,2018-04,5458095.419847328
100,2018-05,5473222.13740458
101,2018-06,4076794.732824423
102,2018-07,4671820.450381677
103,2018-08,4483717.557251906
104,2018-09,5285839.694656483
105,2018-10,5684832.061068697
106,2018-11,5585903.816793887
107,2018-12,6059316.793893124
108,2019-01,6692861.068702283
109,2019-02,5924792.36641221
110,2019-03,5724416.030534351
111,2019-04,4563122.137404578
112,2019-05,4707778.625954195
113,2019-06,4051477.862595419
114,2019-07,4305525.190839691
115,2019-08,4746009.160305342
116,2019-09,4264522.900763355
117,2019-10,5184129.770992362
118,2019-11,5236038.931297706
119,2019-12,6568829.007633582
120,2020-01,7633390.839694649
121,2020-02,4245803.0534351105
122,2020-03,4725360.305343508
123,2020-04,4915286.25954198
124,2020-05,3276193.1297709905
125,2020-06,2869438.1679389295
126,2020-07,3924786.2595419814
127,2020-08,4228689.312977095
128,2020-09,4748745.801526715
129,2020-10,4188376.335877861
130,2020-11,5091296.183206106
131,2020-12,6351625.190839683
132,2021-01,5487423.664122131
133,2021-02,4805699.236641218
134,2021-03,5647164.1221373975
135,2021-04,3087969.465648852
136,2021-05,366412.213740458
