,Delivery Date,Quantity in L
0,2010-01,507243.3333333337
1,2010-02,640746.6666666665
2,2010-03,879339.9999999997
3,2010-04,640999.9999999998
4,2010-05,526780.0000000005
5,2010-06,428400.0000000001
6,2010-07,425900.0
7,2010-08,522750.0000000001
8,2010-09,472883.33333333355
9,2010-10,455800.0
10,2010-11,465293.3333333334
11,2010-12,558566.6666666666
12,2011-01,509800.00000000006
13,2011-02,633083.3333333333
14,2011-03,698149.9999999998
15,2011-04,607166.6666666666
16,2011-05,439926.66666666674
17,2011-06,336216.66666666674
18,2011-07,244733.33333333337
19,2011-08,252650.0
20,2011-09,232099.99999999997
21,2011-10,275233.3333333333
22,2011-11,249066.66666666666
23,2011-12,325266.6666666666
24,2012-01,451899.99999999994
25,2012-02,463866.6666666666
26,2012-03,522422.6666666668
27,2012-04,477183.33333333343
28,2012-05,371186.6666666667
29,2012-06,279816.6666666667
30,2012-07,263316.66666666674
31,2012-08,338612.6666666666
32,2012-09,286866.6666666666
33,2012-10,404733.3333333333
34,2012-11,331666.66666666674
35,2012-12,368109.3333333334
36,2013-01,424396.0
37,2013-02,454713.3333333335
38,2013-03,551454.0000000001
39,2013-04,487593.3333333335
40,2013-05,357223.3333333333
41,2013-06,325378.6666666667
42,2013-07,296717.3333333333
43,2013-08,320445.3333333333
44,2013-09,234220.0
45,2013-10,291860.00000000006
46,2013-11,317499.99999999994
47,2013-12,323162.0
48,2014-01,383979.3333333333
49,2014-02,379265.99999999994
50,2014-03,449050.0000000001
51,2014-04,418622.6666666667
52,2014-05,305816.6666666665
53,2014-06,320417.3333333333
54,2014-07,334433.3333333333
55,2014-08,328510.00000000006
56,2014-09,258149.99999999997
57,2014-10,208133.33333333337
58,2014-11,166880.00000000003
59,2014-12,276444.6666666667
60,2015-01,238180.0
61,2015-02,255344.66666666666
62,2015-03,249530.00000000003
63,2015-04,226699.9999999999
64,2015-05,238936.6666666667
65,2015-06,222743.99999999997
66,2015-07,197366.66666666672
67,2015-08,208862.6666666667
68,2015-09,247089.33333333334
69,2015-10,241700.00000000003
70,2015-11,187966.6666666667
71,2015-12,310900.00000000006
72,2016-01,156783.33333333334
73,2016-02,202585.33333333334
74,2016-03,169522.00000000003
75,2016-04,195183.33333333328
76,2016-05,203266.6666666667
77,2016-06,200430.66666666666
78,2016-07,202166.00000000003
79,2016-08,235797.33333333334
80,2016-09,209793.33333333334
81,2016-10,196118.0
82,2016-11,199773.33333333334
83,2016-12,214577.3333333333
84,2017-01,249966.66666666666
85,2017-02,224452.6666666667
86,2017-03,233786.66666666672
87,2017-04,218466.6666666667
88,2017-05,228490.00000000003
89,2017-06,194883.33333333337
90,2017-07,245933.3333333333
91,2017-08,454866.6666666666
92,2017-09,287128.66666666674
93,2017-10,252236.6666666667
94,2017-11,283233.3333333334
95,2017-12,244813.0
96,2018-01,227686.66666666666
97,2018-02,237956.00000000003
98,2018-03,241122.6666666667
99,2018-04,194720.00000000003
100,2018-05,313750.0000000001
101,2018-06,218333.33333333337
102,2018-07,278795.3333333333
103,2018-08,280952.0
104,2018-09,290163.3333333334
105,2018-10,372312.6666666667
106,2018-11,317199.99999999994
107,2018-12,278566.6666666667
108,2019-01,414195.3333333332
109,2019-02,452633.3333333333
110,2019-03,435239.99999999994
111,2019-04,444185.3333333334
112,2019-05,550383.3333333333
113,2019-06,295229.33333333343
114,2019-07,191406.66666666672
115,2019-08,249156.0
116,2019-09,215107.99999999994
117,2019-10,213100.0000000001
118,2019-11,207999.99999999997
119,2019-12,295918.66666666674
120,2020-01,344081.33333333326
121,2020-02,287474.6666666667
122,2020-03,376179.3333333333
123,2020-04,355583.33333333326
124,2020-05,237816.66666666666
125,2020-06,236633.3333333333
126,2020-07,179100.00000000003
127,2020-08,200114.0
128,2020-09,214334.66666666672
129,2020-10,225575.3333333333
130,2020-11,206900.66666666666
131,2020-12,275200.0
132,2021-01,367766.6666666667
133,2021-02,358986.6666666666
134,2021-03,453481.6666666666
135,2021-04,195280.0
