,Delivery Date,Quantity in L
0,2010-01,55620.89552238806
1,2010-02,73813.43283582089
2,2010-03,102904.70149253731
3,2010-04,68343.28358208954
4,2010-05,109932.08955223879
5,2010-06,49768.656716417914
6,2010-07,48268.656716417914
7,2010-08,49238.80597014925
8,2010-09,117952.23880597016
9,2010-10,129793.62686567164
10,2010-11,187940.74626865675
11,2010-12,204992.5373134328
12,2011-01,162035.8208955224
13,2011-02,201640.6119402985
14,2011-03,108071.64179104478
15,2011-04,153120.89552238802
16,2011-05,323934.3283582089
17,2011-06,214880.59701492533
18,2011-07,288797.0149253731
19,2011-08,266001.49253731343
20,2011-09,180946.2686567164
21,2011-10,131892.53731343284
22,2011-11,241014.92537313426
23,2011-12,140283.58208955225
24,2012-01,255384.32835820888
25,2012-02,302173.3582089553
26,2012-03,220551.94029850748
27,2012-04,110763.13432835821
28,2012-05,259607.10447761192
29,2012-06,203723.1044776119
30,2012-07,173742.16417910447
31,2012-08,227589.7014925373
32,2012-09,176695.22388059698
33,2012-10,185293.13432835822
34,2012-11,227245.4925373134
35,2012-12,300259.7014925373
36,2013-01,220140.29850746266
37,2013-02,249395.59701492536
38,2013-03,241634.77611940296
39,2013-04,167065.82089552234
40,2013-05,136030.7462686567
41,2013-06,88783.58208955223
42,2013-07,269488.13432835817
43,2013-08,178971.79104477612
44,2013-09,221511.94029850743
45,2013-10,216462.91044776118
46,2013-11,430954.4776119403
47,2013-12,251014.55223880595
48,2014-01,246633.58208955222
49,2014-02,262799.6268656716
50,2014-03,263322.46268656716
51,2014-04,198872.98507462683
52,2014-05,285069.10447761195
53,2014-06,217160.447761194
54,2014-07,156869.2537313433
55,2014-08,157052.38805970148
56,2014-09,135351.34328358207
57,2014-10,273044.552238806
58,2014-11,158829.92537313432
59,2014-12,241417.91044776115
60,2015-01,321865.67164179106
61,2015-02,272516.2686567164
62,2015-03,173817.6119402985
63,2015-04,218190.447761194
64,2015-05,217452.23880597015
65,2015-06,214251.7910447761
66,2015-07,244434.32835820894
67,2015-08,274189.552238806
68,2015-09,289361.49253731343
69,2015-10,381268.73134328355
70,2015-11,290805.223880597
71,2015-12,486106.01492537325
72,2016-01,330244.92537313444
73,2016-02,314470.1492537314
74,2016-03,479046.6716417912
75,2016-04,294865.67164179106
76,2016-05,335626.86567164183
77,2016-06,454475.74626865686
78,2016-07,338230.5970149253
79,2016-08,344060.843283582
80,2016-09,533584.8731343283
81,2016-10,387888.35820895527
82,2016-11,425929.7761194031
83,2016-12,426051.3432835821
84,2017-01,464059.92537313444
85,2017-02,540554.3283582091
86,2017-03,637349.9253731344
87,2017-04,347339.5522388058
88,2017-05,333432.8358208955
89,2017-06,264486.5671641791
90,2017-07,184194.0298507463
91,2017-08,332644.9253731344
92,2017-09,269410.0
93,2017-10,278948.64552238805
94,2017-11,310538.1343283582
95,2017-12,190217.7164179104
96,2018-01,292114.0298507463
97,2018-02,256112.68656716414
98,2018-03,329222.4179104477
99,2018-04,94452.62686567166
100,2018-05,282925.37313432834
101,2018-06,196585.07462686565
102,2018-07,194733.41791044778
103,2018-08,260906.7313432836
104,2018-09,199899.22388059698
105,2018-10,346434.8507462687
106,2018-11,319262.53731343284
107,2018-12,302119.5970149254
108,2019-01,427722.4328358209
109,2019-02,356279.70149253734
110,2019-03,391885.94029850746
111,2019-04,360136.8656716418
112,2019-05,367531.9701492537
113,2019-06,330529.552238806
114,2019-07,391358.5074626865
115,2019-08,203482.55223880595
116,2019-09,414695.97014925367
117,2019-10,438009.85074626864
118,2019-11,384571.9253731343
119,2019-12,445620.89552238805
120,2020-01,587762.2388059702
121,2020-02,383546.7014925372
122,2020-03,536964.776119403
123,2020-04,491675.50746268657
124,2020-05,415482.0895522388
125,2020-06,384925.6716417911
126,2020-07,565331.4402985076
127,2020-08,617388.432835821
128,2020-09,385093.2835820897
129,2020-10,319987.5304477612
130,2020-11,486807.4626865672
131,2020-12,499236.64179104485
132,2021-01,503122.8004477612
133,2021-02,392211.8656716418
134,2021-03,506695.2537313433
135,2021-04,330845.07462686574
136,2021-05,55000.0
