,Delivery Date,Quantity in L
0,2009-01,1678.0
1,2009-11,1100.0
2,2009-12,29086.0
3,2010-01,7336080.0
4,2010-02,10003888.5
5,2010-03,10347965.0
6,2010-04,7476263.473333333
7,2010-05,6601344.166666667
8,2010-06,5636758.333333334
9,2010-07,5065350.0
10,2010-08,5995037.666666667
11,2010-09,6702774.899999999
12,2010-10,8572194.836666666
13,2010-11,11722072.95
14,2010-12,13325940.797
15,2011-01,12442951.0
16,2011-02,13164842.491
17,2011-03,11444227.93
18,2011-04,8520545.666666668
19,2011-05,7937581.0
20,2011-06,6725448.0
21,2011-07,6931452.3966666665
22,2011-08,8000798.99
23,2011-09,9341450.870000001
24,2011-10,9536331.45
25,2011-11,12242538.0
26,2011-12,23364997.62
27,2012-01,12309352.186666667
28,2012-02,12002872.421999998
29,2012-03,11151236.0
30,2012-04,9218922.293333333
31,2012-05,8447382.0
32,2012-06,6341248.966666667
33,2012-07,6591891.873333333
34,2012-08,7308600.26
35,2012-09,8425682.0
36,2012-10,10465988.5
37,2012-11,11445654.0
38,2012-12,13031264.0
39,2013-01,13738012.463333333
40,2013-02,12140541.3
41,2013-03,10928360.333333332
42,2013-04,10242009.333333334
43,2013-05,9317684.0
44,2013-06,6280913.5
45,2013-07,7330068.666666667
46,2013-08,7229522.151666666
47,2013-09,9153874.75
48,2013-10,11333978.333333332
49,2013-11,11209315.0
50,2013-12,11548544.671
51,2014-01,12844738.267500002
52,2014-02,10643309.685999999
53,2014-03,10090129.460333334
54,2014-04,8330509.652
55,2014-05,7847228.0
56,2014-06,6396286.0
57,2014-07,6806115.4
58,2014-08,6984044.0
59,2014-09,7512116.0
60,2014-10,10161204.0
61,2014-11,10039294.833333332
62,2014-12,11882799.0
63,2015-01,11389616.0
64,2015-02,10058478.751
65,2015-03,9867589.0
66,2015-04,8321861.0
67,2015-05,6891557.666666667
68,2015-06,5982022.1375
69,2015-07,5972080.0
70,2015-08,6099152.318333333
71,2015-09,7513410.666666667
72,2015-10,9363246.0
73,2015-11,9139781.0
74,2015-12,11608514.962000001
75,2016-01,9667195.331999999
76,2016-02,10418344.9
77,2016-03,10406176.364333333
78,2016-04,7844377.937
79,2016-05,7318502.0
80,2016-06,5939134.0
81,2016-07,5888612.966666667
82,2016-08,6957138.0
83,2016-09,7443335.046
84,2016-10,8437173.61
85,2016-11,10454926.666666666
86,2016-12,11410974.34
87,2017-01,11474621.0
88,2017-02,10503349.534
89,2017-03,10042596.056
90,2017-04,7629212.814
91,2017-05,7890777.226
92,2017-06,6550555.0
93,2017-07,5987358.833333334
94,2017-08,6804642.333333333
95,2017-09,7265447.551
96,2017-10,8922120.0
97,2017-11,9246899.0
98,2017-12,10642917.0
99,2018-01,11151607.666666666
100,2018-02,9849103.0
101,2018-03,8945516.217
102,2018-04,7944876.0
103,2018-05,7411452.95
104,2018-06,6168609.2
105,2018-07,6113224.335999999
106,2018-08,7097685.4
107,2018-09,6830946.7
108,2018-10,8827364.299999999
109,2018-11,9967320.499999998
110,2018-12,9987540.1
111,2019-01,11669494.7
112,2019-02,10117610.76
113,2019-03,8945644.3
114,2019-04,29072303.8
115,2019-05,10961628.743999999
116,2019-06,5670188.3
117,2019-07,6704229.8
118,2019-08,6957238.4
119,2019-09,7731723.7
120,2019-10,9964362.437
121,2019-11,10271272.608333334
122,2019-12,11181603.033333333
123,2020-01,11319847.085999997
124,2020-02,10832540.682
125,2020-03,11255367.32
126,2020-04,8166681.500333333
127,2020-05,6472108.213333333
128,2020-06,6135981.4366666665
129,2020-07,6908332.43
130,2020-08,6920362.3
131,2020-09,8056480.396000001
132,2020-10,8837533.51
133,2020-11,9159605.11
134,2020-12,11340425.735
135,2021-01,9617391.711
136,2021-02,9012427.94
137,2021-03,9566734.229000002
138,2021-04,5298336.05
139,2021-05,417500.0
140,2021-06,127100.0
141,2021-07,4000.0
142,2021-09,1000.0
