Category: Business & Industrial,,,,,
,,,,,
Month,Orica: (Australian Capital Territory),Hardman: (Australian Capital Territory),Coogee Chemicals: (Australian Capital Territory),Cleveland Bay: (Australian Capital Territory),Omega Chemicals: (Australian Capital Territory)
2004-01,0,0,0,0,0
2004-02,81,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,56,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,72,0,0,0,0
2005-08,31,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,38,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,41,0,0,0,0
2006-03,0,0,0,0,0
2006-04,39,0,0,0,0
2006-05,0,0,0,0,0
2006-06,100,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,32,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,24,0,0,0,0
2007-04,76,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,46,0,0,0,0
2008-02,14,0,0,0,0
2008-03,0,0,0,0,0
2008-04,26,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,48,0,0,0,0
2008-08,35,0,0,0,0
2008-09,21,0,0,0,0
2008-10,20,0,0,0,0
2008-11,0,0,0,0,0
2008-12,11,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,17,0,0,0,0
2009-04,27,0,0,0,0
2009-05,24,0,0,0,0
2009-06,16,0,0,0,0
2009-07,8,0,0,0,0
2009-08,37,0,0,0,0
2009-09,16,0,0,0,0
2009-10,8,0,0,0,0
2009-11,8,0,0,0,0
2009-12,9,0,0,0,0
2010-01,8,0,0,0,0
2010-02,16,0,0,0,0
2010-03,0,0,0,0,0
2010-04,16,0,0,0,0
2010-05,7,0,0,0,0
2010-06,31,0,0,0,0
2010-07,15,0,0,0,0
2010-08,0,0,0,0,0
2010-09,21,0,0,0,0
2010-10,0,0,0,0,0
2010-11,28,0,0,0,0
2010-12,0,0,0,0,0
2011-01,16,0,0,0,0
2011-02,0,0,0,0,0
2011-03,7,0,0,0,0
2011-04,0,0,0,0,0
2011-05,7,0,0,0,0
2011-06,7,0,0,0,0
2011-07,0,0,0,0,0
2011-08,14,0,0,0,0
2011-09,7,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,17,0,0,0,0
2012-01,15,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,14,0,0,0,0
2012-05,12,0,0,0,0
2012-06,0,0,0,0,0
2012-07,13,0,0,0,0
2012-08,12,0,0,0,0
2012-09,13,0,0,0,0
2012-10,12,0,0,0,0
2012-11,12,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,12,0,0,0,0
2013-03,22,0,0,0,0
2013-04,11,0,0,0,0
2013-05,15,0,0,0,0
2013-06,22,0,0,0,0
2013-07,22,0,0,0,0
2013-08,5,0,0,0,0
2013-09,16,0,0,0,0
2013-10,0,0,0,0,0
2013-11,11,0,0,0,0
2013-12,0,6,0,0,0
2014-01,20,0,0,0,0
2014-02,13,0,0,0,0
2014-03,0,0,0,0,0
2014-04,22,0,0,0,0
2014-05,8,0,0,0,0
2014-06,0,0,0,0,0
2014-07,4,0,0,0,0
2014-08,4,4,0,0,0
2014-09,0,0,0,0,0
2014-10,13,0,0,0,0
2014-11,4,0,0,0,0
2014-12,10,0,0,0,0
2015-01,17,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
