Category: Business & Industrial,,,,,
,,,,,
Month,Orica: (Australia),Hardman: (Australia),Coogee Chemicals: (Australia),Cleveland Bay: (Australia),Omega Chemicals: (Australia)
2004-01,50,10,0,0,0
2004-02,79,35,0,0,9
2004-03,51,20,0,0,0
2004-04,65,16,0,0,0
2004-05,70,19,6,0,6
2004-06,70,13,6,0,0
2004-07,60,0,0,0,0
2004-08,33,16,11,0,0
2004-09,62,22,17,6,6
2004-10,76,29,0,0,0
2004-11,55,18,0,0,0
2004-12,47,39,0,0,0
2005-01,75,17,0,0,0
2005-02,100,16,0,0,6
2005-03,77,9,5,0,0
2005-04,92,10,0,0,0
2005-05,70,4,8,0,0
2005-06,75,8,4,0,0
2005-07,58,29,0,0,0
2005-08,68,28,4,0,0
2005-09,80,0,4,0,0
2005-10,57,7,0,0,0
2005-11,60,7,4,0,0
2005-12,64,27,0,0,0
2006-01,62,14,0,0,3
2006-02,77,0,0,0,0
2006-03,64,14,0,0,0
2006-04,57,21,3,0,3
2006-05,87,13,0,3,3
2006-06,55,16,0,0,3
2006-07,64,15,3,0,0
2006-08,60,9,0,0,0
2006-09,45,14,2,0,2
2006-10,79,13,0,2,2
2006-11,62,7,2,0,4
2006-12,52,8,0,0,0
2007-01,37,13,0,0,0
2007-02,66,11,2,0,0
2007-03,81,4,4,0,0
2007-04,81,2,0,0,2
2007-05,77,5,3,0,0
2007-06,72,5,0,0,0
2007-07,61,2,0,2,2
2007-08,64,8,3,0,0
2007-09,62,0,0,0,0
2007-10,42,1,0,0,0
2007-11,52,4,3,0,1
2007-12,48,0,2,0,4
2008-01,55,0,6,0,2
2008-02,47,2,0,0,2
2008-03,48,0,1,0,1
2008-04,80,3,0,0,0
2008-05,46,0,4,0,1
2008-06,51,3,0,0,0
2008-07,58,1,4,0,1
2008-08,64,4,1,0,4
2008-09,53,3,0,0,1
2008-10,60,2,0,0,0
2008-11,52,5,0,0,3
2008-12,51,4,5,0,1
2009-01,48,1,1,0,1
2009-02,52,0,3,0,0
2009-03,53,0,2,0,1
2009-04,57,0,1,0,0
2009-05,56,1,2,0,0
2009-06,47,1,0,0,0
2009-07,41,0,2,0,0
2009-08,44,0,0,0,0
2009-09,47,1,0,0,0
2009-10,55,2,1,1,3
2009-11,54,1,3,2,0
2009-12,31,0,1,0,1
2010-01,37,0,0,0,2
2010-02,45,3,1,0,3
2010-03,55,1,5,0,0
2010-04,42,1,1,1,2
2010-05,54,0,1,3,2
2010-06,57,0,1,0,1
2010-07,53,3,1,0,1
2010-08,43,0,1,0,2
2010-09,42,0,1,0,1
2010-10,37,1,3,1,0
2010-11,47,1,4,1,0
2010-12,35,0,2,0,1
2011-01,32,1,1,0,3
2011-02,37,2,1,0,1
2011-03,38,0,1,0,1
2011-04,37,1,1,1,1
2011-05,34,1,1,0,1
2011-06,36,1,1,1,0
2011-07,36,0,1,1,2
2011-08,74,1,2,0,1
2011-09,62,3,2,1,1
2011-10,46,1,2,0,1
2011-11,69,1,3,1,2
2011-12,48,0,1,1,1
2012-01,45,0,1,0,1
2012-02,60,1,2,1,2
2012-03,51,1,1,<1,<1
2012-04,53,1,1,<1,1
2012-05,74,<1,2,0,1
2012-06,58,1,1,0,1
2012-07,58,<1,1,<1,1
2012-08,45,2,2,<1,2
2012-09,48,1,2,0,<1
2012-10,42,2,1,0,0
2012-11,43,2,<1,<1,1
2012-12,32,1,<1,<1,0
2013-01,41,2,<1,<1,1
2013-02,41,<1,1,<1,1
2013-03,50,1,1,0,1
2013-04,48,1,2,1,1
2013-05,44,1,1,1,<1
2013-06,49,1,1,0,1
2013-07,100,1,1,0,1
2013-08,41,1,3,1,<1
2013-09,42,0,2,<1,2
2013-10,35,1,2,1,0
2013-11,34,1,1,1,2
2013-12,25,1,2,1,0
2014-01,36,<1,2,1,1
2014-02,48,1,1,<1,1
2014-03,41,1,2,<1,1
2014-04,35,<1,1,1,<1
2014-05,54,1,1,<1,1
2014-06,37,1,1,<1,<1
2014-07,68,1,3,1,1
2014-08,40,<1,2,<1,<1
2014-09,33,1,3,<1,0
2014-10,32,1,2,1,0
2014-11,30,1,2,<1,0
2014-12,31,0,3,1,1
2015-01,32,1,<1,1,1
2015-02,30,1,<1,0,0
2015-03,51,1,1,1,0
