Category: Business & Industrial,,,,,
,,,,,
Month,Ixom: (Australia),Hardman: (Australia),Coogee Chemicals: (Australia),Cleveland Bay: (Australia),Omega Chemicals: (Australia)
2015-04,62,41,21,0,41
2015-05,39,10,39,10,0
2015-06,50,20,40,10,10
2015-07,48,10,58,19,29
2015-08,27,0,63,9,36
2015-09,38,19,76,19,19
2015-10,74,0,64,9,9
2015-11,9,9,46,18,9
2015-12,10,49,10,0,20
2016-01,29,19,19,10,10
2016-02,30,30,50,10,20
2016-03,18,9,37,18,18
2016-04,57,0,38,0,10
2016-05,100,18,27,9,9
2016-06,19,9,19,9,0
2016-07,50,10,30,0,30
2016-08,29,29,20,19,48
2016-09,40,30,30,10,10
2016-10,29,10,19,28,10
2016-11,0,19,10,9,9
2016-12,69,39,30,20,0
2017-01,28,37,28,9,0
2017-02,77,38,38,19,10
2017-03,65,57,8,0,16
2017-04,27,45,18,0,9
2017-05,44,43,18,0,9
2017-06,28,0,19,19,19
2017-07,46,9,9,9,0
2017-08,43,26,26,0,17
2017-09,9,28,55,9,18
2017-10,60,0,34,17,26
2017-11,34,9,26,9,17
2017-12,28,9,46,0,18
2018-01,69,34,43,17,26
2018-02,28,18,19,18,37
2018-03,33,8,33,8,0
2018-04,60,34,17,9,9
2018-05,73,16,16,8,0
2018-06,85,17,17,0,17
2018-07,51,8,0,25,17
2018-08,33,8,25,8,33
2018-09,70,17,53,35,17
2018-10,67,25,17,17,8
2018-11,68,0,60,34,0
2018-12,81,9,27,9,9
2019-01,51,25,34,8,8
2019-02,36,45,27,27,27
2019-03,40,16,24,24,8
2019-04,34,17,34,34,17
2019-05,47,8,31,0,23
2019-06,41,0,16,8,33
2019-07,8,32,16,16,24
2019-08,23,0,23,39,31
2019-09,48,0,40,8,8
2019-10,39,16,23,0,23
2019-11,24,8,31,16,8
2019-12,49,32,57,32,24
2020-01,31,8,38,15,8
2020-02,47,8,55,39,23
2020-03,14,27,7,14,7
2020-04,48,20,0,20,0
2020-05,27,7,41,27,7
2020-06,30,22,15,0,22
2020-07,15,0,15,7,15
2020-08,22,14,15,14,22
2020-09,31,23,39,8,16
2020-10,17,0,8,16,17
2020-11,9,8,17,8,17
2020-12,52,52,26,9,9
2021-01,17,8,42,41,17
2021-02,18,0,64,18,9
2021-03,34,25,42,42,17
2021-04,43,43,9,26,0
2021-05,57,8,16,24,16
2021-06,0,8,25,16,17
2021-07,16,0,39,23,16
2021-08,24,8,16,24,8
2021-09,34,0,26,26,0
2021-10,50,17,25,8,25
2021-11,44,26,44,9,26
2021-12,27,27,18,9,0
2022-01,33,8,41,16,24
2022-02,29,19,48,9,9
2022-03,49,33,41,32,0
