Category: All categories,,,
,,,
Month,Orica: (New South Wales),Coogee Chemicals - suburb: (New South Wales),Cleveland Bay - horse: (New South Wales)
2004-01,81,0,0
2004-02,50,0,13
2004-03,58,0,0
2004-04,59,0,0
2004-05,64,0,0
2004-06,47,0,10
2004-07,38,0,0
2004-08,55,0,17
2004-09,64,0,9
2004-10,67,0,9
2004-11,78,0,9
2004-12,64,0,0
2005-01,31,0,0
2005-02,100,0,0
2005-03,50,0,7
2005-04,75,0,7
2005-05,50,0,0
2005-06,36,0,0
2005-07,18,0,6
2005-08,52,0,6
2005-09,87,0,6
2005-10,43,0,0
2005-11,66,0,5
2005-12,67,0,6
2006-01,61,0,0
2006-02,52,0,5
2006-03,39,0,4
2006-04,38,0,0
2006-05,36,0,4
2006-06,42,0,4
2006-07,36,0,0
2006-08,49,0,4
2006-09,27,0,0
2006-10,41,0,7
2006-11,51,0,6
2006-12,28,0,0
2007-01,18,0,3
2007-02,34,0,3
2007-03,73,0,3
2007-04,66,0,6
2007-05,58,0,0
2007-06,53,0,3
2007-07,39,0,2
2007-08,36,0,2
2007-09,54,0,7
2007-10,37,0,2
2007-11,38,0,2
2007-12,31,0,5
2008-01,30,0,0
2008-02,33,0,8
2008-03,42,0,2
2008-04,61,0,0
2008-05,31,0,5
2008-06,49,0,5
2008-07,42,0,11
2008-08,43,0,5
2008-09,39,0,5
2008-10,37,0,3
2008-11,34,0,2
2008-12,29,0,4
2009-01,36,0,5
2009-02,37,0,0
2009-03,31,0,0
2009-04,46,0,3
2009-05,33,0,3
2009-06,24,0,3
2009-07,24,0,6
2009-08,35,0,4
2009-09,35,0,0
2009-10,28,0,7
2009-11,33,0,8
2009-12,25,0,5
2010-01,28,0,7
2010-02,32,0,6
2010-03,53,0,1
2010-04,27,0,7
2010-05,39,0,6
2010-06,48,0,1
2010-07,33,0,5
2010-08,25,0,2
2010-09,25,0,8
2010-10,32,0,1
2010-11,24,0,5
2010-12,23,0,6
2011-01,24,0,5
2011-02,31,0,5
2011-03,28,0,2
2011-04,36,0,2
2011-05,33,0,6
2011-06,36,0,2
2011-07,27,0,4
2011-08,74,0,3
2011-09,57,0,2
2011-10,36,0,2
2011-11,76,0,3
2011-12,54,0,5
2012-01,37,0,3
2012-02,48,0,0
2012-03,45,0,2
2012-04,53,0,3
2012-05,60,0,3
2012-06,58,0,2
2012-07,45,0,0
2012-08,29,0,4
2012-09,45,0,1
2012-10,38,0,4
2012-11,39,0,3
2012-12,31,0,4
2013-01,39,0,2
2013-02,40,0,3
2013-03,47,0,5
2013-04,39,0,3
2013-05,42,0,1
2013-06,46,0,1
2013-07,91,0,1
2013-08,45,0,3
2013-09,45,0,3
2013-10,36,0,3
2013-11,34,0,3
2013-12,25,0,1
2014-01,30,0,3
2014-02,34,0,2
2014-03,38,0,4
2014-04,26,0,4
2014-05,51,0,3
2014-06,36,0,5
2014-07,62,0,1
2014-08,31,0,1
2014-09,32,0,2
2014-10,32,0,2
2014-11,27,0,4
2014-12,24,0,3
2015-01,21,0,4
2015-02,32,0,2
2015-03,40,0,3
