Category: Business & Industrial,,,,,
,,,,,
Month,Ixom: (New South Wales),Hardman: (New South Wales),Coogee Chemicals: (New South Wales),Cleveland Bay: (New South Wales),Omega Chemicals: (New South Wales)
2015-04,86,21,22,0,0
2015-05,0,0,21,0,0
2015-06,65,43,22,0,0
2015-07,22,22,0,0,0
2015-08,42,0,43,0,0
2015-09,22,0,0,0,0
2015-10,42,0,0,0,0
2015-11,0,0,22,21,0
2015-12,23,0,0,0,0
2016-01,46,23,23,22,0
2016-02,0,0,0,0,0
2016-03,21,0,0,21,0
2016-04,45,0,0,0,0
2016-05,64,0,21,0,0
2016-06,22,22,22,0,0
2016-07,23,23,24,0,0
2016-08,0,22,23,0,0
2016-09,23,0,0,0,0
2016-10,22,0,0,22,0
2016-11,0,44,22,0,0
2016-12,46,45,0,0,0
2017-01,21,42,22,0,0
2017-02,22,0,0,0,0
2017-03,19,37,0,0,0
2017-04,0,84,0,0,0
2017-05,20,80,20,0,0
2017-06,21,0,0,0,0
2017-07,43,0,22,0,0
2017-08,60,0,0,0,0
2017-09,0,21,43,0,0
2017-10,61,0,21,0,0
2017-11,41,0,0,0,0
2017-12,44,0,22,0,0
2018-01,41,0,0,20,0
2018-02,44,0,0,0,0
2018-03,19,19,59,0,0
2018-04,61,40,0,0,0
2018-05,39,0,0,0,0
2018-06,100,39,20,0,0
2018-07,40,0,0,0,0
2018-08,19,0,0,0,0
2018-09,20,0,0,0,0
2018-10,20,19,0,0,0
2018-11,59,0,20,0,0
2018-12,21,0,0,0,0
2019-01,0,0,0,0,0
2019-02,41,20,0,0,0
2019-03,37,18,19,0,0
2019-04,39,39,40,19,0
2019-05,37,18,0,0,0
2019-06,37,0,0,0,0
2019-07,39,0,20,19,0
2019-08,0,0,0,0,0
2019-09,38,0,0,0,0
2019-10,0,18,0,0,0
2019-11,37,0,19,0,0
2019-12,19,38,0,0,0
2020-01,18,0,0,0,0
2020-02,0,0,19,18,0
2020-03,0,47,0,0,0
2020-04,33,33,0,0,0
2020-05,0,0,0,31,0
2020-06,52,0,0,0,0
2020-07,0,0,0,0,0
2020-08,18,0,0,0,0
2020-09,18,18,0,0,0
2020-10,0,0,0,0,0
2020-11,0,20,0,0,0
2020-12,81,80,0,0,0
2021-01,20,0,40,38,0
2021-02,0,0,22,0,0
2021-03,20,20,40,19,0
2021-04,0,42,0,0,0
2021-05,60,0,0,0,0
2021-06,0,0,0,0,0
2021-07,19,0,0,0,0
2021-08,19,0,0,0,0
2021-09,0,0,0,0,0
2021-10,0,20,0,0,0
2021-11,42,0,0,0,0
2021-12,0,42,0,0,0
2022-01,60,0,20,0,0
2022-02,23,23,23,0,0
2022-03,60,39,0,39,0
