Category: All categories,,,
,,,
Month,Orica: (Queensland),Coogee Chemicals - suburb: (Queensland),Cleveland Bay - horse: (Queensland)
2004-01,100,0,34
2004-02,85,0,0
2004-03,33,0,0
2004-04,80,0,0
2004-05,40,0,0
2004-06,63,0,21
2004-07,45,0,23
2004-08,54,0,37
2004-09,0,0,0
2004-10,36,0,18
2004-11,0,0,0
2004-12,22,0,45
2005-01,38,0,58
2005-02,18,0,19
2005-03,59,0,0
2005-04,47,0,31
2005-05,25,0,13
2005-06,56,0,29
2005-07,78,0,26
2005-08,58,0,12
2005-09,0,0,12
2005-10,52,0,21
2005-11,22,0,11
2005-12,26,0,27
2006-01,75,0,22
2006-02,73,0,0
2006-03,69,0,9
2006-04,38,0,19
2006-05,56,0,8
2006-06,43,0,0
2006-07,32,0,16
2006-08,28,0,14
2006-09,15,0,7
2006-10,69,0,49
2006-11,34,0,21
2006-12,33,0,25
2007-01,61,0,14
2007-02,40,0,20
2007-03,40,0,6
2007-04,18,0,24
2007-05,35,0,0
2007-06,28,0,22
2007-07,32,0,5
2007-08,48,0,10
2007-09,49,0,17
2007-10,25,0,5
2007-11,25,0,20
2007-12,30,0,25
2008-01,32,0,21
2008-02,32,0,16
2008-03,20,0,15
2008-04,41,0,36
2008-05,33,0,29
2008-06,39,0,34
2008-07,29,0,15
2008-08,37,0,5
2008-09,39,0,20
2008-10,22,0,23
2008-11,29,0,10
2008-12,35,0,23
2009-01,21,0,0
2009-02,20,0,15
2009-03,30,0,13
2009-04,23,0,5
2009-05,29,0,4
2009-06,25,0,21
2009-07,46,0,21
2009-08,12,0,8
2009-09,33,0,16
2009-10,39,0,8
2009-11,16,0,23
2009-12,23,0,13
2010-01,13,0,21
2010-02,20,0,16
2010-03,37,0,33
2010-04,42,0,11
2010-05,18,0,22
2010-06,23,0,34
2010-07,32,0,25
2010-08,37,0,23
2010-09,25,0,21
2010-10,26,0,19
2010-11,16,0,22
2010-12,22,0,25
2011-01,31,0,32
2011-02,20,0,22
2011-03,26,0,18
2011-04,24,0,23
2011-05,20,0,29
2011-06,21,0,16
2011-07,19,0,20
2011-08,34,0,10
2011-09,35,0,22
2011-10,35,0,24
2011-11,32,0,31
2011-12,31,0,16
2012-01,30,0,32
2012-02,31,0,20
2012-03,33,0,13
2012-04,26,0,31
2012-05,34,0,31
2012-06,41,0,22
2012-07,44,0,20
2012-08,39,0,31
2012-09,27,0,20
2012-10,24,0,17
2012-11,30,0,23
2012-12,16,0,27
2013-01,27,0,29
2013-02,27,0,26
2013-03,35,0,23
2013-04,36,0,25
2013-05,39,0,22
2013-06,27,0,32
2013-07,70,0,28
2013-08,40,0,27
2013-09,23,0,36
2013-10,17,0,29
2013-11,31,0,37
2013-12,17,0,27
2014-01,19,0,32
2014-02,35,0,38
2014-03,27,0,23
2014-04,23,0,42
2014-05,30,0,28
2014-06,25,0,24
2014-07,44,0,40
2014-08,31,0,36
2014-09,24,0,30
2014-10,18,0,39
2014-11,21,0,26
2014-12,20,0,55
2015-01,21,0,38
2015-02,15,0,39
2015-03,34,0,35
