Category: Business & Industrial,,,,,
,,,,,
Month,Ixom: (Queensland),Hardman: (Queensland),Coogee Chemicals: (Queensland),Cleveland Bay: (Queensland),Omega Chemicals: (Queensland)
2015-04,27,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,26,0
2015-07,0,0,24,49,0
2015-08,23,0,92,23,0
2015-09,24,0,48,24,0
2015-10,0,0,23,24,0
2015-11,0,0,47,24,0
2015-12,0,25,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,25,25,0
2016-03,0,0,46,23,0
2016-04,24,0,0,0,0
2016-05,0,0,23,24,0
2016-06,0,0,0,25,0
2016-07,25,0,0,0,0
2016-08,0,0,0,50,0
2016-09,0,50,0,25,0
2016-10,0,0,24,49,0
2016-11,0,0,0,25,0
2016-12,25,25,25,50,0
2017-01,0,0,0,46,0
2017-02,25,24,24,50,0
2017-03,0,21,21,0,0
2017-04,0,0,0,0,0
2017-05,0,0,22,0,0
2017-06,0,0,24,49,0
2017-07,0,0,0,24,0
2017-08,0,22,44,0,0
2017-09,0,23,23,23,0
2017-10,0,0,21,42,0
2017-11,0,0,22,22,0
2017-12,0,0,69,0,0
2018-01,42,0,21,21,0
2018-02,0,23,23,46,0
2018-03,0,0,0,21,0
2018-04,43,0,0,22,0
2018-05,21,20,0,21,0
2018-06,0,0,0,21,0
2018-07,0,0,0,84,0
2018-08,0,0,0,21,0
2018-09,22,22,0,88,0
2018-10,0,0,20,41,0
2018-11,0,0,42,64,0
2018-12,22,0,0,23,0
2019-01,0,41,0,21,0
2019-02,23,23,45,69,0
2019-03,0,0,0,41,0
2019-04,0,0,0,44,0
2019-05,20,0,41,0,0
2019-06,0,0,42,21,0
2019-07,0,0,0,20,0
2019-08,20,0,39,100,0
2019-09,20,0,40,20,0
2019-10,19,0,19,0,0
2019-11,20,0,39,40,0
2019-12,20,0,40,81,0
2020-01,0,19,56,38,0
2020-02,19,0,19,79,0
2020-03,0,0,34,34,0
2020-04,17,0,0,52,0
2020-05,34,0,17,52,0
2020-06,0,18,0,0,0
2020-07,0,0,0,19,0
2020-08,19,0,0,37,0
2020-09,20,0,39,20,0
2020-10,20,0,0,40,0
2020-11,0,0,0,0,0
2020-12,0,0,0,21,0
2021-01,0,19,0,79,0
2021-02,0,0,0,45,0
2021-03,0,0,20,79,0
2021-04,20,0,0,62,0
2021-05,0,0,20,40,0
2021-06,0,0,20,40,0
2021-07,0,0,0,58,0
2021-08,19,0,0,39,0
2021-09,0,0,0,65,0
2021-10,20,0,0,20,0
2021-11,20,0,61,21,0
2021-12,42,21,21,21,0
2022-01,19,0,19,39,0
2022-02,22,22,0,23,0
2022-03,0,20,0,40,0
