Category: Business & Industrial,,,,,
,,,,,
Month,Orica: (South Australia),Hardman: (South Australia),Coogee Chemicals: (South Australia),Cleveland Bay: (South Australia),Omega Chemicals: (South Australia)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,100,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,95,0,0,0,0
2004-10,48,0,0,0,0
2004-11,0,49,0,0,0
2004-12,0,51,0,0,0
2005-01,45,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,35,0,0,0
2005-04,42,41,0,0,0
2005-05,68,34,0,0,0
2005-06,0,0,0,0,0
2005-07,37,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,32,0,0,0,0
2005-12,70,0,0,0,0
2006-01,30,0,0,0,0
2006-02,57,0,0,0,0
2006-03,72,24,0,0,0
2006-04,78,26,0,0,0
2006-05,87,0,0,0,0
2006-06,69,0,0,0,0
2006-07,0,22,0,0,0
2006-08,59,0,0,0,0
2006-09,0,0,0,0,0
2006-10,38,0,0,0,0
2006-11,18,0,0,0,0
2006-12,0,0,0,0,0
2007-01,18,0,0,0,0
2007-02,18,0,0,0,0
2007-03,14,0,0,0,0
2007-04,15,0,0,0,0
2007-05,24,0,0,0,0
2007-06,38,13,0,0,0
2007-07,25,0,0,0,0
2007-08,45,11,0,0,0
2007-09,24,0,0,0,0
2007-10,11,0,0,0,0
2007-11,0,0,0,0,0
2007-12,41,0,0,0,0
2008-01,12,0,0,0,0
2008-02,12,0,0,0,0
2008-03,0,0,0,0,0
2008-04,11,0,0,0,0
2008-05,10,0,0,0,0
2008-06,0,0,0,0,0
2008-07,21,0,0,0,0
2008-08,10,0,0,0,0
2008-09,19,0,0,0,0
2008-10,20,0,0,0,0
2008-11,0,0,0,0,0
2008-12,23,12,0,0,0
2009-01,32,0,0,0,0
2009-02,22,0,0,0,0
2009-03,9,0,0,0,0
2009-04,0,0,0,0,0
2009-05,9,0,0,0,0
2009-06,34,0,0,0,0
2009-07,17,0,0,0,0
2009-08,16,0,0,0,0
2009-09,17,0,0,0,0
2009-10,28,9,0,0,0
2009-11,28,0,0,0,0
2009-12,0,0,0,0,0
2010-01,27,0,0,0,0
2010-02,9,0,0,0,0
2010-03,16,0,0,0,0
2010-04,26,9,0,0,0
2010-05,16,0,0,0,0
2010-06,17,0,0,0,0
2010-07,24,0,0,0,0
2010-08,15,0,0,0,0
2010-09,16,0,0,0,0
2010-10,15,0,0,0,0
2010-11,7,0,0,0,0
2010-12,24,0,0,0,0
2011-01,11,0,0,0,0
2011-02,5,0,0,0,0
2011-03,19,0,0,0,0
2011-04,5,0,0,0,0
2011-05,14,0,0,0,0
2011-06,15,5,0,0,0
2011-07,23,0,0,0,0
2011-08,7,0,0,0,0
2011-09,9,0,0,0,0
2011-10,24,0,0,0,0
2011-11,14,0,0,0,0
2011-12,16,0,0,0,0
2012-01,5,0,0,0,0
2012-02,23,0,0,0,0
2012-03,12,0,0,0,0
2012-04,21,0,0,0,0
2012-05,27,0,0,0,0
2012-06,17,0,0,0,0
2012-07,16,0,0,0,0
2012-08,15,4,0,0,0
2012-09,8,0,0,0,0
2012-10,14,0,0,0,0
2012-11,7,0,0,0,0
2012-12,7,0,0,0,0
2013-01,9,0,0,0,0
2013-02,10,0,0,0,0
2013-03,18,0,0,0,0
2013-04,15,0,0,0,0
2013-05,11,0,0,0,0
2013-06,17,0,0,0,0
2013-07,25,0,0,0,0
2013-08,5,0,0,0,0
2013-09,9,0,0,0,0
2013-10,8,0,0,0,0
2013-11,0,0,0,0,0
2013-12,9,0,0,0,0
2014-01,22,0,0,0,0
2014-02,8,0,0,0,0
2014-03,13,0,0,0,0
2014-04,8,0,0,0,0
2014-05,16,0,0,0,0
2014-06,12,0,0,0,0
2014-07,56,0,0,0,0
2014-08,17,0,0,0,0
2014-09,6,0,0,0,0
2014-10,8,3,0,0,0
2014-11,8,0,0,0,0
2014-12,6,0,0,0,0
2015-01,8,0,0,0,0
2015-02,6,0,0,0,0
2015-03,15,3,0,0,0
