Category: All categories,,,
,,,
Month,Ixom: (South Australia),Coogee Chemicals - suburb: (South Australia),Cleveland Bay - horse: (South Australia)
2015-04,40,0,0
2015-05,0,0,0
2015-06,0,0,0
2015-07,38,0,0
2015-08,36,0,0
2015-09,0,0,0
2015-10,74,0,0
2015-11,38,0,0
2015-12,0,0,0
2016-01,0,0,0
2016-02,0,0,0
2016-03,37,0,0
2016-04,0,0,0
2016-05,0,0,0
2016-06,36,0,0
2016-07,0,0,0
2016-08,38,0,0
2016-09,0,0,0
2016-10,0,0,0
2016-11,0,0,0
2016-12,0,0,0
2017-01,0,0,0
2017-02,0,0,0
2017-03,62,0,0
2017-04,35,0,0
2017-05,34,0,0
2017-06,72,0,0
2017-07,71,0,0
2017-08,33,0,0
2017-09,0,0,0
2017-10,0,0,0
2017-11,66,0,0
2017-12,35,0,0
2018-01,64,0,0
2018-02,0,0,0
2018-03,32,0,0
2018-04,0,0,0
2018-05,31,0,0
2018-06,96,0,0
2018-07,64,0,0
2018-08,61,0,0
2018-09,100,0,0
2018-10,97,0,0
2018-11,0,0,0
2018-12,68,0,0
2019-01,64,0,0
2019-02,35,0,0
2019-03,32,0,0
2019-04,0,0,0
2019-05,30,0,0
2019-06,31,0,0
2019-07,0,0,0
2019-08,59,0,0
2019-09,60,0,0
2019-10,0,0,0
2019-11,0,0,0
2019-12,30,0,0
2020-01,0,0,0
2020-02,60,0,0
2020-03,26,0,0
2020-04,26,0,0
2020-05,51,0,0
2020-06,55,0,0
2020-07,28,0,0
2020-08,82,0,0
2020-09,0,0,0
2020-10,62,0,0
2020-11,0,0,0
2020-12,0,0,0
2021-01,0,0,0
2021-02,34,0,0
2021-03,0,0,0
2021-04,31,0,0
2021-05,0,0,0
2021-06,30,0,0
2021-07,0,0,0
2021-08,61,0,0
2021-09,33,0,0
2021-10,0,0,0
2021-11,0,0,0
2021-12,0,0,0
2022-01,0,0,0
2022-02,0,0,0
2022-03,0,0,0
