Category: Business & Industrial,,,,,
,,,,,
Month,Orica: (Victoria),Hardman: (Victoria),Coogee Chemicals: (Victoria),Cleveland Bay: (Victoria),Omega Chemicals: (Victoria)
2004-01,24,0,0,0,0
2004-02,22,22,0,0,21
2004-03,52,26,0,0,0
2004-04,20,0,0,0,0
2004-05,45,15,0,0,0
2004-06,48,16,0,0,0
2004-07,82,0,0,0,0
2004-08,27,27,13,0,0
2004-09,100,28,14,0,0
2004-10,73,14,0,0,0
2004-11,62,15,0,0,0
2004-12,33,16,0,0,0
2005-01,72,14,0,0,0
2005-02,99,14,0,0,0
2005-03,70,0,0,0,0
2005-04,79,0,0,0,0
2005-05,52,0,0,0,0
2005-06,73,0,0,0,0
2005-07,51,30,0,0,0
2005-08,64,27,0,0,0
2005-09,72,0,0,0,0
2005-10,57,0,0,0,0
2005-11,9,0,0,0,0
2005-12,19,9,0,0,0
2006-01,8,8,0,0,8
2006-02,16,0,0,0,0
2006-03,48,7,0,0,0
2006-04,35,14,0,0,7
2006-05,67,12,0,0,6
2006-06,0,7,0,0,0
2006-07,54,12,0,0,0
2006-08,27,5,0,0,0
2006-09,35,0,0,0,0
2006-10,63,16,0,0,5
2006-11,65,0,0,0,11
2006-12,48,6,0,0,0
2007-01,10,0,0,0,0
2007-02,52,0,0,0,0
2007-03,80,4,0,0,0
2007-04,63,0,0,0,4
2007-05,42,4,4,0,0
2007-06,37,0,0,0,0
2007-07,48,0,0,0,4
2007-08,41,4,0,0,0
2007-09,31,0,0,0,0
2007-10,29,0,0,0,0
2007-11,31,0,8,0,4
2007-12,41,0,0,0,4
2008-01,36,0,4,0,4
2008-02,50,4,0,0,0
2008-03,59,0,0,0,0
2008-04,66,0,0,0,0
2008-05,43,0,0,0,0
2008-06,39,0,0,0,0
2008-07,52,0,0,0,0
2008-08,42,0,3,0,0
2008-09,37,4,0,0,0
2008-10,52,3,0,0,0
2008-11,48,0,0,0,0
2008-12,34,0,0,0,0
2009-01,48,0,0,0,4
2009-02,35,0,4,0,0
2009-03,54,0,0,0,0
2009-04,44,0,0,0,0
2009-05,73,0,3,0,0
2009-06,36,3,0,0,0
2009-07,23,0,6,0,0
2009-08,28,0,0,0,0
2009-09,32,0,0,0,0
2009-10,37,0,0,0,3
2009-11,48,0,3,0,0
2009-12,29,0,0,0,4
2010-01,23,0,0,0,0
2010-02,37,0,0,0,3
2010-03,35,3,0,0,0
2010-04,26,0,3,0,3
2010-05,46,0,0,0,0
2010-06,29,0,0,0,0
2010-07,43,9,0,0,0
2010-08,24,0,0,0,0
2010-09,28,0,0,0,3
2010-10,19,0,0,0,0
2010-11,46,3,0,0,0
2010-12,26,0,0,0,3
2011-01,14,1,0,0,1
2011-02,28,1,0,0,1
2011-03,26,0,0,0,0
2011-04,20,1,1,0,1
2011-05,20,1,0,0,0
2011-06,22,0,1,0,0
2011-07,34,0,2,0,1
2011-08,38,0,0,0,1
2011-09,34,1,0,0,1
2011-10,26,0,1,0,0
2011-11,48,0,0,0,1
2011-12,28,0,0,0,0
2012-01,25,0,0,0,0
2012-02,44,0,0,0,3
2012-03,33,0,0,0,0
2012-04,28,1,0,0,2
2012-05,52,0,2,0,3
2012-06,33,0,1,0,1
2012-07,39,0,0,0,2
2012-08,31,0,1,0,3
2012-09,28,1,0,0,0
2012-10,32,2,1,0,0
2012-11,28,1,0,0,1
2012-12,15,1,1,0,0
2013-01,25,1,0,0,0
2013-02,25,1,0,0,1
2013-03,23,2,0,0,2
2013-04,23,2,1,0,0
2013-05,26,1,0,0,1
2013-06,30,0,0,0,2
2013-07,80,0,2,0,1
2013-08,24,1,2,0,0
2013-09,22,0,0,0,2
2013-10,24,0,0,0,0
2013-11,27,1,1,0,1
2013-12,15,0,1,0,0
2014-01,20,1,1,0,1
2014-02,34,1,0,0,1
2014-03,27,0,1,0,1
2014-04,22,0,0,0,0
2014-05,32,0,0,0,2
2014-06,25,2,2,0,0
2014-07,46,1,1,0,2
2014-08,26,0,1,0,1
2014-09,27,1,1,0,0
2014-10,18,0,0,0,0
2014-11,22,1,0,0,1
2014-12,23,0,0,0,1
2015-01,27,3,0,0,2
2015-02,27,0,0,0,0
2015-03,45,0,0,0,0
