Category: Business & Industrial,,,,,
,,,,,
Month,Ixom: (Victoria),Hardman: (Victoria),Coogee Chemicals: (Victoria),Cleveland Bay: (Victoria),Omega Chemicals: (Victoria)
2015-04,43,0,0,0,21
2015-05,21,0,0,0,20
2015-06,21,0,0,0,0
2015-07,39,0,18,0,19
2015-08,0,0,0,0,18
2015-09,0,18,18,0,37
2015-10,37,0,35,0,18
2015-11,19,0,0,0,18
2015-12,0,38,0,0,19
2016-01,20,0,0,0,0
2016-02,20,0,0,0,19
2016-03,0,18,18,0,18
2016-04,19,0,55,0,19
2016-05,37,17,0,0,18
2016-06,0,0,19,0,0
2016-07,20,0,0,0,19
2016-08,20,19,0,0,39
2016-09,0,0,0,0,0
2016-10,39,0,0,0,19
2016-11,0,0,0,0,19
2016-12,21,20,0,0,0
2017-01,19,18,0,0,0
2017-02,100,19,0,0,0
2017-03,86,33,0,0,16
2017-04,19,18,18,0,0
2017-05,18,17,0,0,17
2017-06,19,0,18,0,18
2017-07,38,0,0,0,0
2017-08,36,17,0,0,0
2017-09,19,18,18,0,18
2017-10,54,0,17,0,17
2017-11,0,0,0,0,35
2017-12,19,0,0,0,18
2018-01,54,34,17,0,34
2018-02,0,18,0,0,18
2018-03,35,0,0,0,0
2018-04,18,17,0,0,0
2018-05,67,16,0,0,0
2018-06,53,0,0,0,34
2018-07,35,0,0,0,17
2018-08,34,16,16,0,16
2018-09,19,18,35,0,36
2018-10,34,0,16,0,16
2018-11,70,0,17,0,0
2018-12,37,18,18,0,0
2019-01,35,17,0,0,0
2019-02,19,53,35,0,36
2019-03,0,16,32,0,0
2019-04,53,17,17,0,17
2019-05,0,0,0,0,31
2019-06,69,0,0,0,0
2019-07,17,64,16,0,16
2019-08,32,0,0,0,15
2019-09,33,0,0,0,0
2019-10,16,15,0,0,46
2019-11,0,0,0,0,0
2019-12,34,32,0,0,32
2020-01,0,0,0,0,15
2020-02,0,16,0,0,63
2020-03,0,14,0,0,14
2020-04,28,13,0,0,0
2020-05,14,13,0,0,0
2020-06,15,14,14,0,29
2020-07,15,0,0,0,29
2020-08,0,14,14,0,41
2020-09,47,30,0,0,30
2020-10,17,0,0,0,33
2020-11,0,0,0,0,17
2020-12,38,0,0,0,18
2021-01,0,0,0,0,0
2021-02,0,0,19,0,19
2021-03,0,17,0,0,18
2021-04,37,18,0,0,0
2021-05,0,16,0,0,17
2021-06,17,0,0,0,17
2021-07,0,0,0,0,16
2021-08,17,0,0,0,16
2021-09,71,0,0,0,0
2021-10,35,17,0,0,51
2021-11,19,18,0,0,54
2021-12,0,0,0,0,0
2022-01,0,17,0,0,17
2022-02,42,0,0,0,0
2022-03,36,0,0,0,0
