Category: All categories,,,
,,,
Month,Orica: (Western Australia),Coogee Chemicals - suburb: (Western Australia),Cleveland Bay - horse: (Western Australia)
2004-01,0,0,0
2004-02,83,0,0
2004-03,46,46,0
2004-04,0,0,0
2004-05,28,55,0
2004-06,0,28,0
2004-07,0,0,0
2004-08,0,25,0
2004-09,25,25,0
2004-10,28,0,0
2004-11,55,0,0
2004-12,31,0,0
2005-01,0,28,0
2005-02,26,0,0
2005-03,41,20,0
2005-04,24,0,0
2005-05,54,18,0
2005-06,19,19,0
2005-07,0,0,0
2005-08,17,33,0
2005-09,67,0,0
2005-10,16,0,0
2005-11,100,0,0
2005-12,59,0,0
2006-01,0,0,0
2006-02,65,0,0
2006-03,0,26,0
2006-04,0,14,0
2006-05,36,12,0
2006-06,38,0,0
2006-07,25,25,0
2006-08,85,0,0
2006-09,11,0,0
2006-10,43,0,0
2006-11,20,0,0
2006-12,12,0,0
2007-01,0,10,0
2007-02,41,10,0
2007-03,18,35,0
2007-04,38,28,0
2007-05,39,16,0
2007-06,52,0,0
2007-07,26,0,0
2007-08,38,0,0
2007-09,25,0,0
2007-10,33,0,0
2007-11,33,0,0
2007-12,10,0,0
2008-01,36,18,0
2008-02,52,9,0
2008-03,32,8,0
2008-04,55,0,0
2008-05,15,0,0
2008-06,46,0,0
2008-07,15,0,0
2008-08,22,0,0
2008-09,29,7,0
2008-10,28,7,0
2008-11,37,7,0
2008-12,26,25,0
2009-01,16,8,0
2009-02,31,23,0
2009-03,33,7,0
2009-04,36,7,0
2009-05,20,13,0
2009-06,13,0,0
2009-07,33,6,0
2009-08,37,18,0
2009-09,24,6,0
2009-10,37,7,0
2009-11,37,20,0
2009-12,56,0,0
2010-01,20,0,0
2010-02,37,26,0
2010-03,31,22,0
2010-04,21,6,0
2010-05,34,10,0
2010-06,10,6,0
2010-07,51,0,0
2010-08,32,10,0
2010-09,34,0,0
2010-10,28,25,0
2010-11,32,10,0
2010-12,11,6,0
2011-01,16,12,0
2011-02,33,12,0
2011-03,21,0,0
2011-04,26,3,0
2011-05,17,5,0
2011-06,13,3,0
2011-07,23,3,0
2011-08,45,13,0
2011-09,42,8,0
2011-10,29,8,0
2011-11,25,8,0
2011-12,19,6,0
2012-01,17,13,0
2012-02,29,13,0
2012-03,35,14,0
2012-04,25,10,0
2012-05,49,2,0
2012-06,43,5,0
2012-07,54,4,0
2012-08,41,4,0
2012-09,46,9,0
2012-10,28,18,0
2012-11,22,2,0
2012-12,30,2,0
2013-01,20,2,0
2013-02,31,9,0
2013-03,41,3,0
2013-04,42,14,0
2013-05,50,3,0
2013-06,45,8,0
2013-07,75,8,0
2013-08,25,9,0
2013-09,17,11,0
2013-10,23,6,0
2013-11,30,5,0
2013-12,22,5,0
2014-01,25,6,0
2014-02,30,8,0
2014-03,38,7,0
2014-04,26,8,0
2014-05,42,5,0
2014-06,35,5,0
2014-07,60,6,0
2014-08,43,3,0
2014-09,30,9,0
2014-10,19,6,0
2014-11,15,7,0
2014-12,19,7,0
2015-01,16,3,0
2015-02,29,7,0
2015-03,30,9,0
