Category: Business & Industrial,,,,,
,,,,,
Month,Ixom: (Western Australia),Hardman: (Western Australia),Coogee Chemicals: (Western Australia),Cleveland Bay: (Western Australia),Omega Chemicals: (Western Australia)
2015-04,0,22,22,0,0
2015-05,0,19,39,0,0
2015-06,0,19,57,0,0
2015-07,0,0,34,0,0
2015-08,0,0,32,0,0
2015-09,0,0,100,0,0
2015-10,0,0,81,0,0
2015-11,0,17,33,0,0
2015-12,0,0,17,0,0
2016-01,0,0,17,0,0
2016-02,0,18,88,0,0
2016-03,32,0,16,0,0
2016-04,0,0,17,0,0
2016-05,49,0,33,0,0
2016-06,0,0,17,0,0
2016-07,0,0,18,0,0
2016-08,0,17,17,0,0
2016-09,18,0,53,0,0
2016-10,0,17,17,0,0
2016-11,0,0,17,0,0
2016-12,0,0,36,0,0
2017-01,0,0,33,0,0
2017-02,0,0,69,0,0
2017-03,15,0,0,0,0
2017-04,0,0,17,0,0
2017-05,0,0,0,0,0
2017-06,0,0,0,0,0
2017-07,16,17,0,0,0
2017-08,0,0,15,0,0
2017-09,0,0,33,0,0
2017-10,0,0,15,0,0
2017-11,0,0,32,0,0
2017-12,0,17,16,0,0
2018-01,0,0,46,0,0
2018-02,0,0,17,0,0
2018-03,0,0,30,0,0
2018-04,0,0,47,0,0
2018-05,29,0,29,0,0
2018-06,15,0,0,0,0
2018-07,0,15,0,0,0
2018-08,0,0,30,0,0
2018-09,16,0,64,0,0
2018-10,0,15,15,0,0
2018-11,0,0,62,0,0
2018-12,49,0,33,0,0
2019-01,0,0,77,0,0
2019-02,16,0,0,0,0
2019-03,15,0,30,0,0
2019-04,0,0,31,0,0
2019-05,15,0,15,0,0
2019-06,0,0,0,0,0
2019-07,0,0,0,0,0
2019-08,0,0,14,0,0
2019-09,29,0,43,0,0
2019-10,0,0,28,0,0
2019-11,14,14,28,0,0
2019-12,0,0,43,0,0
2020-01,14,0,55,0,0
2020-02,14,0,84,0,0
2020-03,0,0,12,0,0
2020-04,12,0,12,0,0
2020-05,0,0,74,0,0
2020-06,0,13,0,0,0
2020-07,0,0,28,0,0
2020-08,0,0,27,0,0
2020-09,0,0,58,0,0
2020-10,0,0,15,0,0
2020-11,0,0,0,0,0
2020-12,0,15,46,0,0
2021-01,0,0,43,0,0
2021-02,16,0,63,0,0
2021-03,14,0,43,0,0
2021-04,0,28,14,0,0
2021-05,27,0,14,0,0
2021-06,0,0,29,0,0
2021-07,14,0,69,0,0
2021-08,0,0,29,0,0
2021-09,16,0,47,0,0
2021-10,0,0,45,0,0
2021-11,0,15,30,0,0
2021-12,0,0,15,0,0
2022-01,0,0,43,0,0
2022-02,0,0,49,0,0
2022-03,0,0,69,0,0
