date,Ixom,Orica Chemicals,Coogee Chemicals,Cleveland Bay,isPartial
2015-03-01,0,0,63,0,False
2015-04-01,31,0,0,0,False
2015-05-01,0,0,0,30,False
2015-06-01,0,0,0,30,False
2015-07-01,0,0,29,56,False
2015-08-01,27,0,81,27,False
2015-09-01,28,0,28,56,False
2015-10-01,0,0,28,27,False
2015-11-01,0,0,28,27,False
2015-12-01,0,0,0,0,False
2016-01-01,0,0,0,28,False
2016-02-01,0,0,29,28,False
2016-03-01,0,0,82,80,False
2016-04-01,28,0,0,0,False
2016-05-01,0,0,28,0,False
2016-06-01,0,0,0,28,False
2016-07-01,29,0,0,0,False
2016-08-01,0,0,0,86,False
2016-09-01,0,0,0,29,False
2016-10-01,0,0,29,56,False
2016-11-01,0,0,29,28,False
2016-12-01,28,0,29,57,False
2017-01-01,0,0,0,52,False
2017-02-01,0,0,29,57,False
2017-03-01,0,0,25,0,False
2017-04-01,0,0,0,0,False
2017-05-01,0,0,26,0,False
2017-06-01,28,0,28,55,False
2017-07-01,0,0,0,27,False
2017-08-01,0,0,52,0,False
2017-09-01,0,0,27,27,False
2017-10-01,0,0,24,48,False
2017-11-01,25,0,26,25,False
2017-12-01,0,0,82,0,False
2018-01-01,49,0,25,49,False
2018-02-01,0,0,54,52,False
2018-03-01,0,0,0,24,False
2018-04-01,49,0,0,25,False
2018-05-01,24,0,0,24,False
2018-06-01,0,0,25,24,False
2018-07-01,0,0,0,96,False
2018-08-01,0,0,0,23,False
2018-09-01,25,0,0,100,False
2018-10-01,0,0,0,47,False
2018-11-01,0,0,50,98,False
2018-12-01,26,0,0,26,False
2019-01-01,0,0,0,24,False
2019-02-01,26,0,53,78,False
2019-03-01,0,0,0,71,False
2019-04-01,0,0,0,75,False
2019-05-01,23,0,24,23,False
2019-06-01,0,0,49,24,False
2019-07-01,0,0,0,23,False
2019-08-01,23,0,47,91,False
2019-09-01,23,0,47,23,False
2019-10-01,22,0,22,22,False
2019-11-01,23,0,23,46,False
2019-12-01,23,0,47,93,False
2020-01-01,0,0,44,65,False
2020-02-01,22,0,0,67,False
2020-03-01,0,0,40,39,False
2020-04-01,20,0,0,60,False
2020-05-01,39,0,20,39,False
2020-06-01,0,0,0,21,False
2020-07-01,0,0,0,21,False
2020-08-01,21,0,0,43,False
2020-09-01,23,0,46,45,False
2020-10-01,23,0,0,46,False
2020-11-01,0,0,0,0,False
2020-12-01,0,0,0,24,False
2021-01-01,0,0,0,68,False
2021-02-01,0,0,0,52,False
2021-03-01,0,0,23,91,False
2021-04-01,23,0,0,70,False
2021-05-01,0,0,23,68,False
2021-06-01,0,0,24,46,False
2021-07-01,0,0,0,66,False
2021-08-01,22,0,0,45,False
2021-09-01,0,0,0,74,False
2021-10-01,23,0,0,23,False
2021-11-01,23,0,72,23,False
2021-12-01,48,0,25,24,False
2022-01-01,22,0,23,45,False
2022-02-01,26,0,0,26,False
2022-03-01,0,0,0,45,False
