date,Ixom,Orica Chemicals,Coogee Chemicals,Cleveland Bay,isPartial
2015-03-01,35,18,0,0,False
2015-04-01,36,18,0,0,False
2015-05-01,17,34,0,0,False
2015-06-01,18,0,0,0,False
2015-07-01,32,0,16,0,False
2015-08-01,15,31,0,0,False
2015-09-01,32,0,16,0,False
2015-10-01,46,15,31,0,False
2015-11-01,16,16,0,0,False
2015-12-01,0,17,0,0,False
2016-01-01,17,0,0,0,False
2016-02-01,50,17,0,0,False
2016-03-01,0,16,15,16,False
2016-04-01,48,0,48,0,False
2016-05-01,31,15,0,0,False
2016-06-01,0,16,16,0,False
2016-07-01,50,17,0,0,False
2016-08-01,34,0,0,0,False
2016-09-01,17,35,0,0,False
2016-10-01,33,16,0,0,False
2016-11-01,0,33,0,0,False
2016-12-01,34,17,0,0,False
2017-01-01,16,0,0,0,False
2017-02-01,100,17,0,0,False
2017-03-01,86,43,0,0,False
2017-04-01,31,0,15,0,False
2017-05-01,45,0,0,0,False
2017-06-01,32,0,16,0,False
2017-07-01,32,0,0,0,False
2017-08-01,45,0,0,0,False
2017-09-01,32,0,16,0,False
2017-10-01,60,0,15,0,False
2017-11-01,15,0,0,16,False
2017-12-01,32,16,0,0,False
2018-01-01,45,0,15,0,False
2018-02-01,16,0,0,0,False
2018-03-01,44,0,0,0,False
2018-04-01,44,0,0,0,False
2018-05-01,56,0,0,0,False
2018-06-01,44,0,0,0,False
2018-07-01,29,0,0,0,False
2018-08-01,28,0,14,0,False
2018-09-01,31,16,31,0,False
2018-10-01,57,14,14,0,False
2018-11-01,72,0,14,0,False
2018-12-01,31,16,15,0,False
2019-01-01,72,0,0,0,False
2019-02-01,15,0,31,0,False
2019-03-01,14,0,28,0,False
2019-04-01,59,15,15,0,False
2019-05-01,14,0,0,0,False
2019-06-01,57,0,0,0,False
2019-07-01,14,0,14,0,False
2019-08-01,27,0,0,0,False
2019-09-01,41,0,0,0,False
2019-10-01,26,0,0,0,False
2019-11-01,0,0,0,0,False
2019-12-01,70,0,0,0,False
2020-01-01,13,0,0,0,False
2020-02-01,27,0,0,0,False
2020-03-01,24,0,0,0,False
2020-04-01,35,0,0,0,False
2020-05-01,0,0,0,0,False
2020-06-01,13,0,13,0,False
2020-07-01,25,13,0,0,False
2020-08-01,0,12,12,0,False
2020-09-01,39,0,0,0,False
2020-10-01,14,15,0,0,False
2020-11-01,15,0,0,0,False
2020-12-01,31,0,0,0,False
2021-01-01,15,0,0,0,False
2021-02-01,16,0,16,0,False
2021-03-01,31,0,0,0,False
2021-04-01,31,0,0,0,False
2021-05-01,29,0,0,0,False
2021-06-01,14,0,0,0,False
2021-07-01,0,0,0,0,False
2021-08-01,14,0,0,0,False
2021-09-01,59,0,0,0,False
2021-10-01,29,0,0,0,False
2021-11-01,31,0,0,0,False
2021-12-01,16,0,0,0,False
2022-01-01,0,0,0,0,False
2022-02-01,52,0,0,0,False
2022-03-01,45,0,0,0,False
