date,Ixom,Grenof,Calix,isPartial
2015-03-01,52,0,0,False
2015-04-01,47,0,0,False
2015-05-01,0,42,0,False
2015-06-01,0,0,0,False
2015-07-01,61,0,18,False
2015-08-01,37,0,0,False
2015-09-01,0,0,0,False
2015-10-01,50,0,0,False
2015-11-01,28,0,0,False
2015-12-01,0,0,0,False
2016-01-01,0,0,0,False
2016-02-01,0,0,36,False
2016-03-01,34,0,0,False
2016-04-01,43,0,0,False
2016-05-01,66,0,0,False
2016-06-01,0,0,35,False
2016-07-01,0,0,39,False
2016-08-01,50,0,0,False
2016-09-01,44,0,0,False
2016-10-01,34,0,0,False
2016-11-01,0,60,0,False
2016-12-01,73,0,0,False
2017-01-01,0,0,0,False
2017-02-01,64,0,0,False
2017-03-01,46,19,0,False
2017-04-01,21,0,0,False
2017-05-01,46,0,0,False
2017-06-01,34,0,0,False
2017-07-01,0,0,0,False
2017-08-01,42,0,0,False
2017-09-01,0,0,0,False
2017-10-01,47,30,32,False
2017-11-01,26,0,0,False
2017-12-01,43,0,0,False
2018-01-01,57,0,0,False
2018-02-01,73,0,0,False
2018-03-01,25,0,0,False
2018-04-01,0,38,0,False
2018-05-01,26,0,0,False
2018-06-01,35,0,0,False
2018-07-01,30,0,52,False
2018-08-01,31,0,34,False
2018-09-01,32,0,30,False
2018-10-01,100,0,0,False
2018-11-01,40,0,0,False
2018-12-01,42,0,0,False
2019-01-01,28,23,0,False
2019-02-01,64,0,0,False
2019-03-01,50,0,51,False
2019-04-01,31,0,0,False
2019-05-01,0,0,0,False
2019-06-01,30,0,0,False
2019-07-01,0,0,21,False
2019-08-01,0,15,0,False
2019-09-01,60,0,0,False
2019-10-01,45,20,23,False
2019-11-01,0,0,15,False
2019-12-01,0,0,0,False
2020-01-01,0,0,23,False
2020-02-01,50,0,18,False
2020-03-01,0,14,0,False
2020-04-01,26,0,0,False
2020-05-01,0,0,0,False
2020-06-01,32,0,15,False
2020-07-01,22,0,23,False
2020-08-01,16,29,0,False
2020-09-01,38,0,0,False
2020-10-01,0,0,48,False
2020-11-01,0,0,0,False
2020-12-01,46,0,0,False
2021-01-01,0,25,49,False
2021-02-01,35,0,43,False
2021-03-01,40,0,0,False
2021-04-01,24,0,0,False
2021-05-01,42,0,63,False
2021-06-01,37,0,42,False
2021-07-01,33,20,48,False
2021-08-01,0,0,24,False
2021-09-01,37,18,34,False
2021-10-01,0,0,81,False
2021-11-01,0,0,93,False
2021-12-01,0,0,40,False
2022-01-01,25,0,46,False
2022-02-01,93,0,17,False
2022-03-01,37,0,42,False
