Category: All categories,,,,
,,,,
Month,Orica: (Queensland),Aluminium Sulphate: (Queensland),Aluminium Chlorohydrate: (Queensland),poly Aluminium Chloride: (Queensland)
2004-01,100,0,0,0
2004-02,85,0,0,0
2004-03,33,0,0,0
2004-04,80,0,0,0
2004-05,40,0,0,0
2004-06,63,0,0,0
2004-07,45,0,0,0
2004-08,54,18,0,0
2004-09,0,19,0,0
2004-10,36,0,0,0
2004-11,0,0,0,0
2004-12,22,0,0,0
2005-01,38,0,0,0
2005-02,18,18,0,0
2005-03,59,0,0,0
2005-04,47,0,0,0
2005-05,25,0,0,0
2005-06,56,14,0,0
2005-07,78,26,0,0
2005-08,58,23,0,0
2005-09,0,0,0,0
2005-10,52,10,0,0
2005-11,22,22,0,0
2005-12,26,0,0,0
2006-01,75,0,0,0
2006-02,73,0,0,0
2006-03,69,9,0,0
2006-04,38,0,0,0
2006-05,56,0,0,0
2006-06,43,0,0,0
2006-07,32,0,0,0
2006-08,28,0,0,0
2006-09,15,0,0,0
2006-10,69,0,0,0
2006-11,34,0,0,0
2006-12,33,0,0,0
2007-01,61,0,0,0
2007-02,40,7,0,0
2007-03,40,0,0,0
2007-04,18,0,0,0
2007-05,35,0,0,0
2007-06,28,0,0,0
2007-07,32,0,0,0
2007-08,48,0,0,0
2007-09,49,0,0,0
2007-10,25,5,0,0
2007-11,25,5,0,0
2007-12,30,0,0,0
2008-01,32,0,0,0
2008-02,32,0,0,0
2008-03,20,5,0,0
2008-04,41,0,0,0
2008-05,33,0,0,0
2008-06,39,5,0,0
2008-07,29,5,0,0
2008-08,37,9,0,0
2008-09,39,0,0,0
2008-10,22,0,0,0
2008-11,29,5,0,0
2008-12,35,0,0,0
2009-01,21,5,0,0
2009-02,20,0,0,0
2009-03,30,9,0,0
2009-04,23,9,0,0
2009-05,29,0,0,0
2009-06,25,0,0,0
2009-07,46,0,0,0
2009-08,12,0,0,0
2009-09,33,4,0,0
2009-10,39,0,0,0
2009-11,16,4,0,0
2009-12,23,0,0,0
2010-01,13,4,0,0
2010-02,20,8,0,0
2010-03,37,3,0,0
2010-04,42,4,0,0
2010-05,18,7,0,0
2010-06,23,7,0,0
2010-07,32,4,0,0
2010-08,37,0,0,0
2010-09,25,0,0,0
2010-10,26,0,0,0
2010-11,16,3,0,0
2010-12,22,0,0,0
2011-01,31,2,0,0
2011-02,20,4,0,0
2011-03,26,3,0,0
2011-04,24,2,0,0
2011-05,20,2,0,0
2011-06,21,5,0,0
2011-07,19,0,0,0
2011-08,34,4,0,0
2011-09,35,3,0,0
2011-10,35,4,0,0
2011-11,32,1,0,0
2011-12,31,3,0,0
2012-01,30,3,0,0
2012-02,31,4,0,0
2012-03,33,1,0,0
2012-04,26,1,0,0
2012-05,34,10,0,0
2012-06,41,1,0,0
2012-07,44,4,0,0
2012-08,39,4,0,0
2012-09,27,0,0,0
2012-10,24,3,0,0
2012-11,30,4,0,0
2012-12,16,0,0,0
2013-01,27,2,0,0
2013-02,27,2,0,0
2013-03,35,3,0,0
2013-04,36,0,0,0
2013-05,39,4,0,0
2013-06,27,0,0,0
2013-07,70,1,0,0
2013-08,40,1,0,0
2013-09,23,2,0,0
2013-10,17,2,0,0
2013-11,31,0,0,0
2013-12,17,1,0,0
2014-01,19,1,0,0
2014-02,35,1,0,0
2014-03,27,2,0,0
2014-04,23,2,0,0
2014-05,30,7,0,0
2014-06,25,2,0,0
2014-07,44,2,0,0
2014-08,31,1,0,0
2014-09,24,2,0,0
2014-10,18,6,0,0
2014-11,21,2,0,0
2014-12,20,1,0,0
2015-01,21,1,0,0
2015-02,15,3,0,0
2015-03,34,1,0,0
