Category: All categories,,,,
,,,,
Month,Orica: (Australian Capital Territory),Aluminium Sulphate: (Australian Capital Territory),Aluminium Chlorohydrate: (Australian Capital Territory),poly Aluminium Chloride: (Australian Capital Territory)
2004-01,0,0,0,0
2004-02,81,0,0,0
2004-03,0,0,0,0
2004-04,0,0,0,0
2004-05,0,0,0,0
2004-06,0,0,0,0
2004-07,0,0,0,0
2004-08,0,0,0,0
2004-09,52,0,0,0
2004-10,0,0,0,0
2004-11,56,0,0,0
2004-12,0,0,0,0
2005-01,0,0,0,0
2005-02,0,0,0,0
2005-03,0,0,0,0
2005-04,100,0,0,0
2005-05,37,0,0,0
2005-06,0,0,0,0
2005-07,36,0,0,0
2005-08,31,0,0,0
2005-09,32,0,0,0
2005-10,0,0,0,0
2005-11,38,0,0,0
2005-12,50,0,0,0
2006-01,0,0,0,0
2006-02,41,0,0,0
2006-03,0,0,0,0
2006-04,0,0,0,0
2006-05,0,0,0,0
2006-06,66,0,0,0
2006-07,32,0,0,0
2006-08,0,0,0,0
2006-09,29,0,0,0
2006-10,0,0,0,0
2006-11,0,0,0,0
2006-12,0,0,0,0
2007-01,27,0,0,0
2007-02,0,0,0,0
2007-03,24,0,0,0
2007-04,76,0,0,0
2007-05,20,0,0,0
2007-06,0,0,0,0
2007-07,0,0,0,0
2007-08,0,0,0,0
2007-09,0,0,0,0
2007-10,0,0,0,0
2007-11,0,0,0,0
2007-12,0,0,0,0
2008-01,31,0,0,0
2008-02,29,0,0,0
2008-03,13,0,0,0
2008-04,26,0,0,0
2008-05,12,0,0,0
2008-06,0,0,0,0
2008-07,83,0,0,0
2008-08,34,0,0,0
2008-09,21,0,0,0
2008-10,39,0,0,0
2008-11,0,0,0,0
2008-12,0,0,0,0
2009-01,0,0,0,0
2009-02,20,0,0,0
2009-03,17,0,0,0
2009-04,27,0,0,0
2009-05,16,0,0,0
2009-06,24,0,0,0
2009-07,15,0,0,0
2009-08,36,0,0,0
2009-09,26,0,0,0
2009-10,0,0,0,0
2009-11,17,0,0,0
2009-12,20,0,0,0
2010-01,9,0,0,0
2010-02,9,0,0,0
2010-03,0,0,0,0
2010-04,17,0,0,0
2010-05,8,0,0,0
2010-06,33,0,0,0
2010-07,24,0,0,0
2010-08,7,0,0,0
2010-09,8,0,0,0
2010-10,0,0,0,0
2010-11,30,0,0,0
2010-12,0,0,0,0
2011-01,18,0,0,0
2011-02,0,0,0,0
2011-03,7,0,0,0
2011-04,0,0,0,0
2011-05,0,0,0,0
2011-06,8,0,0,0
2011-07,0,0,0,0
2011-08,15,0,0,0
2011-09,8,0,0,0
2011-10,0,0,0,0
2011-11,0,0,0,0
2011-12,28,0,0,0
2012-01,8,0,0,0
2012-02,0,0,0,0
2012-03,0,0,0,0
2012-04,15,0,0,0
2012-05,19,0,0,0
2012-06,0,0,0,0
2012-07,21,0,0,0
2012-08,13,0,0,0
2012-09,27,0,0,0
2012-10,6,0,0,0
2012-11,13,0,0,0
2012-12,0,0,0,0
2013-01,0,0,0,0
2013-02,13,0,0,0
2013-03,12,0,0,0
2013-04,12,0,0,0
2013-05,11,0,0,0
2013-06,23,0,0,0
2013-07,59,0,0,0
2013-08,6,0,0,0
2013-09,17,0,0,0
2013-10,6,0,0,0
2013-11,6,0,0,0
2013-12,6,0,0,0
2014-01,21,0,0,0
2014-02,14,0,0,0
2014-03,8,0,0,0
2014-04,32,0,0,0
2014-05,18,0,0,0
2014-06,5,0,0,0
2014-07,24,0,0,0
2014-08,28,0,0,0
2014-09,15,0,0,0
2014-10,24,0,0,0
2014-11,9,0,0,0
2014-12,10,0,0,0
2015-01,23,0,0,0
2015-02,14,0,0,0
2015-03,13,0,0,0
