Category: Business & Industrial,,,,
,,,,
Month,Orica: (Australia),Aluminium Sulphate: (Australia),Aluminium Chlorohydrate: (Australia),Poly Aluminium chloride: (Australia)
2004-01,50,0,0,0
2004-02,79,8,0,0
2004-03,51,0,0,0
2004-04,65,0,0,0
2004-05,70,0,0,0
2004-06,70,6,0,0
2004-07,60,0,0,0
2004-08,33,5,0,0
2004-09,62,10,0,0
2004-10,76,0,0,0
2004-11,55,0,0,0
2004-12,47,0,0,0
2005-01,75,5,0,0
2005-02,100,0,0,0
2005-03,77,8,0,0
2005-04,92,5,0,0
2005-05,70,0,0,0
2005-06,75,0,0,0
2005-07,58,4,0,0
2005-08,68,7,0,0
2005-09,80,0,0,0
2005-10,57,0,0,0
2005-11,60,3,0,0
2005-12,64,4,0,0
2006-01,62,0,3,0
2006-02,77,0,0,0
2006-03,64,3,0,0
2006-04,57,0,0,0
2006-05,87,0,0,0
2006-06,55,5,0,0
2006-07,64,2,0,0
2006-08,60,2,0,0
2006-09,45,0,0,0
2006-10,79,2,0,0
2006-11,62,2,0,0
2006-12,52,0,0,0
2007-01,37,0,0,0
2007-02,66,4,0,0
2007-03,81,2,0,0
2007-04,81,4,0,0
2007-05,77,3,0,0
2007-06,72,6,0,0
2007-07,61,2,0,0
2007-08,64,3,0,0
2007-09,62,3,2,0
2007-10,42,3,0,0
2007-11,52,0,0,0
2007-12,48,0,0,0
2008-01,55,0,0,0
2008-02,47,1,0,0
2008-03,48,3,0,0
2008-04,80,1,0,0
2008-05,46,1,1,0
2008-06,51,3,0,0
2008-07,58,1,0,0
2008-08,64,4,0,0
2008-09,53,1,0,0
2008-10,60,2,0,0
2008-11,52,1,0,0
2008-12,51,0,0,0
2009-01,48,3,0,0
2009-02,52,2,0,0
2009-03,53,1,0,0
2009-04,57,2,1,0
2009-05,56,1,0,0
2009-06,47,2,0,0
2009-07,41,2,0,0
2009-08,44,0,0,0
2009-09,47,2,0,0
2009-10,55,0,0,0
2009-11,54,4,0,0
2009-12,31,0,0,0
2010-01,37,0,0,0
2010-02,45,2,0,0
2010-03,55,6,0,0
2010-04,42,1,2,0
2010-05,54,5,0,0
2010-06,57,3,1,0
2010-07,53,2,0,0
2010-08,43,2,0,0
2010-09,42,2,0,0
2010-10,37,3,0,0
2010-11,47,2,0,0
2010-12,35,1,0,0
2011-01,32,0,0,0
2011-02,37,3,1,0
2011-03,38,1,0,0
2011-04,37,1,0,0
2011-05,34,2,1,0
2011-06,36,2,0,0
2011-07,36,3,0,0
2011-08,74,2,0,0
2011-09,62,3,0,0
2011-10,46,3,1,0
2011-11,69,0,0,0
2011-12,48,3,0,0
2012-01,45,<1,0,0
2012-02,60,4,0,0
2012-03,51,3,0,0
2012-04,53,1,0,0
2012-05,74,5,<1,0
2012-06,58,3,0,0
2012-07,58,2,0,0
2012-08,45,2,0,0
2012-09,48,1,1,0
2012-10,42,1,0,0
2012-11,43,2,0,0
2012-12,32,1,0,0
2013-01,41,<1,0,0
2013-02,41,2,0,0
2013-03,50,1,0,0
2013-04,48,1,<1,0
2013-05,44,3,0,0
2013-06,49,1,0,0
2013-07,100,1,0,0
2013-08,41,1,0,0
2013-09,42,1,0,0
2013-10,35,2,0,0
2013-11,34,1,0,0
2013-12,25,2,0,0
2014-01,36,1,0,0
2014-02,48,2,0,0
2014-03,41,3,0,0
2014-04,35,2,0,0
2014-05,54,3,<1,0
2014-06,37,2,0,0
2014-07,68,1,0,0
2014-08,40,2,<1,0
2014-09,33,<1,0,0
2014-10,32,4,0,0
2014-11,30,1,0,0
2014-12,31,2,0,0
2015-01,32,<1,<1,0
2015-02,30,1,0,0
2015-03,51,2,0,0
