Category: Business & Industrial,,,,
,,,,
Month,Ixom: (Australia),Aluminium Sulphate: (Australia),Aluminium Chlorohydrate: (Australia),Poly Aluminium chloride: (Australia)
2015-04,62,57,0,0
2015-05,39,35,9,0
2015-06,50,65,0,0
2015-07,48,27,0,0
2015-08,27,67,0,0
2015-09,38,53,27,0
2015-10,74,34,0,0
2015-11,9,26,0,0
2015-12,10,9,0,0
2016-01,29,27,18,0
2016-02,30,18,9,0
2016-03,18,34,9,0
2016-04,57,79,0,0
2016-05,100,67,0,0
2016-06,19,44,0,0
2016-07,50,37,0,0
2016-08,29,63,0,0
2016-09,40,37,19,0
2016-10,29,62,0,0
2016-11,0,35,0,0
2016-12,69,27,0,0
2017-01,28,34,9,0
2017-02,77,35,0,0
2017-03,65,60,0,0
2017-04,27,34,0,0
2017-05,44,65,0,0
2017-06,28,52,0,0
2017-07,46,17,9,0
2017-08,43,40,0,0
2017-09,9,17,0,0
2017-10,60,40,0,0
2017-11,34,40,0,0
2017-12,28,8,9,0
2018-01,69,8,0,0
2018-02,28,43,9,0
2018-03,33,46,0,0
2018-04,60,24,0,0
2018-05,73,45,0,0
2018-06,85,23,0,0
2018-07,51,23,0,0
2018-08,33,60,0,0
2018-09,70,32,0,0
2018-10,67,23,0,0
2018-11,68,24,0,0
2018-12,81,33,0,0
2019-01,51,16,0,0
2019-02,36,41,8,0
2019-03,40,37,0,0
2019-04,34,32,0,0
2019-05,47,36,0,0
2019-06,41,23,8,0
2019-07,8,8,8,0
2019-08,23,57,0,0
2019-09,48,7,0,0
2019-10,39,14,0,0
2019-11,24,29,0,0
2019-12,49,38,0,0
2020-01,31,49,0,0
2020-02,47,43,0,0
2020-03,14,25,0,0
2020-04,48,19,0,0
2020-05,27,50,0,0
2020-06,30,41,0,0
2020-07,15,41,0,0
2020-08,22,40,0,0
2020-09,31,43,0,0
2020-10,17,31,0,0
2020-11,9,39,8,0
2020-12,52,40,0,0
2021-01,17,46,0,0
2021-02,18,34,0,0
2021-03,34,47,8,0
2021-04,43,16,0,0
2021-05,57,23,0,0
2021-06,0,23,0,0
2021-07,16,51,7,0
2021-08,24,52,0,0
2021-09,34,8,8,0
2021-10,50,23,0,0
2021-11,44,24,0,0
2021-12,27,25,0,0
2022-01,33,53,0,0
2022-02,29,9,0,0
2022-03,49,30,0,0
