Category: Business & Industrial,,,,
,,,,
Month,Ixom: (New South Wales),Aluminium Sulphate: (New South Wales),Aluminium Chlorohydrate: (New South Wales),Poly Aluminium chloride: (New South Wales)
2015-04,85,38,0,0
2015-05,0,18,0,0
2015-06,65,39,0,0
2015-07,22,0,0,0
2015-08,42,19,0,0
2015-09,22,0,0,0
2015-10,41,19,0,0
2015-11,0,38,0,0
2015-12,23,0,0,0
2016-01,46,0,0,0
2016-02,0,21,0,0
2016-03,21,19,0,0
2016-04,45,80,0,0
2016-05,63,19,0,0
2016-06,22,0,0,0
2016-07,23,0,0,0
2016-08,0,40,0,0
2016-09,23,20,0,0
2016-10,22,59,0,0
2016-11,0,0,0,0
2016-12,46,20,0,0
2017-01,21,19,0,0
2017-02,22,0,0,0
2017-03,19,100,0,0
2017-04,0,0,0,0
2017-05,20,18,0,0
2017-06,21,57,0,0
2017-07,43,19,0,0
2017-08,60,18,0,0
2017-09,0,0,0,0
2017-10,61,36,0,0
2017-11,41,0,0,0
2017-12,44,20,0,0
2018-01,41,0,0,0
2018-02,44,39,0,0
2018-03,19,35,0,0
2018-04,61,18,0,0
2018-05,38,17,0,0
2018-06,99,18,0,0
2018-07,40,36,0,0
2018-08,19,17,0,0
2018-09,20,0,0,0
2018-10,19,0,0,0
2018-11,59,35,0,0
2018-12,21,0,0,0
2019-01,0,0,0,0
2019-02,41,18,0,0
2019-03,37,16,0,0
2019-04,39,0,0,0
2019-05,36,49,0,0
2019-06,37,17,0,0
2019-07,39,17,0,0
2019-08,0,33,0,0
2019-09,37,0,0,0
2019-10,0,16,0,0
2019-11,37,0,0,0
2019-12,19,17,0,0
2020-01,18,32,0,0
2020-02,0,0,0,0
2020-03,0,29,0,0
2020-04,33,29,0,0
2020-05,0,29,0,0
2020-06,52,46,0,0
2020-07,0,63,0,0
2020-08,17,0,0,0
2020-09,18,49,0,0
2020-10,0,0,0,0
2020-11,0,36,0,0
2020-12,80,36,0,0
2021-01,20,0,0,0
2021-02,0,40,0,0
2021-03,20,35,0,0
2021-04,0,38,0,0
2021-05,60,0,0,0
2021-06,0,0,0,0
2021-07,19,67,0,0
2021-08,19,50,0,0
2021-09,0,18,0,0
2021-10,0,36,0,0
2021-11,42,57,0,0
2021-12,0,0,0,0
2022-01,60,36,0,0
2022-02,23,0,0,0
2022-03,60,18,0,0
