Category: Business & Industrial,,,,
,,,,
Month,Orica: (Queensland),Aluminium Sulphate: (Queensland),Aluminium Chlorohydrate: (Queensland),Poly Aluminium chloride: (Queensland)
2004-01,78,0,0,0
2004-02,100,0,0,0
2004-03,0,0,0,0
2004-04,62,0,0,0
2004-05,47,0,0,0
2004-06,74,0,0,0
2004-07,26,0,0,0
2004-08,43,0,0,0
2004-09,0,20,0,0
2004-10,0,0,0,0
2004-11,0,0,0,0
2004-12,0,0,0,0
2005-01,23,0,0,0
2005-02,22,0,0,0
2005-03,35,0,0,0
2005-04,37,0,0,0
2005-05,15,0,0,0
2005-06,50,0,0,0
2005-07,61,14,0,0
2005-08,41,25,0,0
2005-09,0,0,0,0
2005-10,36,0,0,0
2005-11,13,12,0,0
2005-12,31,0,0,0
2006-01,63,0,0,0
2006-02,61,0,0,0
2006-03,61,0,0,0
2006-04,22,0,0,0
2006-05,38,0,0,0
2006-06,40,0,0,0
2006-07,10,0,0,0
2006-08,25,0,0,0
2006-09,17,0,0,0
2006-10,41,0,0,0
2006-11,16,0,0,0
2006-12,39,0,0,0
2007-01,48,0,0,0
2007-02,32,0,0,0
2007-03,27,0,0,0
2007-04,21,0,0,0
2007-05,30,0,0,0
2007-06,20,0,0,0
2007-07,44,0,0,0
2007-08,45,0,0,0
2007-09,45,0,0,0
2007-10,6,5,0,0
2007-11,24,0,0,0
2007-12,21,0,0,0
2008-01,19,0,0,0
2008-02,6,0,0,0
2008-03,17,5,0,0
2008-04,30,0,0,0
2008-05,11,0,0,0
2008-06,34,0,0,0
2008-07,23,5,0,0
2008-08,44,10,0,0
2008-09,46,0,0,0
2008-10,21,0,0,0
2008-11,17,5,0,0
2008-12,34,0,0,0
2009-01,18,0,0,0
2009-02,12,0,0,0
2009-03,20,0,0,0
2009-04,22,10,0,0
2009-05,15,0,0,0
2009-06,20,0,0,0
2009-07,35,0,0,0
2009-08,0,0,0,0
2009-09,29,4,0,0
2009-10,40,0,0,0
2009-11,14,4,0,0
2009-12,10,0,0,0
2010-01,14,0,0,0
2010-02,23,9,0,0
2010-03,35,0,0,0
2010-04,13,0,0,0
2010-05,25,4,0,0
2010-06,26,8,0,0
2010-07,21,4,0,0
2010-08,15,0,0,0
2010-09,20,0,0,0
2010-10,19,0,0,0
2010-11,19,0,0,0
2010-12,17,0,0,0
2011-01,28,0,0,0
2011-02,13,0,0,0
2011-03,18,2,0,0
2011-04,15,0,0,0
2011-05,16,2,0,0
2011-06,16,3,0,0
2011-07,16,0,0,0
2011-08,28,3,0,0
2011-09,28,3,0,0
2011-10,33,3,0,0
2011-11,22,0,0,0
2011-12,21,4,0,0
2012-01,25,0,0,0
2012-02,26,3,0,0
2012-03,25,1,0,0
2012-04,25,1,0,0
2012-05,25,5,0,0
2012-06,41,0,0,0
2012-07,35,3,0,0
2012-08,33,0,0,0
2012-09,18,0,0,0
2012-10,11,1,0,0
2012-11,23,2,0,0
2012-12,15,0,0,0
2013-01,19,1,0,0
2013-02,23,0,0,0
2013-03,27,1,0,0
2013-04,34,0,0,0
2013-05,21,3,0,0
2013-06,20,0,0,0
2013-07,50,0,0,0
2013-08,29,1,0,0
2013-09,17,2,0,0
2013-10,12,1,0,0
2013-11,16,0,0,0
2013-12,11,1,0,0
2014-01,14,0,0,0
2014-02,25,1,0,0
2014-03,20,3,0,0
2014-04,13,2,0,0
2014-05,18,6,0,0
2014-06,17,2,0,0
2014-07,30,1,0,0
2014-08,24,1,0,0
2014-09,13,1,0,0
2014-10,15,5,0,0
2014-11,16,0,0,0
2014-12,13,1,0,0
2015-01,16,0,0,0
2015-02,8,2,0,0
2015-03,29,0,0,0
