Category: Business & Industrial,,,,
,,,,
Month,Ixom: (Queensland),Aluminium Sulphate: (Queensland),Aluminium Chlorohydrate: (Queensland),Poly Aluminium chloride: (Queensland)
2015-04,26,24,0,0
2015-05,0,23,0,0
2015-06,0,70,0,0
2015-07,0,22,0,0
2015-08,22,62,0,0
2015-09,23,43,0,0
2015-10,0,21,0,0
2015-11,0,21,0,0
2015-12,0,23,0,0
2016-01,0,22,0,0
2016-02,0,22,0,0
2016-03,0,21,0,0
2016-04,24,66,0,0
2016-05,0,64,0,0
2016-06,0,44,0,0
2016-07,24,68,0,0
2016-08,0,45,0,0
2016-09,0,0,0,0
2016-10,0,0,0,0
2016-11,0,22,0,0
2016-12,24,0,0,0
2017-01,0,20,0,0
2017-02,24,66,0,0
2017-03,0,0,0,0
2017-04,0,0,0,0
2017-05,0,100,0,0
2017-06,0,43,0,0
2017-07,0,21,0,0
2017-08,0,0,0,0
2017-09,0,0,0,0
2017-10,0,19,0,0
2017-11,0,0,0,0
2017-12,0,0,0,0
2018-01,41,0,0,0
2018-02,0,0,0,0
2018-03,0,19,0,0
2018-04,41,19,0,0
2018-05,20,0,0,0
2018-06,0,19,0,0
2018-07,0,0,0,0
2018-08,0,18,0,0
2018-09,21,19,0,0
2018-10,0,37,0,0
2018-11,0,38,0,0
2018-12,22,40,0,0
2019-01,0,0,0,0
2019-02,22,20,0,0
2019-03,0,55,0,0
2019-04,0,39,0,0
2019-05,20,0,0,0
2019-06,0,37,0,0
2019-07,0,0,0,0
2019-08,19,71,0,0
2019-09,19,18,0,0
2019-10,18,34,0,0
2019-11,19,36,0,0
2019-12,19,18,0,0
2020-01,0,17,0,0
2020-02,19,35,0,0
2020-03,0,31,0,0
2020-04,17,0,0,0
2020-05,33,31,0,0
2020-06,0,50,0,0
2020-07,0,17,0,0
2020-08,18,17,0,0
2020-09,19,0,0,0
2020-10,19,36,0,0
2020-11,0,0,0,0
2020-12,0,18,0,0
2021-01,0,0,0,0
2021-02,0,20,0,0
2021-03,0,35,0,0
2021-04,20,0,0,0
2021-05,0,0,0,0
2021-06,0,0,0,0
2021-07,0,34,0,0
2021-08,19,0,0,0
2021-09,0,0,0,0
2021-10,20,0,0,0
2021-11,20,0,0,0
2021-12,41,19,0,0
2022-01,19,0,0,0
2022-02,22,0,0,0
2022-03,0,18,0,0
