Category: All categories,,,,
,,,,
Month,Orica: (South Australia),Aluminium Sulphate: (South Australia),Aluminium Chlorohydrate: (South Australia),poly Aluminium Chloride: (South Australia)
2004-01,0,0,0,0
2004-02,0,0,0,0
2004-03,0,0,0,0
2004-04,0,0,0,0
2004-05,0,0,0,0
2004-06,100,0,0,0
2004-07,0,0,0,0
2004-08,0,0,0,0
2004-09,64,0,0,0
2004-10,32,0,0,0
2004-11,0,0,0,0
2004-12,0,0,0,0
2005-01,30,0,0,0
2005-02,0,0,0,0
2005-03,24,0,0,0
2005-04,28,0,0,0
2005-05,45,0,0,0
2005-06,0,0,0,0
2005-07,24,0,0,0
2005-08,0,0,0,0
2005-09,0,0,0,0
2005-10,0,0,0,0
2005-11,0,0,0,0
2005-12,46,0,0,0
2006-01,20,0,0,0
2006-02,38,0,0,0
2006-03,48,0,0,0
2006-04,52,0,0,0
2006-05,87,0,0,0
2006-06,61,0,0,0
2006-07,0,0,0,0
2006-08,39,0,0,0
2006-09,13,0,0,0
2006-10,26,0,0,0
2006-11,12,0,0,0
2006-12,0,0,0,0
2007-01,12,0,0,0
2007-02,36,0,0,0
2007-03,0,0,0,0
2007-04,20,0,0,0
2007-05,24,0,0,0
2007-06,25,0,0,0
2007-07,25,0,0,0
2007-08,30,0,0,0
2007-09,16,0,0,0
2007-10,15,0,0,0
2007-11,8,0,0,0
2007-12,45,0,0,0
2008-01,40,0,0,0
2008-02,8,0,0,0
2008-03,0,0,0,0
2008-04,7,0,0,0
2008-05,13,0,0,0
2008-06,0,0,0,0
2008-07,35,0,0,0
2008-08,6,0,0,0
2008-09,26,0,0,0
2008-10,20,0,0,0
2008-11,7,0,0,0
2008-12,16,0,0,0
2009-01,22,0,0,0
2009-02,14,0,0,0
2009-03,18,0,0,0
2009-04,13,0,0,0
2009-05,6,0,0,0
2009-06,23,0,0,0
2009-07,11,0,0,0
2009-08,16,0,0,0
2009-09,17,0,0,0
2009-10,31,0,0,0
2009-11,19,0,0,0
2009-12,19,0,0,0
2010-01,24,0,0,0
2010-02,13,0,0,0
2010-03,11,0,0,0
2010-04,29,0,0,0
2010-05,22,0,0,0
2010-06,11,0,0,0
2010-07,21,0,0,0
2010-08,30,0,0,0
2010-09,21,0,0,0
2010-10,10,0,0,0
2010-11,10,0,0,0
2010-12,16,0,0,0
2011-01,11,0,0,0
2011-02,14,0,0,0
2011-03,16,0,0,0
2011-04,10,0,0,0
2011-05,22,0,0,0
2011-06,13,0,0,0
2011-07,18,0,0,0
2011-08,12,0,0,0
2011-09,9,0,0,0
2011-10,26,0,0,0
2011-11,10,0,0,0
2011-12,25,0,0,0
2012-01,6,0,0,0
2012-02,18,0,0,0
2012-03,19,0,0,0
2012-04,17,0,0,0
2012-05,23,0,0,0
2012-06,22,0,0,0
2012-07,34,0,0,0
2012-08,17,0,0,0
2012-09,8,0,0,0
2012-10,9,0,0,0
2012-11,12,0,0,0
2012-12,15,0,0,0
2013-01,21,0,0,0
2013-02,11,0,0,0
2013-03,16,0,0,0
2013-04,18,0,0,0
2013-05,11,0,0,0
2013-06,19,0,0,0
2013-07,51,0,0,0
2013-08,11,0,0,0
2013-09,6,0,0,0
2013-10,11,0,0,0
2013-11,11,0,0,0
2013-12,8,0,0,0
2014-01,29,0,0,0
2014-02,11,0,0,0
2014-03,8,0,0,0
2014-04,13,0,0,0
2014-05,23,0,0,0
2014-06,10,0,0,0
2014-07,53,0,0,0
2014-08,19,0,0,0
2014-09,15,0,0,0
2014-10,7,0,0,0
2014-11,9,0,0,0
2014-12,6,0,0,0
2015-01,15,0,0,0
2015-02,4,0,0,0
2015-03,15,0,0,0
