Category: Business & Industrial,,,,
,,,,
Month,Orica: (Victoria),Aluminium Sulphate: (Victoria),Aluminium Chlorohydrate: (Victoria),Poly Aluminium chloride: (Victoria)
2004-01,24,0,0,0
2004-02,22,0,0,0
2004-03,52,0,0,0
2004-04,20,0,0,0
2004-05,45,0,0,0
2004-06,48,0,0,0
2004-07,82,0,0,0
2004-08,27,0,0,0
2004-09,100,13,0,0
2004-10,73,0,0,0
2004-11,62,0,0,0
2004-12,33,0,0,0
2005-01,72,0,0,0
2005-02,99,0,0,0
2005-03,70,0,0,0
2005-04,79,0,0,0
2005-05,52,0,0,0
2005-06,73,0,0,0
2005-07,51,0,0,0
2005-08,64,0,0,0
2005-09,72,0,0,0
2005-10,57,0,0,0
2005-11,9,0,0,0
2005-12,19,0,0,0
2006-01,8,0,0,0
2006-02,16,0,0,0
2006-03,48,6,0,0
2006-04,35,0,0,0
2006-05,67,0,0,0
2006-06,0,6,0,0
2006-07,54,0,0,0
2006-08,27,0,0,0
2006-09,35,0,0,0
2006-10,63,0,0,0
2006-11,65,5,0,0
2006-12,48,0,0,0
2007-01,10,0,0,0
2007-02,52,5,0,0
2007-03,80,4,0,0
2007-04,63,4,0,0
2007-05,42,3,0,0
2007-06,37,4,0,0
2007-07,48,0,0,0
2007-08,41,7,0,0
2007-09,31,0,0,0
2007-10,29,0,0,0
2007-11,31,0,0,0
2007-12,41,0,0,0
2008-01,36,0,0,0
2008-02,50,4,0,0
2008-03,59,0,0,0
2008-04,66,4,0,0
2008-05,43,3,0,0
2008-06,39,0,0,0
2008-07,52,0,0,0
2008-08,42,3,0,0
2008-09,37,0,0,0
2008-10,52,0,0,0
2008-11,48,0,0,0
2008-12,34,0,0,0
2009-01,48,4,0,0
2009-02,35,0,0,0
2009-03,54,3,0,0
2009-04,44,0,0,0
2009-05,73,0,0,0
2009-06,36,3,0,0
2009-07,23,0,0,0
2009-08,28,0,0,0
2009-09,32,0,0,0
2009-10,37,0,0,0
2009-11,48,3,0,0
2009-12,29,0,0,0
2010-01,23,0,0,0
2010-02,37,0,0,0
2010-03,35,3,0,0
2010-04,26,0,0,0
2010-05,46,3,0,0
2010-06,29,3,0,0
2010-07,43,0,0,0
2010-08,24,0,0,0
2010-09,28,3,0,0
2010-10,19,2,0,0
2010-11,46,0,0,0
2010-12,26,0,0,0
2011-01,14,0,0,0
2011-02,28,1,0,0
2011-03,26,0,0,0
2011-04,20,2,0,0
2011-05,20,2,0,0
2011-06,22,1,0,0
2011-07,34,3,0,0
2011-08,38,0,0,0
2011-09,34,1,0,0
2011-10,26,1,0,0
2011-11,48,0,0,0
2011-12,28,2,0,0
2012-01,25,0,0,0
2012-02,44,0,0,0
2012-03,33,2,0,0
2012-04,28,1,0,0
2012-05,52,2,0,0
2012-06,33,2,0,0
2012-07,39,0,0,0
2012-08,31,1,0,0
2012-09,28,1,0,0
2012-10,32,1,0,0
2012-11,28,0,0,0
2012-12,15,1,0,0
2013-01,25,0,0,0
2013-02,25,1,0,0
2013-03,23,0,0,0
2013-04,23,1,0,0
2013-05,26,2,0,0
2013-06,30,2,0,0
2013-07,80,0,0,0
2013-08,24,1,0,0
2013-09,22,0,0,0
2013-10,24,1,0,0
2013-11,27,1,0,0
2013-12,15,2,0,0
2014-01,20,2,0,0
2014-02,34,1,0,0
2014-03,27,1,0,0
2014-04,22,1,0,0
2014-05,32,0,0,0
2014-06,25,0,0,0
2014-07,46,2,0,0
2014-08,26,1,0,0
2014-09,27,0,0,0
2014-10,18,3,0,0
2014-11,22,2,0,0
2014-12,23,1,0,0
2015-01,27,1,0,0
2015-02,27,1,0,0
2015-03,45,1,0,0
