Category: Business & Industrial,,,,
,,,,
Month,Ixom: (Victoria),Aluminium Sulphate: (Victoria),Aluminium Chlorohydrate: (Victoria),Poly Aluminium chloride: (Victoria)
2015-04,43,20,0,0
2015-05,21,0,0,0
2015-06,21,19,0,0
2015-07,39,0,0,0
2015-08,0,33,0,0
2015-09,0,18,0,0
2015-10,37,17,0,0
2015-11,19,0,0,0
2015-12,0,0,0,0
2016-01,20,36,0,0
2016-02,20,0,0,0
2016-03,0,0,0,0
2016-04,19,17,0,0
2016-05,37,17,0,0
2016-06,0,36,0,0
2016-07,20,18,0,0
2016-08,20,36,0,0
2016-09,0,0,0,0
2016-10,39,18,0,0
2016-11,0,36,0,0
2016-12,21,19,0,0
2017-01,19,0,0,0
2017-02,100,0,0,0
2017-03,86,16,0,0
2017-04,19,17,0,0
2017-05,18,33,0,0
2017-06,19,0,0,0
2017-07,38,0,0,0
2017-08,36,0,0,0
2017-09,19,0,0,0
2017-10,54,16,0,0
2017-11,0,33,0,0
2017-12,19,0,0,0
2018-01,54,16,0,0
2018-02,0,17,0,0
2018-03,35,16,0,0
2018-04,18,0,0,0
2018-05,67,15,0,0
2018-06,53,0,0,0
2018-07,35,0,0,0
2018-08,34,31,0,0
2018-09,19,0,0,0
2018-10,34,15,0,0
2018-11,70,0,0,0
2018-12,37,17,0,0
2019-01,35,16,0,0
2019-02,19,0,0,0
2019-03,0,0,0,0
2019-04,53,0,0,0
2019-05,0,29,0,0
2019-06,69,0,0,0
2019-07,17,0,0,0
2019-08,32,15,0,0
2019-09,33,0,0,0
2019-10,16,0,0,0
2019-11,0,15,0,0
2019-12,34,0,0,0
2020-01,0,29,0,0
2020-02,0,15,0,0
2020-03,0,0,0,0
2020-04,28,0,0,0
2020-05,14,0,0,0
2020-06,15,14,0,0
2020-07,15,14,0,0
2020-08,0,26,0,0
2020-09,47,0,0,0
2020-10,17,31,0,0
2020-11,0,16,0,0
2020-12,38,17,0,0
2021-01,0,33,0,0
2021-02,0,18,0,0
2021-03,0,0,0,0
2021-04,37,0,0,0
2021-05,0,16,0,0
2021-06,17,47,0,0
2021-07,0,15,0,0
2021-08,17,15,0,0
2021-09,71,0,0,0
2021-10,35,0,0,0
2021-11,19,0,0,0
2021-12,0,0,0,0
2022-01,0,32,0,0
2022-02,42,0,0,0
2022-03,36,0,0,0
