Category: Business & Industrial,,,,
,,,,
Month,Orica: (Western Australia),Aluminium Sulphate: (Western Australia),Aluminium Chlorohydrate: (Western Australia),Poly Aluminium chloride: (Western Australia)
2004-01,0,0,0,0
2004-02,83,0,0,0
2004-03,93,0,0,0
2004-04,0,0,0,0
2004-05,0,0,0,0
2004-06,0,0,0,0
2004-07,0,0,0,0
2004-08,0,0,0,0
2004-09,50,0,0,0
2004-10,0,0,0,0
2004-11,55,0,0,0
2004-12,0,0,0,0
2005-01,0,0,0,0
2005-02,0,0,0,0
2005-03,0,0,0,0
2005-04,0,0,0,0
2005-05,72,0,0,0
2005-06,0,0,0,0
2005-07,0,0,0,0
2005-08,0,0,0,0
2005-09,34,0,0,0
2005-10,32,0,0,0
2005-11,100,0,0,0
2005-12,0,0,0,0
2006-01,0,0,0,0
2006-02,32,0,0,0
2006-03,0,0,0,0
2006-04,0,0,0,0
2006-05,24,0,0,0
2006-06,0,0,0,0
2006-07,25,0,0,0
2006-08,64,0,0,0
2006-09,22,0,0,0
2006-10,43,0,0,0
2006-11,0,0,0,0
2006-12,0,0,0,0
2007-01,0,0,0,0
2007-02,20,0,0,0
2007-03,0,0,0,0
2007-04,38,0,0,0
2007-05,0,0,0,0
2007-06,35,0,0,0
2007-07,34,0,0,0
2007-08,15,0,0,0
2007-09,33,0,0,0
2007-10,0,0,0,0
2007-11,33,0,0,0
2007-12,20,0,0,0
2008-01,36,0,0,0
2008-02,17,0,0,0
2008-03,0,0,0,0
2008-04,31,0,0,0
2008-05,0,0,0,0
2008-06,15,0,0,0
2008-07,15,0,0,0
2008-08,15,0,0,0
2008-09,29,0,0,0
2008-10,28,0,0,0
2008-11,30,0,0,0
2008-12,0,0,0,0
2009-01,33,0,0,0
2009-02,16,0,0,0
2009-03,13,0,0,0
2009-04,29,0,0,0
2009-05,13,0,0,0
2009-06,25,0,0,0
2009-07,26,0,0,0
2009-08,37,0,0,0
2009-09,11,0,0,0
2009-10,56,0,0,0
2009-11,67,0,0,0
2009-12,51,0,0,0
2010-01,36,0,0,0
2010-02,33,0,0,0
2010-03,28,0,0,0
2010-04,29,0,0,0
2010-05,53,0,0,0
2010-06,19,0,0,0
2010-07,75,0,0,0
2010-08,59,0,0,0
2010-09,53,0,0,0
2010-10,34,0,0,0
2010-11,25,0,0,0
2010-12,10,0,0,0
2011-01,15,0,0,0
2011-02,30,0,0,0
2011-03,26,0,0,0
2011-04,33,0,0,0
2011-05,30,0,0,0
2011-06,9,0,0,0
2011-07,37,0,0,0
2011-08,68,0,0,0
2011-09,53,0,0,0
2011-10,40,0,0,0
2011-11,28,0,0,0
2011-12,24,0,0,0
2012-01,26,0,0,0
2012-02,35,0,0,0
2012-03,47,0,0,0
2012-04,29,0,0,0
2012-05,69,0,0,0
2012-06,32,0,0,0
2012-07,56,0,0,0
2012-08,57,0,0,0
2012-09,50,0,0,0
2012-10,40,0,0,0
2012-11,34,0,0,0
2012-12,35,0,0,0
2013-01,27,0,0,0
2013-02,34,0,0,0
2013-03,52,0,0,0
2013-04,46,0,0,0
2013-05,47,0,0,0
2013-06,52,0,0,0
2013-07,78,0,0,0
2013-08,30,0,0,0
2013-09,26,0,0,0
2013-10,18,0,0,0
2013-11,23,0,0,0
2013-12,19,0,0,0
2014-01,30,0,0,0
2014-02,34,0,0,0
2014-03,46,0,0,0
2014-04,34,0,0,0
2014-05,53,0,0,0
2014-06,37,0,0,0
2014-07,47,0,0,0
2014-08,41,0,0,0
2014-09,27,0,0,0
2014-10,24,0,0,0
2014-11,18,0,0,0
2014-12,20,0,0,0
2015-01,8,0,0,0
2015-02,25,0,0,0
2015-03,26,0,0,0
