Category: All categories,,,,
,,,,
Month,Ixom: (Western Australia),Aluminium Sulphate: (Western Australia),Aluminium Chlorohydrate: (Western Australia),poly Aluminium Chloride: (Western Australia)
2015-04,0,0,0,0
2015-05,0,0,0,0
2015-06,0,0,0,0
2015-07,0,0,0,0
2015-08,0,0,0,0
2015-09,33,0,0,0
2015-10,0,0,0,0
2015-11,0,0,0,0
2015-12,0,0,0,0
2016-01,34,0,0,0
2016-02,35,0,0,0
2016-03,32,0,0,0
2016-04,0,0,0,0
2016-05,32,0,0,0
2016-06,0,0,0,0
2016-07,35,0,0,0
2016-08,0,0,0,0
2016-09,0,0,0,0
2016-10,0,0,0,0
2016-11,100,0,0,0
2016-12,71,0,0,0
2017-01,0,0,0,0
2017-02,34,0,0,0
2017-03,30,0,0,0
2017-04,0,0,0,0
2017-05,0,0,0,0
2017-06,0,0,0,0
2017-07,33,0,0,0
2017-08,0,0,0,0
2017-09,0,0,0,0
2017-10,0,0,0,0
2017-11,31,0,0,0
2017-12,0,0,0,0
2018-01,30,0,0,0
2018-02,33,0,0,0
2018-03,0,0,0,0
2018-04,0,0,0,0
2018-05,58,0,0,0
2018-06,31,0,0,0
2018-07,60,0,0,0
2018-08,58,0,0,0
2018-09,0,0,0,0
2018-10,59,0,0,0
2018-11,0,0,0,0
2018-12,97,0,0,0
2019-01,0,0,0,0
2019-02,33,0,0,0
2019-03,29,0,0,0
2019-04,31,0,0,0
2019-05,30,0,0,0
2019-06,0,0,0,0
2019-07,29,0,0,0
2019-08,0,0,0,0
2019-09,0,0,0,0
2019-10,28,0,0,0
2019-11,56,0,0,0
2019-12,28,0,0,0
2020-01,27,0,0,0
2020-02,83,0,0,0
2020-03,0,0,0,0
2020-04,0,0,0,0
2020-05,24,0,0,0
2020-06,0,0,0,0
2020-07,0,0,0,0
2020-08,54,0,0,0
2020-09,28,0,0,0
2020-10,0,0,0,0
2020-11,0,0,0,0
2020-12,0,0,0,0
2021-01,28,0,0,0
2021-02,31,0,0,0
2021-03,57,0,0,0
2021-04,0,0,0,0
2021-05,27,0,0,0
2021-06,0,0,0,0
2021-07,54,0,0,0
2021-08,0,0,0,0
2021-09,31,0,0,0
2021-10,30,0,0,0
2021-11,0,0,0,0
2021-12,0,0,0,0
2022-01,0,0,0,0
2022-02,64,0,0,0
2022-03,0,0,0,0
