date,Ixom,Coogee Chemicals,Cleveland Bay Chemicals,Nalco Water,Omega Chemicals,isPartial
2015-03-01,29,39,0,0,0,False
2015-04-01,62,10,0,0,40,False
2015-05-01,29,29,0,0,0,False
2015-06-01,50,40,0,10,0,False
2015-07-01,48,38,0,9,19,False
2015-08-01,36,72,0,18,36,False
2015-09-01,29,85,0,0,28,False
2015-10-01,74,73,0,18,0,False
2015-11-01,19,37,0,9,9,False
2015-12-01,10,10,0,0,19,False
2016-01-01,20,10,0,0,10,False
2016-02-01,20,49,0,0,19,False
2016-03-01,18,27,0,9,9,False
2016-04-01,38,19,0,0,9,False
2016-05-01,100,27,0,9,9,False
2016-06-01,10,19,0,19,0,False
2016-07-01,50,10,0,20,29,False
2016-08-01,39,19,0,10,48,False
2016-09-01,50,20,0,20,10,False
2016-10-01,38,19,0,19,9,False
2016-11-01,0,28,0,9,9,False
2016-12-01,79,20,0,0,0,False
2017-01-01,18,27,0,9,0,False
2017-02-01,77,48,0,10,9,False
2017-03-01,74,8,0,0,16,False
2017-04-01,18,18,0,9,9,False
2017-05-01,53,17,0,0,17,False
2017-06-01,47,9,0,19,19,False
2017-07-01,46,9,0,18,0,False
2017-08-01,43,26,0,0,17,False
2017-09-01,19,46,0,0,18,False
2017-10-01,60,34,0,8,8,False
2017-11-01,52,26,0,17,17,False
2017-12-01,28,46,0,0,18,False
2018-01-01,77,43,0,17,25,False
2018-02-01,56,28,0,0,27,False
2018-03-01,33,49,0,8,0,False
2018-04-01,69,26,0,0,8,False
2018-05-01,57,16,0,8,0,False
2018-06-01,77,25,0,0,17,False
2018-07-01,43,0,0,0,0,False
2018-08-01,33,16,0,16,32,False
2018-09-01,79,44,0,0,9,False
2018-10-01,59,17,0,0,0,False
2018-11-01,68,59,0,0,0,False
2018-12-01,81,36,0,18,9,False
2019-01-01,51,42,0,0,8,False
2019-02-01,36,27,0,0,35,False
2019-03-01,32,24,0,0,16,False
2019-04-01,43,34,0,34,17,False
2019-05-01,39,39,0,8,31,False
2019-06-01,41,8,0,0,32,False
2019-07-01,16,24,0,24,24,False
2019-08-01,31,15,0,23,31,False
2019-09-01,40,32,0,0,16,False
2019-10-01,23,16,0,8,31,False
2019-11-01,31,31,0,8,8,False
2019-12-01,49,49,0,0,24,False
2020-01-01,23,46,0,30,8,False
2020-02-01,55,39,0,0,23,False
2020-03-01,14,7,0,7,7,False
2020-04-01,41,0,0,0,0,False
2020-05-01,34,34,0,13,0,False
2020-06-01,22,7,0,0,29,False
2020-07-01,30,15,0,7,22,False
2020-08-01,22,29,0,14,21,False
2020-09-01,24,47,0,15,15,False
2020-10-01,17,8,0,0,16,False
2020-11-01,9,17,0,0,17,False
2020-12-01,52,34,0,9,8,False
2021-01-01,17,25,0,25,16,False
2021-02-01,46,64,0,9,0,False
2021-03-01,42,34,0,0,17,False
2021-04-01,43,9,0,9,0,False
2021-05-01,57,33,0,0,16,False
2021-06-01,0,33,0,16,16,False
2021-07-01,16,16,0,8,16,False
2021-08-01,24,24,0,24,8,False
2021-09-01,52,26,0,17,0,False
2021-10-01,50,33,0,8,25,False
2021-11-01,35,44,0,9,26,False
2021-12-01,18,9,0,0,0,False
2022-01-01,25,33,0,8,32,False
2022-02-01,48,38,0,0,9,False
2022-03-01,49,33,0,0,0,False
