date,Ixom,Coogee Chemicals,Cleveland Bay Chemicals,Nalco Water,Omega Chemicals,isPartial
2009-01-01,0,25,0,0,51,False
2009-02-01,0,100,0,25,0,False
2009-03-01,0,64,0,0,22,False
2009-04-01,0,23,0,23,0,False
2009-05-01,0,42,0,21,0,False
2009-06-01,0,0,0,21,0,False
2009-07-01,0,61,0,0,0,False
2009-08-01,0,58,0,97,0,False
2009-09-01,0,0,0,0,20,False
2009-10-01,0,20,0,0,41,False
2009-11-01,0,80,0,20,0,False
2009-12-01,0,22,0,0,24,False
2010-01-01,0,0,0,21,42,False
2010-02-01,0,42,0,0,63,False
2010-03-01,0,90,0,18,0,False
2010-04-01,0,19,0,19,39,False
2010-05-01,0,18,0,18,19,False
2010-06-01,0,19,0,0,19,False
2010-07-01,0,18,0,18,0,False
2010-08-01,0,17,0,0,0,False
2010-09-01,0,34,0,0,17,False
2010-10-01,0,49,0,0,0,False
2010-11-01,0,83,0,33,0,False
2010-12-01,0,36,0,18,19,False
2011-01-01,0,24,0,0,38,False
2011-02-01,0,12,0,24,13,False
2011-03-01,0,11,0,11,11,False
2011-04-01,0,11,0,0,24,False
2011-05-01,0,21,0,21,10,False
2011-06-01,0,22,0,22,0,False
2011-07-01,0,11,0,11,21,False
2011-08-01,0,29,0,10,20,False
2011-09-01,0,40,0,30,20,False
2011-10-01,0,38,0,0,10,False
2011-11-01,0,49,0,10,40,False
2011-12-01,0,10,0,21,10,False
2012-01-01,0,9,0,0,9,False
2012-02-01,0,37,0,0,38,False
2012-03-01,0,26,0,0,17,False
2012-04-01,0,9,0,0,9,False
2012-05-01,0,49,0,8,17,False
2012-06-01,0,34,0,0,9,False
2012-07-01,0,16,0,16,16,False
2012-08-01,0,39,0,15,33,False
2012-09-01,0,49,0,16,8,False
2012-10-01,0,30,0,15,0,False
2012-11-01,0,16,0,0,23,False
2012-12-01,0,16,0,8,0,False
2013-01-01,0,15,0,0,15,False
2013-02-01,0,40,0,8,8,False
2013-03-01,0,21,0,14,7,False
2013-04-01,0,49,0,0,7,False
2013-05-01,0,13,0,0,7,False
2013-06-01,0,14,0,0,28,False
2013-07-01,0,26,0,7,14,False
2013-08-01,0,58,0,6,6,False
2013-09-01,0,40,0,7,47,False
2013-10-01,0,32,0,13,0,False
2013-11-01,0,33,0,0,35,False
2013-12-01,0,35,0,35,0,False
2014-01-01,0,32,0,6,20,False
2014-02-01,0,34,0,14,7,False
2014-03-01,0,24,0,12,24,False
2014-04-01,0,44,0,6,19,False
2014-05-01,0,25,0,0,13,False
2014-06-01,0,7,0,14,7,False
2014-07-01,0,48,0,0,14,False
2014-08-01,0,26,0,0,7,False
2014-09-01,0,54,0,27,7,False
2014-10-01,0,39,0,0,0,False
2014-11-01,0,40,0,13,0,False
2014-12-01,0,49,0,7,0,False
2015-01-01,0,6,0,13,14,False
