,date,Ixom,Coogee Chemicals,Cleveland Bay Chemicals,Nalco Water,Omega Chemicals,isPartial,IXOM-share of search
0,2015-03-01,20,38,0,10,0,False,0.29411764705882354
1,2015-04-01,64,20,0,0,41,False,0.512
2,2015-05-01,39,29,0,10,0,False,0.5
3,2015-06-01,31,50,0,10,0,False,0.34065934065934067
4,2015-07-01,48,38,0,10,29,False,0.384
5,2015-08-01,36,90,0,18,36,False,0.2
6,2015-09-01,38,76,0,9,21,False,0.2638888888888889
7,2015-10-01,38,73,0,18,9,False,0.2753623188405797
8,2015-11-01,9,37,0,9,10,False,0.13846153846153847
9,2015-12-01,10,10,0,0,20,False,0.25
10,2016-01-01,29,19,0,0,0,False,0.6041666666666666
11,2016-02-01,31,49,0,0,20,False,0.31
12,2016-03-01,18,18,0,9,9,False,0.3333333333333333
13,2016-04-01,57,29,0,0,10,False,0.59375
14,2016-05-01,91,36,0,9,10,False,0.6232876712328768
15,2016-06-01,20,28,0,19,0,False,0.29850746268656714
16,2016-07-01,50,10,0,10,11,False,0.6172839506172839
17,2016-08-01,39,19,0,0,48,False,0.36792452830188677
18,2016-09-01,62,30,0,20,0,False,0.5535714285714286
19,2016-10-01,38,19,0,19,0,False,0.5
20,2016-11-01,0,28,0,0,10,False,0.0
21,2016-12-01,88,10,0,0,0,False,0.8979591836734694
22,2017-01-01,10,27,0,0,0,False,0.2702702702702703
23,2017-02-01,100,57,0,9,0,False,0.6024096385542169
24,2017-03-01,68,8,0,0,16,False,0.7391304347826086
25,2017-04-01,27,18,0,9,0,False,0.5
26,2017-05-01,52,17,0,0,0,False,0.7536231884057971
27,2017-06-01,30,9,0,9,20,False,0.4411764705882353
28,2017-07-01,29,9,0,18,0,False,0.5178571428571429
29,2017-08-01,52,34,0,0,9,False,0.5473684210526316
30,2017-09-01,10,55,0,0,18,False,0.12048192771084337
31,2017-10-01,62,34,0,17,17,False,0.47692307692307695
32,2017-11-01,45,26,0,17,0,False,0.5113636363636364
33,2017-12-01,37,36,0,0,10,False,0.4457831325301205
34,2018-01-01,60,43,0,0,9,False,0.5357142857142857
35,2018-02-01,55,28,0,0,20,False,0.5339805825242718
36,2018-03-01,17,57,0,8,0,False,0.2073170731707317
37,2018-04-01,63,34,0,0,9,False,0.5943396226415094
38,2018-05-01,51,16,0,8,0,False,0.68
39,2018-06-01,85,25,0,0,8,False,0.7203389830508474
40,2018-07-01,35,0,0,8,9,False,0.6730769230769231
41,2018-08-01,34,16,0,8,33,False,0.37362637362637363
42,2018-09-01,62,44,0,0,9,False,0.5391304347826087
43,2018-10-01,52,17,0,0,9,False,0.6666666666666666
44,2018-11-01,60,59,0,0,0,False,0.5042016806722689
45,2018-12-01,75,36,0,18,9,False,0.5434782608695652
46,2019-01-01,50,42,0,8,0,False,0.5
47,2019-02-01,45,27,0,0,19,False,0.4945054945054945
48,2019-03-01,32,40,0,0,16,False,0.36363636363636365
49,2019-04-01,36,43,0,34,9,False,0.29508196721311475
50,2019-05-01,55,39,0,16,31,False,0.3900709219858156
51,2019-06-01,48,8,0,0,33,False,0.5393258426966292
52,2019-07-01,8,24,0,17,33,False,0.0975609756097561
53,2019-08-01,23,23,0,23,25,False,0.24468085106382978
54,2019-09-01,50,40,0,0,9,False,0.5050505050505051
55,2019-10-01,32,15,0,8,31,False,0.37209302325581395
56,2019-11-01,31,39,0,8,8,False,0.36046511627906974
57,2019-12-01,26,57,0,0,9,False,0.2826086956521739
58,2020-01-01,23,46,0,23,8,False,0.23
59,2020-02-01,33,55,0,8,23,False,0.2773109243697479
60,2020-03-01,7,7,0,7,7,False,0.25
61,2020-04-01,36,7,0,0,0,False,0.8372093023255814
62,2020-05-01,34,40,0,20,7,False,0.33663366336633666
63,2020-06-01,8,7,0,0,24,False,0.20512820512820512
64,2020-07-01,30,15,0,0,8,False,0.5660377358490566
65,2020-08-01,15,22,0,7,22,False,0.22727272727272727
66,2020-09-01,16,31,0,16,16,False,0.20253164556962025
67,2020-10-01,17,8,0,8,0,False,0.5151515151515151
68,2020-11-01,9,17,0,0,0,False,0.34615384615384615
69,2020-12-01,36,34,0,9,9,False,0.4090909090909091
70,2021-01-01,17,25,0,25,17,False,0.20238095238095238
71,2021-02-01,48,64,0,19,0,False,0.366412213740458
72,2021-03-01,34,50,0,0,18,False,0.3333333333333333
73,2021-04-01,35,9,0,9,0,False,0.660377358490566
74,2021-05-01,60,32,0,0,0,False,0.6521739130434783
75,2021-06-01,8,33,0,16,9,False,0.12121212121212122
76,2021-07-01,8,31,0,8,16,False,0.12698412698412698
77,2021-08-01,25,24,0,32,9,False,0.2777777777777778
78,2021-09-01,52,26,0,17,0,False,0.5473684210526316
79,2021-10-01,50,33,0,8,9,False,0.5
80,2021-11-01,44,43,0,9,26,False,0.36065573770491804
81,2021-12-01,27,0,0,0,0,False,1.0
82,2022-01-01,33,32,0,8,32,False,0.3142857142857143
83,2022-02-01,47,47,0,0,0,False,0.5
84,2022-03-01,57,49,0,0,0,False,0.5377358490566038
