,date,Ixom,Coogee Chemicals,Cleveland Bay Chemicals,Nalco Water,Omega Chemicals,isPartial,IXOM-share of search
0,2015-03-01,17,0,0,0,0,False,1.0
1,2015-04-01,71,18,0,0,0,False,0.797752808988764
2,2015-05-01,34,34,0,17,0,False,0.4
3,2015-06-01,54,18,0,0,0,False,0.75
4,2015-07-01,38,19,0,0,0,False,0.6666666666666666
5,2015-08-01,35,35,0,0,0,False,0.5
6,2015-09-01,18,18,0,19,0,False,0.32727272727272727
7,2015-10-01,52,17,0,17,0,False,0.6046511627906976
8,2015-11-01,0,18,0,20,0,False,0.0
9,2015-12-01,19,0,0,0,0,False,1.0
10,2016-01-01,38,19,0,0,0,False,0.6666666666666666
11,2016-02-01,0,0,0,0,0,False,
12,2016-03-01,18,0,0,0,0,False,1.0
13,2016-04-01,37,0,0,0,0,False,1.0
14,2016-05-01,88,18,0,0,0,False,0.8301886792452831
15,2016-06-01,37,18,0,20,0,False,0.49333333333333335
16,2016-07-01,39,0,0,21,0,False,0.65
17,2016-08-01,37,19,0,0,0,False,0.6607142857142857
18,2016-09-01,57,0,0,0,0,False,1.0
19,2016-10-01,19,0,0,0,0,False,1.0
20,2016-11-01,0,19,0,0,0,False,0.0
21,2016-12-01,77,0,0,0,0,False,1.0
22,2017-01-01,18,18,0,18,0,False,0.3333333333333333
23,2017-02-01,55,0,0,0,0,False,1.0
24,2017-03-01,16,0,0,0,0,False,1.0
25,2017-04-01,18,0,0,0,0,False,1.0
26,2017-05-01,50,0,0,0,0,False,1.0
27,2017-06-01,18,0,0,0,0,False,1.0
28,2017-07-01,36,0,0,18,0,False,0.6666666666666666
29,2017-08-01,50,17,0,0,0,False,0.746268656716418
30,2017-09-01,0,36,0,0,0,False,0.0
31,2017-10-01,51,17,0,0,0,False,0.75
32,2017-11-01,34,0,0,0,0,False,1.0
33,2017-12-01,37,18,0,0,0,False,0.6727272727272727
34,2018-01-01,51,0,0,0,0,False,1.0
35,2018-02-01,74,0,0,0,0,False,1.0
36,2018-03-01,16,32,0,16,0,False,0.25
37,2018-04-01,51,0,0,0,0,False,1.0
38,2018-05-01,32,0,0,0,0,False,1.0
39,2018-06-01,100,17,0,0,0,False,0.8547008547008547
40,2018-07-01,34,0,0,0,0,False,1.0
41,2018-08-01,16,0,0,18,0,False,0.47058823529411764
42,2018-09-01,68,0,0,0,0,False,1.0
43,2018-10-01,49,0,0,0,0,False,1.0
44,2018-11-01,50,17,0,0,0,False,0.746268656716418
45,2018-12-01,35,0,0,0,0,False,1.0
46,2019-01-01,0,0,0,17,0,False,0.0
47,2019-02-01,34,0,0,0,0,False,1.0
48,2019-03-01,31,15,0,0,0,False,0.6739130434782609
49,2019-04-01,33,33,0,0,0,False,0.5
50,2019-05-01,46,0,0,0,0,False,1.0
51,2019-06-01,31,0,0,0,0,False,1.0
52,2019-07-01,32,16,0,16,0,False,0.5
53,2019-08-01,0,0,0,0,0,False,
54,2019-09-01,32,0,0,0,0,False,1.0
55,2019-10-01,31,0,0,0,0,False,1.0
56,2019-11-01,31,15,0,16,0,False,0.5
57,2019-12-01,16,16,0,0,0,False,0.5
58,2020-01-01,15,0,0,0,0,False,1.0
59,2020-02-01,31,16,0,0,0,False,0.6595744680851063
60,2020-03-01,0,0,0,13,0,False,0.0
61,2020-04-01,28,0,0,0,0,False,1.0
62,2020-05-01,0,0,0,15,0,False,0.0
63,2020-06-01,43,0,0,0,0,False,1.0
64,2020-07-01,15,0,0,0,0,False,1.0
65,2020-08-01,15,0,0,0,0,False,1.0
66,2020-09-01,15,0,0,0,0,False,1.0
67,2020-10-01,0,0,0,0,0,False,
68,2020-11-01,0,0,0,0,0,False,
69,2020-12-01,68,0,0,0,0,False,1.0
70,2021-01-01,17,17,0,33,0,False,0.2537313432835821
71,2021-02-01,19,19,0,0,0,False,0.5
72,2021-03-01,33,33,0,0,0,False,0.5
73,2021-04-01,18,0,0,0,0,False,1.0
74,2021-05-01,50,0,0,0,0,False,1.0
75,2021-06-01,0,17,0,0,0,False,0.0
76,2021-07-01,16,0,0,16,0,False,0.5
77,2021-08-01,16,0,0,17,0,False,0.48484848484848486
78,2021-09-01,17,0,0,0,0,False,1.0
79,2021-10-01,17,0,0,17,0,False,0.5
80,2021-11-01,35,0,0,0,0,False,1.0
81,2021-12-01,0,0,0,0,0,False,
82,2022-01-01,50,17,0,0,0,False,0.746268656716418
83,2022-02-01,19,38,0,0,0,False,0.3333333333333333
84,2022-03-01,50,0,0,0,0,False,1.0
