,date,Ixom,Coogee Chemicals,Cleveland Bay Chemicals,Nalco Water,Omega Chemicals,isPartial,IXOM-share of search
0,2015-03-01,0,0,0,0,0,False,
1,2015-04-01,0,0,0,0,0,False,
2,2015-05-01,0,0,0,0,0,False,
3,2015-06-01,0,0,0,0,0,False,
4,2015-07-01,41,0,0,0,0,False,1.0
5,2015-08-01,0,0,0,0,0,False,
6,2015-09-01,0,0,0,0,0,False,
7,2015-10-01,37,0,0,0,0,False,1.0
8,2015-11-01,37,0,0,0,0,False,1.0
9,2015-12-01,0,0,0,0,0,False,
10,2016-01-01,0,0,0,0,0,False,
11,2016-02-01,0,0,0,0,0,False,
12,2016-03-01,39,0,0,0,0,False,1.0
13,2016-04-01,0,0,0,0,0,False,
14,2016-05-01,0,0,0,0,0,False,
15,2016-06-01,0,0,0,0,0,False,
16,2016-07-01,0,0,0,0,0,False,
17,2016-08-01,0,0,0,0,0,False,
18,2016-09-01,41,0,0,0,0,False,1.0
19,2016-10-01,0,0,0,0,0,False,
20,2016-11-01,0,0,0,0,0,False,
21,2016-12-01,0,0,0,0,0,False,
22,2017-01-01,0,0,0,0,0,False,
23,2017-02-01,0,0,0,0,0,False,
24,2017-03-01,31,0,0,0,0,False,1.0
25,2017-04-01,0,0,0,0,0,False,
26,2017-05-01,0,0,0,0,0,False,
27,2017-06-01,0,0,0,0,0,False,
28,2017-07-01,0,0,0,0,0,False,
29,2017-08-01,0,0,0,0,0,False,
30,2017-09-01,0,0,0,0,0,False,
31,2017-10-01,0,0,0,0,0,False,
32,2017-11-01,33,0,0,0,0,False,1.0
33,2017-12-01,0,0,0,0,0,False,
34,2018-01-01,0,0,0,0,0,False,
35,2018-02-01,0,0,0,0,0,False,
36,2018-03-01,0,0,0,0,0,False,
37,2018-04-01,0,0,0,0,0,False,
38,2018-05-01,0,0,0,0,0,False,
39,2018-06-01,0,0,0,0,0,False,
40,2018-07-01,34,0,0,0,0,False,1.0
41,2018-08-01,30,0,0,0,0,False,1.0
42,2018-09-01,33,0,0,0,0,False,1.0
43,2018-10-01,34,0,0,0,0,False,1.0
44,2018-11-01,0,0,0,0,0,False,
45,2018-12-01,34,0,0,0,0,False,1.0
46,2019-01-01,32,0,0,0,0,False,1.0
47,2019-02-01,0,0,0,0,0,False,
48,2019-03-01,31,0,0,0,0,False,1.0
49,2019-04-01,0,0,0,0,0,False,
50,2019-05-01,0,0,0,0,0,False,
51,2019-06-01,0,0,0,0,0,False,
52,2019-07-01,0,0,0,0,0,False,
53,2019-08-01,0,0,0,0,0,False,
54,2019-09-01,0,0,0,0,0,False,
55,2019-10-01,0,0,0,0,0,False,
56,2019-11-01,0,0,0,0,0,False,
57,2019-12-01,0,0,0,0,0,False,
58,2020-01-01,28,0,0,0,0,False,1.0
59,2020-02-01,0,0,0,0,0,False,
60,2020-03-01,0,0,0,0,0,False,
61,2020-04-01,0,0,0,0,0,False,
62,2020-05-01,26,0,0,0,0,False,1.0
63,2020-06-01,0,0,0,0,0,False,
64,2020-07-01,0,0,0,0,0,False,
65,2020-08-01,0,0,0,0,0,False,
66,2020-09-01,0,0,0,0,0,False,
67,2020-10-01,0,0,0,0,0,False,
68,2020-11-01,0,0,0,0,0,False,
69,2020-12-01,0,0,0,0,0,False,
70,2021-01-01,0,0,0,0,0,False,
71,2021-02-01,100,0,0,0,0,False,1.0
72,2021-03-01,0,0,0,0,0,False,
73,2021-04-01,33,0,0,0,0,False,1.0
74,2021-05-01,0,0,0,0,0,False,
75,2021-06-01,0,0,0,0,0,False,
76,2021-07-01,0,0,0,0,0,False,
77,2021-08-01,0,0,0,0,0,False,
78,2021-09-01,0,0,0,0,0,False,
79,2021-10-01,0,0,0,0,0,False,
80,2021-11-01,0,0,0,0,0,False,
81,2021-12-01,0,0,0,0,0,False,
82,2022-01-01,0,0,0,0,0,False,
83,2022-02-01,0,0,0,0,0,False,
84,2022-03-01,0,0,0,0,0,False,
