,date,Ixom,Coogee Chemicals,Cleveland Bay Chemicals,Nalco Water,Omega Chemicals,isPartial,IXOM-share of search
0,2015-03-01,21,0,0,42,0,False,0.3333333333333333
1,2015-04-01,43,0,0,0,21,False,0.671875
2,2015-05-01,21,0,0,0,0,False,1.0
3,2015-06-01,0,0,0,21,0,False,0.0
4,2015-07-01,38,19,0,0,0,False,0.6666666666666666
5,2015-08-01,18,0,0,0,18,False,0.5
6,2015-09-01,38,19,0,0,21,False,0.48717948717948717
7,2015-10-01,74,36,0,0,0,False,0.6727272727272727
8,2015-11-01,0,0,0,0,18,False,0.0
9,2015-12-01,0,0,0,0,21,False,0.0
10,2016-01-01,0,0,0,0,0,False,
11,2016-02-01,60,0,0,0,20,False,0.75
12,2016-03-01,0,0,0,0,0,False,
13,2016-04-01,57,57,0,0,21,False,0.4222222222222222
14,2016-05-01,36,0,0,0,18,False,0.6666666666666666
15,2016-06-01,0,19,0,19,0,False,0.0
16,2016-07-01,60,0,0,20,20,False,0.6
17,2016-08-01,40,0,0,20,40,False,0.4
18,2016-09-01,21,0,0,20,0,False,0.5121951219512195
19,2016-10-01,20,0,0,19,19,False,0.3448275862068966
20,2016-11-01,0,0,0,0,0,False,
21,2016-12-01,21,0,0,0,0,False,1.0
22,2017-01-01,19,0,0,0,0,False,1.0
23,2017-02-01,100,0,0,0,0,False,1.0
24,2017-03-01,86,0,0,0,18,False,0.8269230769230769
25,2017-04-01,37,18,0,0,0,False,0.6727272727272727
26,2017-05-01,18,0,0,0,18,False,0.5
27,2017-06-01,39,19,0,0,19,False,0.5064935064935064
28,2017-07-01,38,0,0,0,0,False,1.0
29,2017-08-01,54,0,0,0,0,False,1.0
30,2017-09-01,38,19,0,0,19,False,0.5
31,2017-10-01,71,18,0,0,19,False,0.6574074074074074
32,2017-11-01,18,0,0,0,0,False,1.0
33,2017-12-01,19,0,0,0,19,False,0.5
34,2018-01-01,53,18,0,18,0,False,0.5955056179775281
35,2018-02-01,19,0,0,0,19,False,0.5
36,2018-03-01,53,0,0,0,0,False,1.0
37,2018-04-01,53,0,0,0,0,False,1.0
38,2018-05-01,51,0,0,0,0,False,1.0
39,2018-06-01,36,0,0,0,35,False,0.5070422535211268
40,2018-07-01,35,0,0,0,0,False,1.0
41,2018-08-01,34,17,0,17,0,False,0.5
42,2018-09-01,37,37,0,0,18,False,0.40217391304347827
43,2018-10-01,51,17,0,0,17,False,0.6
44,2018-11-01,52,17,0,0,0,False,0.7536231884057971
45,2018-12-01,37,18,0,18,0,False,0.5068493150684932
46,2019-01-01,86,0,0,0,0,False,1.0
47,2019-02-01,18,18,0,0,20,False,0.32142857142857145
48,2019-03-01,0,33,0,0,0,False,0.0
49,2019-04-01,70,17,0,0,17,False,0.6730769230769231
50,2019-05-01,32,0,0,0,48,False,0.4
51,2019-06-01,68,0,0,0,0,False,1.0
52,2019-07-01,17,16,0,0,17,False,0.34
53,2019-08-01,32,0,0,16,17,False,0.49230769230769234
54,2019-09-01,50,0,0,0,16,False,0.7575757575757576
55,2019-10-01,32,0,0,0,47,False,0.4050632911392405
56,2019-11-01,0,0,0,0,0,False,
57,2019-12-01,84,0,0,0,18,False,0.8235294117647058
58,2020-01-01,16,0,0,47,16,False,0.20253164556962025
59,2020-02-01,0,0,0,0,65,False,0.0
60,2020-03-01,29,0,0,0,15,False,0.6590909090909091
61,2020-04-01,28,0,0,0,0,False,1.0
62,2020-05-01,0,0,0,27,0,False,0.0
63,2020-06-01,15,15,0,0,30,False,0.25
64,2020-07-01,30,0,0,15,45,False,0.3333333333333333
65,2020-08-01,0,14,0,0,42,False,0.0
66,2020-09-01,47,0,0,0,0,False,1.0
67,2020-10-01,17,0,0,0,34,False,0.3333333333333333
68,2020-11-01,18,0,0,0,18,False,0.5
69,2020-12-01,19,0,0,0,19,False,0.5
70,2021-01-01,18,0,0,18,0,False,0.5
71,2021-02-01,20,19,0,19,19,False,0.2597402597402597
72,2021-03-01,37,0,0,0,18,False,0.6727272727272727
73,2021-04-01,37,0,0,0,0,False,1.0
74,2021-05-01,35,0,0,0,17,False,0.6730769230769231
75,2021-06-01,17,0,0,0,17,False,0.5
76,2021-07-01,0,0,0,0,18,False,0.0
77,2021-08-01,17,0,0,17,17,False,0.3333333333333333
78,2021-09-01,70,0,0,0,0,False,1.0
79,2021-10-01,35,0,0,0,52,False,0.40229885057471265
80,2021-11-01,38,0,0,0,56,False,0.40425531914893614
81,2021-12-01,19,0,0,0,0,False,1.0
82,2022-01-01,0,0,0,0,19,False,0.0
83,2022-02-01,62,0,0,0,0,False,1.0
84,2022-03-01,54,0,0,0,0,False,1.0
