Delivery Date,Quantity in L
2010-01,101721.73585852252
2010-02,109914.27317195534
2010-03,164047.55863539447
2010-04,94427.31719553492
2010-05,129898.47610686065
2010-06,86171.17772482127
2010-07,70655.21133826664
2010-08,94247.2093314938
2010-09,154355.60015050793
2010-10,180604.68568920105
2010-11,218007.97315941303
2010-12,256042.95748150005
2011-01,180353.77047535434
2011-02,225825.48588987833
2011-03,164122.061959112
2011-04,217406.60980810237
2011-05,359900.7149128308
2011-06,284964.63062837074
2011-07,322746.59475730587
2011-08,322135.94631882606
2011-09,241282.40311049792
2011-10,174816.907061332
2011-11,271098.9589865797
2011-12,185157.5316693842
2012-01,293602.8157531669
2012-02,339316.2153518124
2012-03,344888.074752289
2012-04,170880.78138718178
2012-05,322734.8355700489
2012-06,311940.0624608052
2012-07,238800.98770851624
2012-08,270648.5250219491
2012-09,192712.0306032861
2012-10,273646.0755048288
2012-11,276354.7362347924
2012-12,341343.7351059827
2013-01,267720.1304402358
2013-02,334446.8575191271
2013-03,306853.263514361
2013-04,227124.64442493417
2013-05,169148.39332748024
2013-06,94783.58208955223
2013-07,330546.9578577699
2013-08,232148.2616330114
2013-09,249520.34365985196
2013-10,264437.7003637275
2013-11,459920.8641665621
2013-12,276140.602658974
2014-01,264717.61570299766
2014-02,286816.43358836067
2014-03,310347.67277060077
2014-04,255915.00188134954
2014-05,318119.52464567916
2014-06,249210.86792926124
2014-07,186886.06045403238
2014-08,179019.19478239058
2014-09,172401.7634516493
2014-10,311094.9724068732
2014-11,209796.31192775618
2014-12,300510.34742255113
2015-01,377798.4447510347
2015-02,292516.2686567164
2015-03,178817.6119402985
2015-04,232266.07801329487
2015-05,234527.869058071
2015-06,262302.2112128433
2015-07,303484.74852627615
2015-08,314357.61946569674
2015-09,311361.49253731343
2015-10,419268.73134328355
2015-11,310805.223880597
2015-12,509106.0149253731
2016-01,352244.92537313426
2016-02,337470.14925373136
2016-03,492071.88172582467
2016-04,298882.4783644801
2016-05,338635.2690329863
2016-06,476475.7462686567
2016-07,344255.80709895893
2016-08,344060.84328358213
2016-09,536584.8731343283
2016-10,390905.1649316442
2016-11,427938.1794807475
2016-12,431051.3432835821
2017-01,484059.9253731343
2017-02,546554.328358209
2017-03,637349.9253731344
2017-04,350339.5522388059
2017-05,357441.2391822401
2017-06,267486.5671641791
2017-07,186194.02985074627
2017-08,336644.9253731343
2017-09,274426.8067226891
2017-10,281957.04888373264
2017-11,316538.1343283582
2017-12,193226.11977925495
2018-01,302122.4332120908
2018-02,259121.08992850874
2018-03,335239.2246331369
2018-04,98461.03022701619
2018-05,285942.1798570174
2018-06,202627.09143358836
2018-07,199775.43471717046
2018-08,263923.5380659726
2018-09,201899.22388059704
2018-10,352468.4641916468
2018-11,322270.9406747774
2018-12,306136.40373761446
2019-01,429730.8361971654
2019-02,358288.1048538818
2019-03,392885.94029850746
2019-04,363145.26903298625
2019-05,369531.9701492537
2019-06,336537.9556001505
2019-07,394358.5074626865
2019-08,207482.55223880595
2019-09,415695.9701492537
2019-10,445043.4641916468
2019-11,405723.18587733596
2019-12,446620.89552238805
2020-01,591770.6421673147
2020-02,386546.7014925373
2020-03,541973.1794807476
2020-04,510826.76796688826
2020-05,418482.08955223876
2020-06,388934.0750031356
2020-07,567331.4402985075
2020-08,625430.4496425436
2020-09,387101.68694343406
2020-10,320987.5304477612
2020-11,489807.4626865672
2020-12,504245.0451523893
2021-01,503122.8004477612
2021-02,400262.28583970905
2021-03,514703.6570926878
2021-04,330845.0746268657
2021-05,55000.0
