Delivery Date,Quantity in L
2010-01,507243.3333333336
2010-02,640746.6666666665
2010-03,879339.9999999995
2010-04,641000.0000000002
2010-05,526780.0000000002
2010-06,428400.0
2010-07,425900.0
2010-08,522750.0000000001
2010-09,472883.3333333334
2010-10,455800.0
2010-11,465293.3333333334
2010-12,558566.6666666666
2011-01,509800.0
2011-02,633083.3333333334
2011-03,698150.0000000001
2011-04,607166.6666666666
2011-05,439926.6666666667
2011-06,336216.6666666667
2011-07,244733.33333333334
2011-08,252650.0
2011-09,232099.99999999997
2011-10,275233.3333333333
2011-11,249066.66666666666
2011-12,325266.6666666666
2012-01,451900.00000000006
2012-02,463866.6666666667
2012-03,522422.66666666674
2012-04,477183.3333333334
2012-05,371186.6666666666
2012-06,279816.6666666666
2012-07,263316.6666666667
2012-08,338612.66666666657
2012-09,286866.6666666666
2012-10,404733.3333333333
2012-11,331666.6666666667
2012-12,368109.3333333333
2013-01,424396.0
2013-02,454713.3333333335
2013-03,551454.0
2013-04,487593.3333333335
2013-05,357223.3333333334
2013-06,325378.6666666667
2013-07,296717.3333333334
2013-08,320445.3333333333
2013-09,234220.0
2013-10,291860.0
2013-11,317500.0
2013-12,323162.0
2014-01,383979.3333333333
2014-02,379265.99999999994
2014-03,449050.00000000006
2014-04,418622.6666666667
2014-05,305816.6666666667
2014-06,320417.3333333333
2014-07,334433.3333333333
2014-08,328510.0
2014-09,258149.99999999997
2014-10,208133.3333333333
2014-11,166879.99999999997
2014-12,276444.6666666667
2015-01,238180.0
2015-02,255344.66666666666
2015-03,249530.0
2015-04,226699.9999999999
2015-05,238936.66666666666
2015-06,222743.99999999997
2015-07,197366.6666666667
2015-08,208862.6666666667
2015-09,247089.33333333328
2015-10,241700.0
2015-11,187966.6666666667
2015-12,310900.0
2016-01,156783.33333333334
2016-02,202585.33333333334
2016-03,169522.0
2016-04,195183.33333333334
2016-05,203266.6666666667
2016-06,200430.66666666663
2016-07,202165.99999999997
2016-08,235797.3333333333
2016-09,209793.33333333337
2016-10,196118.00000000003
2016-11,199773.33333333334
2016-12,214577.33333333337
2017-01,249966.66666666663
2017-02,224452.66666666666
2017-03,233786.66666666666
2017-04,218466.66666666666
2017-05,228490.00000000003
2017-06,194883.3333333333
2017-07,245933.33333333334
2017-08,454866.6666666667
2017-09,287128.6666666667
2017-10,252236.6666666667
2017-11,283233.3333333333
2017-12,244813.00000000006
2018-01,227686.6666666667
2018-02,237956.00000000003
2018-03,241122.6666666667
2018-04,194720.0
2018-05,313750.0
2018-06,218333.3333333333
2018-07,278795.33333333326
2018-08,280952.0
2018-09,290163.3333333334
2018-10,372312.6666666667
2018-11,317199.99999999994
2018-12,278566.6666666666
2019-01,414195.33333333326
2019-02,452633.3333333333
2019-03,435240.0
2019-04,444185.3333333333
2019-05,550383.3333333334
2019-06,295229.3333333334
2019-07,191406.66666666666
2019-08,249156.0
2019-09,215108.00000000003
2019-10,213100.00000000003
2019-11,208000.0
2019-12,295918.6666666666
2020-01,344081.3333333334
2020-02,287474.6666666667
2020-03,376179.3333333334
2020-04,355583.3333333333
2020-05,237816.6666666667
2020-06,236633.3333333333
2020-07,179099.99999999997
2020-08,200114.00000000003
2020-09,214334.66666666663
2020-10,225575.3333333333
2020-11,206900.6666666667
2020-12,275200.0
2021-01,367766.6666666667
2021-02,358986.6666666667
2021-03,453481.6666666667
2021-04,195280.0
