,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,state of Sold-To Party
41781,56879,DTZ Pty Ltd,MHL-B,Magnesium Hydroxide Liquid,2015-10-06,22.0,TO,V114,9581,Cadbury  - Claremont,act
41871,56879,DTZ Pty Ltd,MHL-B,Magnesium Hydroxide Liquid,2015-07-27,23.0,TO,V114,9581,Cadbury  - Claremont,act
41945,56879,DTZ Pty Ltd,MHL-B,Magnesium Hydroxide Liquid,2015-06-01,22.0,TO,V114,9581,Cadbury  - Claremont,act
42013,56879,DTZ Pty Ltd,MHL-B,Magnesium Hydroxide Liquid,2015-04-23,23.0,TO,V114,9581,Cadbury  - Claremont,act
42016,56879,DTZ Pty Ltd,MHL-B,Magnesium Hydroxide Liquid,2015-04-22,0.0,TO,V114,9581,Cadbury  - Claremont,act
42042,56879,DTZ Pty Ltd,MHL-B,Magnesium Hydroxide Liquid,2015-04-01,18.0,TO,V114,9581,Cadbury  - Claremont,act
42127,56879,DTZ Pty Ltd,MHL-B,Magnesium Hydroxide Liquid,2015-02-06,20.0,TO,V114,9581,Cadbury  - Claremont,act
42176,56879,DTZ Pty Ltd,MHL-B,Magnesium Hydroxide Liquid,2015-01-08,20.0,TO,V114,9581,Cadbury  - Claremont,act
42205,56879,DTZ Pty Ltd,MHL-B,Magnesium Hydroxide Liquid,2014-12-16,18.0,TO,V114,9581,Cadbury  - Claremont,act
42207,56879,DTZ Pty Ltd,MHL-B,Magnesium Hydroxide Liquid,2014-12-12,0.0,TO,V114,9581,Cadbury  - Claremont,act
42284,56879,DTZ Pty Ltd,MHL-B,Magnesium Hydroxide Liquid,2014-10-20,20.0,TO,V114,9581,Cadbury  - Claremont,act
42327,56879,DTZ Pty Ltd,MHL-B,Magnesium Hydroxide Liquid,2014-09-15,20.0,TO,V114,9581,Cadbury  - Claremont,act
42481,56879,DTZ Pty Ltd,MHL-B,Magnesium Hydroxide Liquid,2014-06-12,19.0,TO,V114,9581,Cadbury  - Claremont,act
42552,56879,DTZ Pty Ltd,MHL-B,Magnesium Hydroxide Liquid,2014-04-30,20.0,TO,V114,9581,Cadbury  - Claremont,act
42561,56879,DTZ Pty Ltd,MHL-B,Magnesium Hydroxide Liquid,2014-04-28,0.0,TO,V114,9581,Cadbury  - Claremont,act
46056,58105,C.E. Industries Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2017-11-21,1.0,IBC,N118,58105,C.E. Industries Pty Ltd,act
46057,58105,C.E. Industries Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2017-11-20,0.0,IBC,N118,58105,C.E. Industries Pty Ltd,act
46180,58105,C.E. Industries Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2014-12-16,1.0,IBC,N118,58105,C.E. Industries Pty Ltd,act
92329,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-200,SODIUM HYPOCHLORITE 13% - 200l,2021-01-15,4.0,DRM,N106,5934,Dickson Aquatic Centre Pty Ltd,act
96831,53830,Icon Water Limited,SODHYP13-IBCSTNR,Sodium Hypochlorite 13% 1000L Non-Return,2021-04-15,12.0,BOX,N106,54253,Lower Molonglo Water Control Centre,act
96835,53830,Icon Water Limited,SODHYP13-IBCSTNR,Sodium Hypochlorite 13% 1000L Non-Return,2021-04-08,10.0,BOX,N106,54253,Lower Molonglo Water Control Centre,act
96841,53830,Icon Water Limited,SODHYP13-IBCSTNR,Sodium Hypochlorite 13% 1000L Non-Return,2021-03-31,20.0,BOX,N106,54253,Lower Molonglo Water Control Centre,act
96844,53830,Icon Water Limited,SODHYP13-IBCSTNR,Sodium Hypochlorite 13% 1000L Non-Return,2021-03-26,10.0,BOX,N106,54253,Lower Molonglo Water Control Centre,act
96846,53830,Icon Water Limited,SODHYP13-IBCSTNR,Sodium Hypochlorite 13% 1000L Non-Return,2021-03-22,10.0,BOX,N106,54253,Lower Molonglo Water Control Centre,act
96851,53830,Icon Water Limited,SODHYP13-IBCSTNR,Sodium Hypochlorite 13% 1000L Non-Return,2021-03-15,12.0,BOX,N106,54253,Lower Molonglo Water Control Centre,act
96858,53830,Icon Water Limited,SODHYP13-IBCSTNR,Sodium Hypochlorite 13% 1000L Non-Return,2021-03-08,10.0,BOX,N106,54253,Lower Molonglo Water Control Centre,act
96862,53830,Icon Water Limited,SODHYP13-IBCSTNR,Sodium Hypochlorite 13% 1000L Non-Return,2021-02-23,12.0,BOX,N106,54253,Lower Molonglo Water Control Centre,act
96863,53830,Icon Water Limited,SODHYP13-IBCSTNR,Sodium Hypochlorite 13% 1000L Non-Return,2021-02-18,12.0,BOX,N106,54253,Lower Molonglo Water Control Centre,act
96868,53830,Icon Water Limited,SODHYP13-IBCSTNR,Sodium Hypochlorite 13% 1000L Non-Return,2021-02-15,8.0,BOX,N106,54253,Lower Molonglo Water Control Centre,act
96876,53830,Icon Water Limited,SODHYP13-IBCSTNR,Sodium Hypochlorite 13% 1000L Non-Return,2021-02-05,9.0,BOX,N106,54253,Lower Molonglo Water Control Centre,act
100580,63686,VIVA LEISURE OPERATIONS PTY LTD,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-04-14,3500.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
100583,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-04-14,1300.0,L,N106,5795,Australian Institute of Sport,act
100947,63686,VIVA LEISURE OPERATIONS PTY LTD,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-03-31,1500.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
101190,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-03-24,1700.0,L,N106,5795,Australian Institute of Sport,act
101192,63686,VIVA LEISURE OPERATIONS PTY LTD,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-03-24,3000.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
101412,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-03-17,1000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
101613,63686,VIVA LEISURE OPERATIONS PTY LTD,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-03-10,1200.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
101635,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-03-10,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
101812,63686,VIVA LEISURE OPERATIONS PTY LTD,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-03-03,2000.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
101813,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-03-03,1500.0,L,N106,5795,Australian Institute of Sport,act
101839,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-03-03,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
102039,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-02-24,1000.0,L,N106,5795,Australian Institute of Sport,act
102040,63686,VIVA LEISURE OPERATIONS PTY LTD,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-02-24,1500.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
102062,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-02-24,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
102270,63686,VIVA LEISURE OPERATIONS PTY LTD,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-02-17,1500.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
102296,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-02-17,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
102506,63686,VIVA LEISURE OPERATIONS PTY LTD,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-02-10,3000.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
102534,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-02-10,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
102734,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-02-03,3000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
102736,63686,VIVA LEISURE OPERATIONS PTY LTD,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-02-03,2500.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
102772,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-02-03,3000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
103034,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-01-27,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
103229,63686,VIVA LEISURE OPERATIONS PTY LTD,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-01-20,1500.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
103273,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-01-20,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
103497,63686,VIVA LEISURE OPERATIONS PTY LTD,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-01-13,1500.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
103515,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-01-13,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
103717,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-01-06,2200.0,L,N106,5795,Australian Institute of Sport,act
103732,63686,VIVA LEISURE OPERATIONS PTY LTD,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-01-06,2500.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
103758,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2021-01-06,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
103933,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2020-12-30,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
104099,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2020-12-23,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
104101,63686,VIVA LEISURE OPERATIONS PTY LTD,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2020-12-23,1500.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
104360,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2020-12-16,1000.0,L,N106,5795,Australian Institute of Sport,act
104369,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2020-12-16,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
104371,63686,VIVA LEISURE OPERATIONS PTY LTD,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2020-12-16,1500.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,act
104625,5795,Australian Institute of Sport,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2020-12-09,1000.0,L,N106,5795,Australian Institute of Sport,act
104629,5934,Dickson Aquatic Centre Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2020-12-09,2000.0,L,N106,5934,Dickson Aquatic Centre Pty Ltd,act
