,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Quantity in L,state of Sold-To Party
1202,27480,Tropigro,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2013-01,1.0,BOX,S106,27480,Tropigro,1000.0,nt
36484,9537,Power & Water Corporation,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-08,8.0,BOX,V114,63398,ALTO,8000.0,nt
36506,9537,Power & Water Corporation,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-07,8.0,BOX,V114,63398,ALTO,8000.0,nt
50472,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2018-06,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50512,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2018-03,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50535,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2018-01,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50546,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2017-12,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50564,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2017-11,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50572,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2017-09,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50593,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2017-08,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50601,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2017-07,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50614,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2017-06,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50628,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2017-05,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50649,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2017-04,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50683,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2017-02,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50723,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2017-01,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50759,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2016-12,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50775,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2016-11,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50798,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2016-10,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50823,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2016-08,9.0,TO,N118,40879,Alice Springs DAF Plant,6716.417910447762,nt
50824,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2016-08,9.0,TO,N118,40879,Alice Springs DAF Plant,6716.417910447762,nt
50825,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2016-08,9.0,TO,N118,40879,Alice Springs DAF Plant,6716.417910447762,nt
50826,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2016-08,9.0,TO,N118,40879,Alice Springs DAF Plant,6716.417910447762,nt
