,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Quantity in L,state of Sold-To Party
19,55472,Tas Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2019-10,1.0,DRM,T101,9629,Cameron Bay WW Treatment Plant,200.0,tas
23,55472,Tas Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2019-08,1.0,DRM,T101,9629,Cameron Bay WW Treatment Plant,200.0,tas
24,55472,Tas Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2019-08,1.0,DRM,T101,9629,Cameron Bay WW Treatment Plant,200.0,tas
27,55472,Tas Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2019-02,3.0,DRM,T101,49696,SISTERS BEACH WTP,600.0,tas
28,55472,Tas Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2019-02,1.0,DRM,T101,63683,Bushy Park WTP,200.0,tas
81,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2021-04,7.77,TO,T101,58171,Sumich,5931.297709923664,tas
84,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2021-03,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
85,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2021-03,3.885,TO,T101,58171,Sumich,2965.648854961832,tas
90,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2021-02,7.77,TO,T101,58171,Sumich,5931.297709923664,tas
91,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2021-02,5.18,TO,T101,58171,Sumich,3954.1984732824426,tas
93,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2021-01,2.59,TO,T101,58171,Sumich,1977.0992366412213,tas
98,61506,Rapid Supply Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-11,1.33,TO,T101,61506,Rapid Supply Pty Ltd,1015.2671755725191,tas
108,61506,Rapid Supply Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-08,1.0,BOX,T101,64629,Rapid Supply Pty Ltd,1000.0,tas
121,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-05,2.59,TO,T101,58171,Sumich,1977.0992366412213,tas
126,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-04,5.18,TO,T101,58171,Sumich,3954.1984732824426,tas
129,61506,Rapid Supply Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-04,4.0,BOX,T101,61506,Rapid Supply Pty Ltd,4000.0,tas
131,61506,Rapid Supply Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-03,1.0,BOX,T101,61506,Rapid Supply Pty Ltd,1000.0,tas
136,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-03,3.89,TO,T101,58171,Sumich,2969.4656488549617,tas
142,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-01,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
145,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-01,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
158,62081,M.G. Roberts Plumbing Pty. Limited,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2019-10,1.0,TO,T101,62081,M.G. Roberts Plumbing Pty. Limited,763.3587786259542,tas
159,62081,M.G. Roberts Plumbing Pty. Limited,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2019-10,1.0,TO,T101,62081,M.G. Roberts Plumbing Pty. Limited,763.3587786259542,tas
195,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2019-04,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
201,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2019-04,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
204,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2019-03,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
205,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2019-03,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
210,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2019-03,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
