,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Quantity in L,state of Sold-To Party
78,49004,Macmahon Underground Pty Ltd,ALUSUL08-200,ALUMINIUM SULFATE LIQUID200L,2010-02,1.0,DRM,N214,49059,South West Rail Link site compound,200.0,wa
79,49004,Macmahon Underground Pty Ltd,ALUSUL08-200,ALUMINIUM SULFATE LIQUID200L,2010-02,1.0,DRM,N214,49059,South West Rail Link site compound,200.0,wa
879,30702,Savannah Nickel Mines Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-05,1.0,BOX,V305,55040,Nexus Freight,1000.0,wa
954,30702,Savannah Nickel Mines Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-02,1.0,BOX,V305,55040,Nexus Freight,1000.0,wa
1147,30702,Savannah Nickel Mines Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-05,1.0,BOX,V305,55040,Nexus Freight,1000.0,wa
1171,30702,Savannah Nickel Mines Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2013-03,2.0,BOX,V305,55040,Nexus Freight,2000.0,wa
13303,10071,Water Corporation WA - Main account,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2016-10,25.0,TO,S106,19399,Bolivar WWTP (Bulk),19083.969465648854,wa
13304,10071,Water Corporation WA - Main account,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2016-10,25.0,TO,S106,19399,Bolivar WWTP (Bulk),19083.969465648854,wa
35855,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2021-03,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
35860,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2021-03,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
35864,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2021-03,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
35869,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2021-03,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
35876,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2021-03,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
35889,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2021-02,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
35905,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2021-02,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
35906,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2021-01,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
35932,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-12,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
35933,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-12,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
35937,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-12,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
35950,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-11,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
35955,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-11,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
35967,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-10,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
35975,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-10,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
35982,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-10,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36006,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-09,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36017,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-09,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36020,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-08,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36024,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-08,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
36040,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-07,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36044,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-07,5.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,5000.0,wa
36052,10071,Water Corporation WA - Main account,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2020-07,2.0,BOX,W300,59666,DENMARK WTP -W CORP,2000.0,wa
