,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
46118,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2021-03,1.0,BOX,N118,64429,Arnott's Huntingwood,2021-03,1000.0,57475,nsw
46119,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2021-03,1.0,BOX,N118,63694,Sargents,2021-03,1000.0,57475,nsw
46120,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2021-03,5.0,BOX,N118,65427,Biochem Water OWN CARTAGE,2021-03,5000.0,57475,nsw
46121,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2021-02,1.0,BOX,N118,63694,Sargents,2021-02,1000.0,57475,nsw
46122,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2021-02,1.0,BOX,N118,64429,Arnott's Huntingwood,2021-02,1000.0,57475,nsw
46124,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-12,1.0,BOX,N118,64429,Arnott's Huntingwood,2020-12,1000.0,57475,nsw
46126,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-12,3.0,BOX,N118,65427,Biochem Water OWN CARTAGE,2020-12,3000.0,57475,nsw
46127,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-11,1.0,BOX,N118,65427,Biochem Water OWN CARTAGE,2020-11,1000.0,57475,nsw
46128,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-11,1.0,BOX,N118,64429,Arnott's Huntingwood,2020-11,1000.0,57475,nsw
46129,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-11,1.0,BOX,N118,65427,Biochem Water OWN CARTAGE,2020-11,1000.0,57475,nsw
46130,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-10,1.0,BOX,N118,64429,Arnott's Huntingwood,2020-10,1000.0,57475,nsw
46132,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-09,1.0,BOX,N118,64429,Arnott's Huntingwood,2020-09,1000.0,57475,nsw
46133,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-08,1.0,BOX,N118,64429,Arnott's Huntingwood,2020-08,1000.0,57475,nsw
46134,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-08,2.0,BOX,N118,65427,Biochem Water OWN CARTAGE,2020-08,2000.0,57475,nsw
46135,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-07,2.0,IBC,N118,65427,Biochem Water OWN CARTAGE,2020-07,2000.0,57475,nsw
46137,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-06,1.0,IBC,N118,65427,Biochem Water OWN CARTAGE,2020-06,1000.0,57475,nsw
