,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
46701,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2021-03,6.0,PLS,N118,53137,Robson Civil Projects Pty Limited,2021-03,90.0,53137,nsw
46702,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2021-03,10.0,PLS,N118,53137,Robson Civil Projects Pty Limited,2021-03,150.0,53137,nsw
46703,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2021-03,4.0,PLS,N118,53137,Robson Civil Projects Pty Limited,2021-02,60.0,53137,nsw
46705,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2021-02,3.0,PLS,N118,53137,Robson Civil Projects Pty Limited,2021-02,45.0,53137,nsw
46706,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2021-02,4.0,PLS,N118,53137,Robson Civil Projects Pty Limited,2021-02,60.0,53137,nsw
46707,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2021-02,2.0,PLS,N118,53137,Robson Civil Projects Pty Limited,2021-02,30.0,53137,nsw
46708,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2021-01,2.0,PLS,N118,53137,Robson Civil Projects Pty Limited,2021-01,30.0,53137,nsw
46711,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2020-10,12.0,PLS,N118,53137,Robson Civil Projects Pty Limited,2020-10,180.0,53137,nsw
46713,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2020-08,5.0,PLS,N118,53137,Robson Civil Projects Pty Limited,2020-08,75.0,53137,nsw
46714,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2020-07,8.0,PLS,N118,53137,Robson Civil Projects Pty Limited,2020-07,120.0,53137,nsw
46716,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2020-05,3.0,DRM,N118,53137,Robson Civil Projects Pty Limited,2020-05,600.0,53137,nsw
46720,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC23-15 lts,2020-04,6.0,PLS,N118,53137,Robson Civil Projects Pty Limited,2020-03,90.0,53137,nsw
46721,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2020-03,6.0,PLS,N118,53137,Robson Civil Projects Pty Limited,2020-03,90.0,53137,nsw
46722,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2020-03,5.0,PLS,N118,53137,Robson Civil Projects Pty Limited,2020-03,75.0,53137,nsw
46724,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2020-03,6.0,PLS,N118,53137,Robson Civil Projects Pty Limited,2020-03,90.0,53137,nsw
46729,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2020-02,6.0,PLS,N118,53137,Robson Civil Projects Pty Limited,2020-02,90.0,53137,nsw
46750,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2018-11,4.0,PLS,N118,53137,Robson Civil Projects Pty Limited,2018-11,60.0,53137,nsw
46756,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2018-10,4.0,PLS,N118,53137,Robson Civil Projects Pty Limited,2018-10,60.0,53137,nsw
46773,53137,Robson Civil Projects Pty Limited,PAC23-15,PAC 23 SOLUTION - 15L,2017-11,1.0,PLS,N118,53137,Robson Civil Projects Pty Limited,2017-11,15.0,53137,nsw
