,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
75,52553,LION MINING PTY LTD,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2021-04,1.31,TO,Q336,64770,Cracow Operations,2021-04,1000.0,52553,nsw
78,52553,LION MINING PTY LTD,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2021-03,1.31,TO,Q336,64770,Cracow Operations,2021-03,1000.0,52553,nsw
81,52553,LION MINING PTY LTD,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2021-03,1.31,TO,Q336,64770,Cracow Operations,2021-02,1000.0,52553,nsw
87,52553,LION MINING PTY LTD,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2021-01,1.31,TO,Q336,64770,Cracow Operations,2021-01,1000.0,52553,nsw
90,52553,LION MINING PTY LTD,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-12,1.31,TO,Q336,64770,Cracow Operations,2020-12,1000.0,52553,nsw
94,52553,LION MINING PTY LTD,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-11,1.31,TO,Q336,64770,Cracow Operations,2020-11,1000.0,52553,nsw
95,54176,Ledonne Constructions Pty Limited,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-11,1.0,IBC,Q336,65902,Cairncross Waste Facility,2020-10,1000.0,54176,nsw
97,52553,LION MINING PTY LTD,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-10,1.0,BOX,Q336,64770,Cracow Operations,2020-10,1000.0,52553,nsw
99,52553,LION MINING PTY LTD,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-10,1.31,TO,Q336,64770,Cracow Operations,2020-09,1000.0,52553,nsw
101,52553,LION MINING PTY LTD,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-09,1.31,TO,Q336,64770,Cracow Operations,2020-08,1000.0,52553,nsw
