,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
77,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2021-04,2.0,BOX,Q336,30181,Pittsworth STP,2021-03,2000.0,41343,qld
82,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2021-03,2.0,BOX,Q336,30181,Pittsworth STP,2021-02,2000.0,41343,qld
89,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-12,2.0,BOX,Q336,30181,Pittsworth STP,2020-12,2000.0,41343,qld
96,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-11,1.0,BOX,Q336,30181,Pittsworth STP,2020-10,1000.0,41343,qld
98,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-10,1.0,BOX,Q336,30181,Pittsworth STP,2020-10,1000.0,41343,qld
100,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-09,2.0,BOX,Q336,30181,Pittsworth STP,2020-09,2000.0,41343,qld
109,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-07,2.0,BOX,Q336,30181,Pittsworth STP,2020-07,2000.0,41343,qld
118,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-05,2.0,BOX,Q336,30181,Pittsworth STP,2020-04,2000.0,41343,qld
125,41343,Toowoomba Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-03,2.0,BOX,Q336,30181,Pittsworth STP,2020-03,2000.0,41343,qld
126,41368,Western Downs Regional Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-03,10.0,IBC,Q336,38370,Chinchilla Shire WTP,2020-03,10000.0,41368,qld
