,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
0,9477,SA Water Corporation,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2021-02,8.0,DRM,S106,64679,WIRRINA WTP,2021-01,1600.0,9477,sa
1,11611,Trility Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2020-12,4.0,DRM,S106,57395,Birdwood WWTP,2020-12,800.0,11611,sa
2,9477,SA Water Corporation,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2020-12,8.0,DRM,S106,64679,WIRRINA WTP,2020-12,1600.0,9477,sa
3,9477,SA Water Corporation,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2020-11,8.0,DRM,S106,64679,WIRRINA WTP,2020-11,1600.0,9477,sa
4,9477,SA Water Corporation,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2020-11,6.0,DRM,S106,64679,WIRRINA WTP,2020-10,1200.0,9477,sa
5,9477,SA Water Corporation,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2020-10,4.0,DRM,S106,64679,WIRRINA WTP,2020-10,800.0,9477,sa
6,9477,SA Water Corporation,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2020-09,6.0,DRM,S303,64679,WIRRINA WTP,2020-09,1200.0,9477,sa
7,9477,SA Water Corporation,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2020-08,4.0,DRM,S303,64679,WIRRINA WTP,2020-08,800.0,9477,sa
8,9477,SA Water Corporation,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2020-07,5.0,DRM,S303,64679,WIRRINA WTP,2020-07,1000.0,9477,sa
9,9477,SA Water Corporation,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2020-05,4.0,DRM,S303,64679,WIRRINA WTP,2020-04,800.0,9477,sa
10,9477,SA Water Corporation,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2020-03,8.0,DRM,S303,64679,WIRRINA WTP,2020-03,1600.0,9477,sa
11,9477,SA Water Corporation,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2020-03,3.0,DRM,S303,64679,WIRRINA WTP,2020-03,600.0,9477,sa
12,9477,SA Water Corporation,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2020-02,6.0,DRM,S303,64679,WIRRINA WTP,2020-02,1200.0,9477,sa
13,9477,SA Water Corporation,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2020-01,2.0,DRM,S303,64679,WIRRINA WTP,2020-01,400.0,9477,sa
14,9477,SA Water Corporation,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2020-01,4.0,DRM,S303,64679,WIRRINA WTP,2020-01,800.0,9477,sa
15,9477,SA Water Corporation,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2019-12,4.0,DRM,S303,64679,WIRRINA WTP,2019-12,800.0,9477,sa
16,11611,Trility Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2019-12,4.0,DRM,S106,57395,Birdwood WWTP,2019-11,800.0,11611,sa
17,9477,SA Water Corporation,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2019-11,2.0,DRM,S303,64679,WIRRINA WTP,2019-11,400.0,9477,sa
18,9477,SA Water Corporation,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2019-11,6.0,DRM,S303,64679,WIRRINA WTP,2019-10,1200.0,9477,sa
20,9477,SA Water Corporation,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2019-10,4.0,DRM,S106,64679,WIRRINA WTP,2019-09,800.0,9477,sa
21,11611,Trility Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2019-10,2.0,DRM,S303,57395,Birdwood WWTP,2019-10,400.0,11611,sa
24,9477,SA Water Corporation,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2019-08,4.0,DRM,S303,64679,WIRRINA WTP,2019-08,800.0,9477,sa
25,9477,SA Water Corporation,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2019-07,4.0,DRM,S303,64679,WIRRINA WTP,2019-07,800.0,9477,sa
28,11611,Trility Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2019-01,4.0,DRM,S303,57395,Birdwood WWTP,2019-01,800.0,11611,sa
29,11611,Trility Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2018-11,2.0,DRM,S303,57395,Birdwood WWTP,2018-10,400.0,11611,sa
30,11611,Trility Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2018-02,4.0,DRM,S303,57395,Birdwood WWTP,2018-01,800.0,11611,sa
31,11611,Trility Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2017-09,4.0,DRM,S303,57395,Birdwood WWTP,2017-08,800.0,11611,sa
32,11611,Trility Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2017-04,4.0,DRM,S106,57395,Birdwood WWTP,2017-04,800.0,11611,sa
33,11611,Trility Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2017-02,4.0,DRM,S106,57395,Birdwood WWTP,2017-02,800.0,11611,sa
34,11611,Trility Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2016-09,4.0,DRM,S106,57395,Birdwood WWTP,2016-08,800.0,11611,sa
35,11611,Trility Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2015-10,3.0,DRM,S303,57395,Birdwood WWTP,2015-10,600.0,11611,sa
36,11611,Trility Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2015-04,4.0,DRM,S303,57395,Birdwood WWTP,2015-04,800.0,11611,sa
37,11611,Trility Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2015-03,3.0,DRM,S303,57395,Birdwood WWTP,2015-03,600.0,11611,sa
38,11611,Trility Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2014-12,1.0,DRM,V305,57395,Birdwood WWTP,2014-12,200.0,11611,sa
39,11611,Trility Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2014-12,1.0,DRM,S303,57395,Birdwood WWTP,2014-12,200.0,11611,sa
42,53009,Mak Industrial Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2013-04,1.0,DRM,S303,53097,MAK INDUSTRIAL WATER SOLUTIONS PTY,2013-04,200.0,53009,sa
43,53009,Mak Industrial Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2013-02,1.0,DRM,S303,53097,MAK INDUSTRIAL WATER SOLUTIONS PTY,2013-02,200.0,53009,sa
44,53009,Mak Industrial Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2013-01,1.0,DRM,S303,53097,MAK INDUSTRIAL WATER SOLUTIONS PTY,2013-01,200.0,53009,sa
45,53009,Mak Industrial Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2012-12,1.0,DRM,S303,53097,MAK INDUSTRIAL WATER SOLUTIONS PTY,2012-12,200.0,53009,sa
47,53009,Mak Industrial Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2012-08,1.0,DRM,S303,53097,MAK INDUSTRIAL WATER SOLUTIONS PTY,2012-08,200.0,53009,sa
48,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2012-07,4.0,DRM,V127,53149,Freight Specialists-Truganina,2012-07,800.0,9466,sa
49,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2012-07,4.0,DRM,V127,48791,Borders Express,2012-07,800.0,9466,sa
50,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2012-07,4.0,DRM,V127,48791,Borders Express,2012-07,800.0,9466,sa
51,53009,Mak Industrial Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2012-05,1.0,DRM,S303,53097,MAK INDUSTRIAL WATER SOLUTIONS PTY,2012-05,200.0,53009,sa
52,53009,Mak Industrial Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2012-04,1.0,DRM,S303,53097,MAK INDUSTRIAL WATER SOLUTIONS PTY,2012-04,200.0,53009,sa
53,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2012-03,4.0,DRM,V127,48791,Borders Express,2012-03,800.0,9466,sa
55,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2012-02,4.0,DRM,V127,48791,Borders Express,2012-01,800.0,9466,sa
57,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2011-11,4.0,DRM,V127,48791,Borders Express,2011-11,800.0,9466,sa
58,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2011-11,4.0,DRM,V127,9466,Pool Resources (SA) Pty Ltd,2011-10,800.0,9466,sa
59,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2011-10,4.0,DRM,V127,48791,Borders Express,2011-10,800.0,9466,sa
60,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2011-08,4.0,DRM,V127,48791,Borders Express,2011-08,800.0,9466,sa
61,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2011-05,4.0,DRM,V127,48791,Borders Express,2011-05,800.0,9466,sa
64,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2011-02,8.0,DRM,V127,48791,Borders Express,2011-02,1600.0,9466,sa
66,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2010-11,4.0,DRM,V127,48791,Borders Express,2010-11,800.0,9466,sa
68,3706,Elders Ltd,ALUSUL08-200,ALUMINIUM SULFATE LIQUID200L,2010-08,4.0,DRM,V127,48685,Border Express Adelaide,2010-08,800.0,3706,sa
69,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,ALUMINIUM SULFATE LIQUID200L,2010-06,4.0,DRM,V127,48791,Borders Express,2010-06,800.0,9466,sa
70,9466,Pool Resources (SA) Pty Ltd,ALUSUL08-200,ALUMINIUM SULFATE LIQUID200L,2010-03,8.0,DRM,V127,48791,Borders Express,2010-03,1600.0,9466,sa
73,9477,SA Water Corporation,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",,4.0,DRM,S303,64679,WIRRINA WTP,2020-02,800.0,9477,sa
74,9477,SA Water Corporation,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",,4.0,DRM,S303,64679,WIRRINA WTP,2020-02,800.0,9477,sa
212,9477,SA Water Corporation,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2019-01,2.0,BOX,S106,12538,Middle River,2019-01,2000.0,9477,sa
434,9373,Adchem (Australia) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-07,1.0,BOX,V305,9374,Springbetts  C\ Adchem,2016-07,1000.0,9373,sa
438,9373,Adchem (Australia) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-06,1.0,IBC,V305,9374,Springbetts  C\ Adchem,2016-06,1000.0,9373,sa
542,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-09,1.31,TO,V305,56806,Normanville WWTP,2015-09,1000.0,54040,sa
555,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-08,2.0,BOX,S303,55489,Wirrina Corporation P/L,2015-08,2000.0,54040,sa
556,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-08,2.0,BOX,S303,56806,Normanville WWTP,2015-08,2000.0,54040,sa
586,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-06,1.0,IBC,S303,56806,Normanville WWTP,2015-06,1000.0,54040,sa
591,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-06,1.0,IBC,S303,56806,Normanville WWTP,2015-06,1000.0,54040,sa
592,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-06,1.0,BOX,S303,55489,Wirrina Corporation P/L,2015-06,1000.0,54040,sa
626,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-04,2.0,BOX,V305,55489,Wirrina Corporation P/L,2015-04,2000.0,54040,sa
665,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-02,2.0,BOX,V305,55489,Wirrina Corporation P/L,2015-02,2000.0,54040,sa
676,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-01,1.0,BOX,V305,55489,Wirrina Corporation P/L,2015-01,1000.0,54040,sa
749,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-10,2.0,BOX,V305,55489,Wirrina Corporation P/L,2014-10,2000.0,54040,sa
793,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-08,2.0,BOX,V305,55489,Wirrina Corporation P/L,2014-07,2000.0,54040,sa
868,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-04,2.0,BOX,V305,55489,Wirrina Corporation P/L,2014-04,2000.0,54040,sa
890,54005,Agri Business Supplies Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-03,1.0,BOX,V305,54051,Pickering Transport,2014-03,1000.0,54005,sa
920,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-02,2.0,BOX,V305,55489,Wirrina Corporation P/L,2014-02,2000.0,54040,sa
948,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-01,2.0,BOX,V305,55489,Wirrina Corporation P/L,2014-01,2000.0,54040,sa
959,54005,Agri Business Supplies Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-01,1.0,BOX,V305,54051,Pickering Transport,2014-01,1000.0,54005,sa
969,54005,Agri Business Supplies Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-12,1.0,BOX,V305,54051,Pickering Transport,2013-12,1000.0,54005,sa
970,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-12,1.0,BOX,V305,55489,Wirrina Corporation P/L,2013-12,1000.0,54040,sa
995,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-11,2.0,BOX,V305,55489,Wirrina Corporation P/L,2013-11,2000.0,54040,sa
1010,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-11,1.0,BOX,V305,55489,Wirrina Corporation P/L,2013-10,1000.0,54040,sa
1018,54005,Agri Business Supplies Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-10,1.0,BOX,V305,54051,Pickering Transport,2013-10,1000.0,54005,sa
1044,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-09,1.0,BOX,V305,55489,Wirrina Corporation P/L,2013-09,1000.0,54040,sa
1082,41375,Terramin Australia Limited,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-08,1.0,BOX,V305,54871,Angas Zinc Mine - Terramin Aust,2013-08,1000.0,41375,sa
1086,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-08,1.0,BOX,V305,55489,Wirrina Corporation P/L,2013-07,1000.0,54040,sa
1089,54005,Agri Business Supplies Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-07,1.0,BOX,V305,54051,Pickering Transport,2013-07,1000.0,54005,sa
1102,54040,Yankalilla District Council,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-06,1.0,BOX,V305,55489,Wirrina Corporation P/L,2013-06,1000.0,54040,sa
1103,41375,Terramin Australia Limited,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-06,1.0,BOX,V305,54871,Angas Zinc Mine - Terramin Aust,2013-06,1000.0,41375,sa
1107,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-05,1.0,BOX,V305,38774,Beaufort WTP,2013-05,1000.0,21193,sa
1108,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2013-05,1.0,BOX,V305,38774,Beaufort WTP,2013-05,1000.0,21193,sa
