,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
19,55472,Tas Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2019-10,1.0,DRM,T101,9629,Cameron Bay WW Treatment Plant,2019-10,200.0,55472,tas
22,55472,Tas Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2019-08,1.0,DRM,T101,9629,Cameron Bay WW Treatment Plant,2019-08,200.0,55472,tas
23,55472,Tas Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2019-08,1.0,DRM,T101,9629,Cameron Bay WW Treatment Plant,2019-08,200.0,55472,tas
26,55472,Tas Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2019-02,3.0,DRM,T101,49696,SISTERS BEACH WTP,2019-02,600.0,55472,tas
27,55472,Tas Water,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2019-02,1.0,DRM,T101,63683,Bushy Park WTP,2019-02,200.0,55472,tas
76,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2021-04,7.77,TO,T101,58171,Sumich,2021-03,5931.297709923664,58171,tas
79,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2021-03,1.295,TO,T101,58171,Sumich,2021-03,988.5496183206106,58171,tas
80,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2021-03,3.885,TO,T101,58171,Sumich,2021-03,2965.648854961832,58171,tas
85,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2021-02,7.77,TO,T101,58171,Sumich,2021-02,5931.297709923664,58171,tas
86,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2021-02,5.18,TO,T101,58171,Sumich,2021-02,3954.1984732824426,58171,tas
88,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2021-01,2.59,TO,T101,58171,Sumich,2020-12,1977.0992366412213,58171,tas
93,61506,Rapid Supply Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-11,1.33,TO,T101,61506,Rapid Supply Pty Ltd,2020-11,1015.2671755725191,61506,tas
103,61506,Rapid Supply Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-08,1.0,BOX,T101,64629,Rapid Supply Pty Ltd,2020-08,1000.0,61506,tas
114,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-05,2.59,TO,T101,58171,Sumich,2020-05,1977.0992366412213,58171,tas
119,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-04,5.18,TO,T101,58171,Sumich,2020-04,3954.1984732824426,58171,tas
122,61506,Rapid Supply Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-04,4.0,BOX,T101,61506,Rapid Supply Pty Ltd,2020-04,4000.0,61506,tas
124,61506,Rapid Supply Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-03,1.0,BOX,T101,61506,Rapid Supply Pty Ltd,2020-03,1000.0,61506,tas
129,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-03,3.89,TO,T101,58171,Sumich,2020-03,2969.4656488549617,58171,tas
135,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-01,1.295,TO,T101,58171,Sumich,2019-12,988.5496183206106,58171,tas
138,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-01,1.295,TO,T101,58171,Sumich,2019-12,988.5496183206106,58171,tas
151,62081,M.G. Roberts Plumbing Pty. Limited,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2019-10,1.0,TO,T101,62081,M.G. Roberts Plumbing Pty. Limited,2019-10,763.3587786259542,62081,tas
152,62081,M.G. Roberts Plumbing Pty. Limited,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2019-10,1.0,TO,T101,62081,M.G. Roberts Plumbing Pty. Limited,2019-10,763.3587786259542,62081,tas
188,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2019-04,1.295,TO,T101,58171,Sumich,2019-04,988.5496183206106,58171,tas
194,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2019-04,1.295,TO,T101,58171,Sumich,2019-04,988.5496183206106,58171,tas
197,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2019-03,1.295,TO,T101,58171,Sumich,2019-02,988.5496183206106,58171,tas
198,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2019-03,1.295,TO,T101,58171,Sumich,2019-02,988.5496183206106,58171,tas
203,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2019-03,1.295,TO,T101,58171,Sumich,2019-02,988.5496183206106,58171,tas
209,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2019-02,1.295,TO,T101,58171,Sumich,2019-01,988.5496183206106,58171,tas
211,50947,Harvest Moon,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2019-01,1.0,BOX,T101,50947,Harvest Moon,2019-01,1000.0,50947,tas
215,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2019-01,1.295,TO,T101,58171,Sumich,2019-01,988.5496183206106,58171,tas
219,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2019-01,1.295,TO,T101,58171,Sumich,2019-01,988.5496183206106,58171,tas
224,55690,Tasmania Mines Limited,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-12,1.31,TO,T101,55690,Tasmania Mines Limited,2018-12,1000.0,55690,tas
225,55690,Tasmania Mines Limited,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-12,1.31,TO,T101,55690,Tasmania Mines Limited,2018-12,1000.0,55690,tas
238,55690,Tasmania Mines Limited,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-09,1.31,TO,T101,55690,Tasmania Mines Limited,2018-09,1000.0,55690,tas
259,38382,Tassal Operations Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-06,5.18,TO,T101,51530,Dover Factory Store,2018-06,3954.1984732824426,38382,tas
260,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-06,1.295,TO,T101,58171,Sumich,2018-02,988.5496183206106,58171,tas
263,50947,Harvest Moon,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-06,1.0,BOX,T101,50947,Harvest Moon,2018-06,1000.0,50947,tas
265,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-06,1.295,TO,T101,58171,Sumich,2018-02,988.5496183206106,58171,tas
268,50947,Harvest Moon,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-05,1.0,BOX,T101,50947,Harvest Moon,2018-05,1000.0,50947,tas
269,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-05,1.295,TO,T101,58171,Sumich,2018-02,988.5496183206106,58171,tas
274,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-05,1.295,TO,T101,58171,Sumich,2018-02,988.5496183206106,58171,tas
279,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-04,1.295,TO,T101,58171,Sumich,2018-02,988.5496183206106,58171,tas
283,50947,Harvest Moon,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-04,2.0,BOX,T101,50947,Harvest Moon,2018-04,2000.0,50947,tas
284,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-04,1.295,TO,T101,58171,Sumich,2018-02,988.5496183206106,58171,tas
288,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-03,1.295,TO,T101,58171,Sumich,2018-02,988.5496183206106,58171,tas
290,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-03,1.295,TO,T101,58171,Sumich,2018-02,988.5496183206106,58171,tas
292,38444,Parks & Wildlife Service,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-03,2.0,BOX,T101,38444,Parks & Wildlife Service,2018-02,2000.0,38444,tas
295,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-03,1.295,TO,T101,58171,Sumich,2018-01,988.5496183206106,58171,tas
298,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-02,1.295,TO,T101,58171,Sumich,2018-01,988.5496183206106,58171,tas
300,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-02,1.0,BOX,T101,57114,Bracknell WTP,2018-01,1000.0,55472,tas
302,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-02,1.3,TO,T101,59531,Ouse Water Treatment Plant,2018-02,992.3664122137404,55472,tas
303,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-02,1.295,TO,T101,58171,Sumich,2018-01,988.5496183206106,58171,tas
308,38382,Tassal Operations Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-01,4.0,TO,T101,51530,Dover Factory Store,2018-01,3053.4351145038167,38382,tas
309,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-12,1.295,TO,T101,59531,Ouse Water Treatment Plant,2017-12,988.5496183206106,55472,tas
319,38444,Parks & Wildlife Service,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-11,2.0,BOX,T101,38444,Parks & Wildlife Service,2017-10,2000.0,38444,tas
321,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-10,1.295,TO,T101,59531,Ouse Water Treatment Plant,2017-10,988.5496183206106,55472,tas
