,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
40,97122,Ecolutia Services Pty. Ltd.,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2013-07,1.0,DRM,V305,97122,Cash Sale Account - Ixom Operations,2013-07,200.0,97122,vic
41,97122,Amberfield Farm Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2013-07,2.0,DRM,V127,97122,Cash Sale Account - Ixom Operations,2013-07,400.0,97122,vic
46,97122,Amberfield Farm Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2012-12,2.0,DRM,V127,97122,Cash Sale Account - Ixom Operations,2012-11,400.0,97122,vic
54,97122,Amberfield Farm Pty Ltd,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2012-03,2.0,DRM,V127,97122,Cash Sale Account - Ixom Operations,2012-03,400.0,97122,vic
56,97122,Crane's Asphalting,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2011-12,3.0,DRM,V127,97122,Cash Sale Account - Ixom Operations,2011-12,600.0,97122,vic
62,97122,Cranes Asphalting & Bitumen Sealing,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2011-03,3.0,DRM,V127,97122,Cash Sale Account - Ixom Operations,2011-03,600.0,97122,vic
63,38462,AS & PE Van Roy,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2011-02,2.0,DRM,V127,38555,AS & PE Van Roy - Pakenham,2011-02,400.0,38462,vic
65,97122,Cranes Asphalting & Bitumen Sealing,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2010-12,3.0,DRM,V127,97122,Cash Sale Account - Ixom Operations,2010-12,600.0,97122,vic
67,97122,Cranes Asphalting & Bitumen Sealing,ALUSUL08-200,"ALUMINIUM SULFATE LIQUID, 200L drum",2010-11,2.0,DRM,V127,97122,Cash Sale Account - Ixom Operations,2010-11,400.0,97122,vic
83,2199,Kemira Australia Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2021-03,2.0,BOX,V127,2199,Kemira Australia Pty Ltd,2021-02,2000.0,2199,vic
84,47795,MMG Australia Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2021-02,7.77,TO,T101,19590,MMG Rosebery c/- De Bruyn Transport,2021-02,5931.297709923664,47795,vic
91,2199,Kemira Australia Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-12,2.0,TO,V127,2199,Kemira Australia Pty Ltd,2020-11,1526.7175572519084,2199,vic
92,2199,Kemira Australia Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-12,2.0,TO,V127,2199,Kemira Australia Pty Ltd,2020-11,1526.7175572519084,2199,vic
107,47795,MMG Australia Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-07,7.77,TO,T101,19590,MMG Rosebery c/- De Bruyn Transport,2020-07,5931.297709923664,47795,vic
111,47795,MMG Australia Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-06,2.59,TO,T101,19590,MMG Rosebery c/- De Bruyn Transport,2019-07,1977.0992366412213,47795,vic
113,47795,MMG Australia Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-06,5.18,TO,T101,19590,MMG Rosebery c/- De Bruyn Transport,2020-05,3954.1984732824426,47795,vic
116,49057,Paper Australia Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-05,3.0,BOX,V127,8030,Australian Paper - Maryvale Mill,2020-05,3000.0,49057,vic
117,2199,Kemira Australia Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-05,6.0,BOX,V127,2199,Kemira Australia Pty Ltd,2020-05,6000.0,2199,vic
121,2199,Kemira Australia Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-04,6.0,BOX,V127,2199,Kemira Australia Pty Ltd,2020-04,6000.0,2199,vic
128,49057,Paper Australia Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-03,4.0,BOX,V127,8030,Australian Paper - Maryvale Mill,2020-03,4000.0,49057,vic
130,2199,Kemira Australia Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-02,10.0,BOX,V127,2199,Kemira Australia Pty Ltd,2020-02,10000.0,2199,vic
131,47795,MMG Australia Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-02,2.59,TO,T101,19590,MMG Rosebery c/- De Bruyn Transport,2019-07,1977.0992366412213,47795,vic
139,2199,Kemira Australia Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2019-12,10.0,BOX,V127,2199,Kemira Australia Pty Ltd,2019-12,10000.0,2199,vic
142,2199,Kemira Australia Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2019-12,10.0,BOX,V127,2199,Kemira Australia Pty Ltd,2019-12,10000.0,2199,vic
