,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
71,49004,Macmahon Underground Pty Ltd,ALUSUL08-200,ALUMINIUM SULFATE LIQUID200L,2010-02,1.0,DRM,N214,49059,South West Rail Link site compound,2010-02,200.0,49004,wa
72,49004,Macmahon Underground Pty Ltd,ALUSUL08-200,ALUMINIUM SULFATE LIQUID200L,2010-02,1.0,DRM,N214,49059,South West Rail Link site compound,2010-02,200.0,49004,wa
844,30702,Savannah Nickel Mines Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-05,1.0,BOX,V305,55040,Nexus Freight,2014-05,1000.0,30702,wa
919,30702,Savannah Nickel Mines Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-02,1.0,BOX,V305,55040,Nexus Freight,2014-02,1000.0,30702,wa
1109,30702,Savannah Nickel Mines Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-05,1.0,BOX,V305,55040,Nexus Freight,2013-05,1000.0,30702,wa
1133,30702,Savannah Nickel Mines Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2013-03,2.0,BOX,V305,55040,Nexus Freight,2013-03,2000.0,30702,wa
1677,30702,Savannah Nickel Mines Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,,2.0,BOX,V305,55040,Nexus Freight,2013-04,2000.0,30702,wa
1692,30702,Savannah Nickel Mines Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,,2.0,BOX,V305,55040,Nexus Freight,2013-04,2000.0,30702,wa
13158,10071,Water Corporation WA - Main account,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2016-10,25.0,TO,S106,19399,Bolivar WWTP (Bulk),2016-10,19083.969465648854,10071,wa
13159,10071,Water Corporation WA - Main account,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2016-10,25.0,TO,S106,19399,Bolivar WWTP (Bulk),2016-10,19083.969465648854,10071,wa
