,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Quantity in L,SH_Customer No,state
45273,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2021-03,1.0,BOX,N118,64429,Arnott's Huntingwood,1000.0,57475,nsw
45274,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2021-03,1.0,BOX,N118,63694,Sargents,1000.0,57475,nsw
45275,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2021-03,5.0,BOX,N118,65427,Biochem Water OWN CARTAGE,5000.0,57475,nsw
45276,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2021-02,1.0,BOX,N118,63694,Sargents,1000.0,57475,nsw
45277,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2021-02,1.0,BOX,N118,64429,Arnott's Huntingwood,1000.0,57475,nsw
45279,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-12,1.0,BOX,N118,64429,Arnott's Huntingwood,1000.0,57475,nsw
45281,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-12,3.0,BOX,N118,65427,Biochem Water OWN CARTAGE,3000.0,57475,nsw
45282,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-11,1.0,BOX,N118,65427,Biochem Water OWN CARTAGE,1000.0,57475,nsw
45283,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-11,1.0,BOX,N118,64429,Arnott's Huntingwood,1000.0,57475,nsw
45284,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-11,1.0,BOX,N118,65427,Biochem Water OWN CARTAGE,1000.0,57475,nsw
45285,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-10,1.0,BOX,N118,64429,Arnott's Huntingwood,1000.0,57475,nsw
45287,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-09,1.0,BOX,N118,64429,Arnott's Huntingwood,1000.0,57475,nsw
45288,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-08,1.0,BOX,N118,64429,Arnott's Huntingwood,1000.0,57475,nsw
45289,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-08,2.0,BOX,N118,65427,Biochem Water OWN CARTAGE,2000.0,57475,nsw
45290,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-07,2.0,IBC,N118,65427,Biochem Water OWN CARTAGE,2000.0,57475,nsw
45292,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-06,1.0,IBC,N118,65427,Biochem Water OWN CARTAGE,1000.0,57475,nsw
45293,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-06,2.0,IBC,N118,65427,Biochem Water OWN CARTAGE,2000.0,57475,nsw
45294,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-05,2.0,IBC,N118,65427,Biochem Water OWN CARTAGE,2000.0,57475,nsw
45296,54190,Redox Pty Ltd - Giraween,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-04,21.6,TO,N118,18126,OWN CARTAGE Redox Giraween,18151.260504201684,54190,nsw
45297,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-04,1.0,BOX,N118,64429,Arnott's Huntingwood,1000.0,57475,nsw
45298,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-03,4.0,IBC,N118,65427,Biochem Water OWN CARTAGE,4000.0,57475,nsw
45300,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-02,2.0,IBC,N118,65427,Biochem Water OWN CARTAGE,2000.0,57475,nsw
45302,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-01,3.0,BOX,N118,57475,Biochem Water Pty Ltd,3000.0,57475,nsw
45305,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2019-11,1.0,BOX,N118,57475,Biochem Water Pty Ltd,1000.0,57475,nsw
45306,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2019-11,1.0,BOX,N118,64429,Arnott's Huntingwood,1000.0,57475,nsw
45307,54190,Redox Pty Ltd - Giraween,PAC10LB-1000,PAC 10LB Solution 1200KG,2019-11,21.6,TO,N118,18126,OWN CARTAGE Redox Giraween,18151.260504201684,54190,nsw
45310,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2019-10,1.0,BOX,N118,64429,Arnott's Huntingwood,1000.0,57475,nsw
45311,57475,Biochem Water Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2019-10,1.0,BOX,N118,57475,Biochem Water Pty Ltd,1000.0,57475,nsw
