,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
46117,21193,Veolia Water Services (ANZ) Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2021-03,1.2,TO,V305,38774,Beaufort WTP,2021-03,1008.4033613445379,21193,sa
46123,21193,Veolia Water Services (ANZ) Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2021-02,1.2,TO,V305,38774,Beaufort WTP,2021-01,1008.4033613445379,21193,sa
46125,21193,Veolia Water Services (ANZ) Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-12,1.2,TO,V305,38774,Beaufort WTP,2020-12,1008.4033613445379,21193,sa
46131,21193,Veolia Water Services (ANZ) Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-09,1.2,TO,V305,38774,Beaufort WTP,2020-09,1008.4033613445379,21193,sa
46136,21193,Veolia Water Services (ANZ) Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-06,1.2,TO,V305,38774,Beaufort WTP,2020-06,1008.4033613445379,21193,sa
46144,21193,Veolia Water Services (ANZ) Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-03,1.2,TO,V305,38774,Beaufort WTP,2020-03,1008.4033613445379,21193,sa
46148,21193,Veolia Water Services (ANZ) Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2020-01,1.2,TO,V305,38774,Beaufort WTP,2019-12,1008.4033613445379,21193,sa
46157,21193,Veolia Water Services (ANZ) Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2019-10,1.2,TO,V305,38774,Beaufort WTP,2019-10,1008.4033613445379,21193,sa
46171,21193,Veolia Water Services (ANZ) Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2019-06,1.2,TO,V305,38774,Beaufort WTP,2019-05,1008.4033613445379,21193,sa
46176,21193,Veolia Water Services (ANZ) Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2019-04,1.2,TO,V305,38774,Beaufort WTP,2019-03,1008.4033613445379,21193,sa
46179,21193,Veolia Water Services (ANZ) Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2019-02,1.2,TO,V305,38774,Beaufort WTP,2019-01,1008.4033613445379,21193,sa
46181,21193,Veolia Water Services (ANZ) Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2019-01,1.2,TO,V305,38774,Beaufort WTP,2018-12,1008.4033613445379,21193,sa
46191,21193,Veolia Water Services (ANZ) Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-10,1.2,TO,V305,38774,Beaufort WTP,2018-10,1008.4033613445379,21193,sa
46204,21193,Veolia Water Services (ANZ) Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-06,1.2,TO,V305,38774,Beaufort WTP,2018-05,1008.4033613445379,21193,sa
46212,21193,Veolia Water Services (ANZ) Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-03,1.0,BOX,V305,38774,Beaufort WTP,2018-03,1000.0,21193,sa
46218,21193,Veolia Water Services (ANZ) Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2018-01,1.0,BOX,V305,38774,Beaufort WTP,2018-01,1000.0,21193,sa
46229,21193,Veolia Water Services (ANZ) Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2017-11,1.0,BOX,V305,38774,Beaufort WTP,2017-10,1000.0,21193,sa
46234,21193,Veolia Water Services (ANZ) Pty Ltd,PAC10LB-1000,PAC 10LB Solution 1200KG,2017-09,1.0,IBC,V305,38774,Beaufort WTP,2017-08,1000.0,21193,sa
